"年度","学期中開放 学校数[校]","学期中開放 利用者数[人]","春・夏休業中開放 学校数[校]","春・夏休業中開放 利用者数[人]","合計 学校数[校]","合計 利用者数[人]"
"2016","17","11750","0","0","17","11750"
"2017","17","12202","1","137","17","12339"
"2018","17","11759","1","91","17","11850"
"2019","17","3876","3","57","17","3933"
"2020","17","3660","3","18","17","3678"

"令和3年度港区行政資料集　施設利用状況一覧 遊び場開放","Ver202103",,,,,
