"年度","ねずみ防除対策 生息状況調査及び防除","ねずみ防除対策 防除機器交付","ねずみ防除対策 苦情相談処理件数[件]","衛生害虫防除対策 発生状況調査及び防除","衛生害虫防除対策 防除機器貸出","衛生害虫防除対策 苦情相談処理件数[件]"
"2015","10","14","71","1182","0","350"
"2016","10","18","128","785","0","348"
"2017","22","6","120","1739","0","393"
"2018","10","11","180","787","0","323"
"2019","10","78","212","869","0","320"

"令和2年度港区行政資料集　ねずみ・衛生害虫防除対策状況","Ver202003",,,,,
