"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","知っている[人]","知らない[人]","無回答[人]"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","全体",,"558","340","213","5"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性（計）","231","136","95","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 18～29歳","13","7","6","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 30～39歳","38","15","23","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 40～49歳","50","27","23","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 50～59歳","47","30","17","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 60～69歳","42","26","16","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 70歳以上","40","30","10","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","男性 無回答","1","1","0","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性（計）","313","196","113","4"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 18～29歳","26","4","22","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 30～39歳","49","27","22","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 40～49歳","78","48","30","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 50～59歳","62","41","21","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 60～69歳","56","47","9","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 70歳以上","42","29","9","4"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","性・年代別","無回答","14","8","5","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","自営業主・家族従業","86","58","28","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","会社員・団体職員・公務員","243","139","104","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","アルバイト・パートタイマー","35","25","10","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","家事専業","55","33","21","1"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","学生","13","5","8","0"
"202203","区政全般","Q4. あなたは、港区長の名前を知っていますか。（１つ選択）","職業別","無職","81","50","29","2"
