"年度[西暦]","会社名","路線名","駅名","定期[千人]","普通[千人]","合計[千人]"
"2015","ＪＲ線",,"新橋","59725","37615","97340"
"2015","ＪＲ線",,"浜松町","34995","21857","56852"
"2015","ＪＲ線",,"田町","38861","15613","54473"
"2015","ＪＲ線",,"品川","75683","56613","132297"
"2015","ＪＲ線",,"（参考）東京","83223","75853","159076"
"2015","ＪＲ線",,"渋谷","71599","64639","136238"
"2015","ＪＲ線",,"新宿","147885","130291","278176"
"2015","東京地下鉄（株）","銀座線","表参道","3458","7486","10944"
"2015","東京地下鉄（株）","銀座線","外苑前","6130","7331","13461"
"2015","東京地下鉄（株）","銀座線","青山一丁目","4407","5450","9857"
"2015","東京地下鉄（株）","銀座線","赤坂見附","4711","5646","10357"
"2015","東京地下鉄（株）","銀座線","溜池山王","6178","5470","11648"
"2015","東京地下鉄（株）","銀座線","虎ノ門","12992","9362","22354"
"2015","東京地下鉄（株）","銀座線","新橋","22490","22054","44544"
"2015","東京地下鉄（株）","丸ノ内線","赤坂見附","5021","5912","10933"
"2015","東京地下鉄（株）","日比谷線","神谷町","10786","7184","17970"
"2015","東京地下鉄（株）","日比谷線","六本木","9783","14236","24019"
"2015","東京地下鉄（株）","日比谷線","広尾","5490","5577","11067"
"2015","東京地下鉄（株）","千代田線","赤坂","8688","7517","16205"
"2015","東京地下鉄（株）","千代田線","乃木坂","3124","4096","7220"
"2015","東京地下鉄（株）","千代田線","表参道","4095","5794","9889"
"2015","東京地下鉄（株）","半蔵門線","表参道","3908","6111","10019"
"2015","東京地下鉄（株）","半蔵門線","青山一丁目","5811","5075","10886"
"2015","東京地下鉄（株）","南北線","白金台","1604","1671","3275"
"2015","東京地下鉄（株）","南北線","白金高輪","4174","3553","7727"
"2015","東京地下鉄（株）","南北線","麻布十番","3747","4790","8537"
"2015","東京地下鉄（株）","南北線","六本木一丁目","7364","5180","12544"
"2015","東京地下鉄（株）","南北線","溜池山王","4343","2861","7204"
"2015","都営地下鉄","浅草線","高輪台","1533","1112","2645"
"2015","都営地下鉄","浅草線","泉岳寺","20238","16209","36447"
"2015","都営地下鉄","浅草線","三田","10663","7934","18597"
"2015","都営地下鉄","浅草線","大門","9901","8746","18647"
"2015","都営地下鉄","浅草線","新橋","9065","7821","16886"
"2015","都営地下鉄","三田線","白金台","942","809","1751"
"2015","都営地下鉄","三田線","白金高輪","2492","2128","4620"
"2015","都営地下鉄","三田線","三田","10878","7489","18367"
"2015","都営地下鉄","三田線","芝公園","3304","2141","5445"
"2015","都営地下鉄","三田線","御成門","4770","2931","7701"
"2015","都営地下鉄","三田線","内幸町","4527","3092","7619"
"2015","都営地下鉄","大江戸線","汐留","5020","4525","9545"
"2015","都営地下鉄","大江戸線","大門","12031","10889","22920"
"2015","都営地下鉄","大江戸線","赤羽橋","3479","3439","6918"
"2015","都営地下鉄","大江戸線","麻布十番","2950","3867","6817"
"2015","都営地下鉄","大江戸線","六本木","8078","10564","18642"
"2015","都営地下鉄","大江戸線","青山一丁目","6863","6918","13781"
"2015","私鉄","京浜急行","泉岳寺","17677","15495","33172"
"2015","私鉄","京浜急行","品川","27280","22184","49464"
"2015","私鉄","東京モノレール","モノレール浜松町","7231","12364","19595"
"2015","私鉄","ゆりかもめ","新橋","3089","9151","12239"
"2015","私鉄","ゆりかもめ","汐留","287","1264","1552"
"2015","私鉄","ゆりかもめ","竹芝","158","689","847"
"2015","私鉄","ゆりかもめ","日の出","77","336","413"
"2015","私鉄","ゆりかもめ","芝浦ふ頭","403","495","898"
"2015","私鉄","ゆりかもめ","お台場海浜公園","1046","2115","3161"
"2015","私鉄","ゆりかもめ","台場","523","3827","4350"
"2016","ＪＲ線",,"新橋","61168","37757","98926"
"2016","ＪＲ線",,"浜松町","34994","21689","56682"
"2016","ＪＲ線",,"田町","39704","16005","55708"
"2016","ＪＲ線",,"品川","77566","58137","135702"
"2016","ＪＲ線",,"（参考）東京","84048","76389","160437"
"2016","ＪＲ線",,"渋谷","70904","64633","135538"
"2016","ＪＲ線",,"新宿","149040","131757","280797"
"2016","東京地下鉄（株）","銀座線","表参道","3502","7546","11048"
"2016","東京地下鉄（株）","銀座線","外苑前","6420","7369","13789"
"2016","東京地下鉄（株）","銀座線","青山一丁目","4501","5474","9975"
"2016","東京地下鉄（株）","銀座線","赤坂見附","4996","5860","10856"
"2016","東京地下鉄（株）","銀座線","溜池山王","6362","5501","11863"
"2016","東京地下鉄（株）","銀座線","虎ノ門","12701","9011","21712"
"2016","東京地下鉄（株）","銀座線","新橋","23268","22292","45560"
"2016","東京地下鉄（株）","丸ノ内線","赤坂見附","5295","6111","11406"
"2016","東京地下鉄（株）","日比谷線","神谷町","10684","7094","17778"
"2016","東京地下鉄（株）","日比谷線","六本木","9610","14613","24223"
"2016","東京地下鉄（株）","日比谷線","広尾","5603","5673","11276"
"2016","東京地下鉄（株）","千代田線","赤坂","8865","7706","16571"
"2016","東京地下鉄（株）","千代田線","乃木坂","3093","4479","7572"
"2016","東京地下鉄（株）","千代田線","表参道","4216","5957","10173"
"2016","東京地下鉄（株）","半蔵門線","表参道","3831","6204","10035"
"2016","東京地下鉄（株）","半蔵門線","青山一丁目","5842","5163","11005"
"2016","東京地下鉄（株）","南北線","白金台","1658","1707","3365"
"2016","東京地下鉄（株）","南北線","白金高輪","4227","3618","7845"
"2016","東京地下鉄（株）","南北線","麻布十番","3775","4887","8662"
"2016","東京地下鉄（株）","南北線","六本木一丁目","8051","5286","13337"
"2016","東京地下鉄（株）","南北線","溜池山王","4499","2885","7384"
"2016","都営地下鉄","浅草線","高輪台","1554","1101","2654"
"2016","都営地下鉄","浅草線","泉岳寺","21020","16981","38001"
"2016","都営地下鉄","浅草線","三田","11207","8155","19361"
"2016","都営地下鉄","浅草線","大門","10295","8997","19291"
"2016","都営地下鉄","浅草線","新橋","9450","7941","17391"
"2016","都営地下鉄","三田線","白金台","963","830","1793"
"2016","都営地下鉄","三田線","白金高輪","2567","2180","4747"
"2016","都営地下鉄","三田線","三田","11360","7619","18979"
"2016","都営地下鉄","三田線","芝公園","3379","2178","5557"
"2016","都営地下鉄","三田線","御成門","4973","2804","7777"
"2016","都営地下鉄","三田線","内幸町","4740","3119","7859"
"2016","都営地下鉄","大江戸線","汐留","5102","4555","9657"
"2016","都営地下鉄","大江戸線","大門","12370","11068","23438"
"2016","都営地下鉄","大江戸線","赤羽橋","3552","3530","7083"
"2016","都営地下鉄","大江戸線","麻布十番","2980","3958","6938"
"2016","都営地下鉄","大江戸線","六本木","7783","10583","18366"
"2016","都営地下鉄","大江戸線","青山一丁目","6975","6979","13955"
"2016","私鉄","京浜急行","泉岳寺","18374","16155","34529"
"2016","私鉄","京浜急行","品川","27813","22742","50555"
"2016","私鉄","東京モノレール","モノレール浜松町","7426","12412","19838"
"2016","私鉄","ゆりかもめ","新橋","2981","8972","11953"
"2016","私鉄","ゆりかもめ","汐留","289","1277","1566"
"2016","私鉄","ゆりかもめ","竹芝","171","682","854"
"2016","私鉄","ゆりかもめ","日の出","76","333","409"
"2016","私鉄","ゆりかもめ","芝浦ふ頭","410","490","899"
"2016","私鉄","ゆりかもめ","お台場海浜公園","1010","2139","3149"
"2016","私鉄","ゆりかもめ","台場","520","3860","4380"
"2017","ＪＲ線",,"新橋","62911","38341","101252"
"2017","ＪＲ線",,"浜松町","35948","21855","57804"
"2017","ＪＲ線",,"田町","40229","16314","56544"
"2017","ＪＲ線",,"品川","79116","59061","138177"
"2017","ＪＲ線",,"（参考）東京","86204","78976","165180"
"2017","ＪＲ線",,"渋谷","70544","64750","135294"
"2017","ＪＲ線",,"新宿","150612","133583","284196"
"2017","東京地下鉄（株）","銀座線","表参道","3553","7818","11371"
"2017","東京地下鉄（株）","銀座線","外苑前","6839","7722","14561"
"2017","東京地下鉄（株）","銀座線","青山一丁目","4625","5555","10180"
"2017","東京地下鉄（株）","銀座線","赤坂見附","5418","6129","11547"
"2017","東京地下鉄（株）","銀座線","溜池山王","6737","5668","12405"
"2017","東京地下鉄（株）","銀座線","虎ノ門","12694","8853","21547"
"2017","東京地下鉄（株）","銀座線","新橋","23940","22565","46505"
"2017","東京地下鉄（株）","丸ノ内線","赤坂見附","5828","6404","12232"
"2017","東京地下鉄（株）","日比谷線","神谷町","10989","7170","18159"
"2017","東京地下鉄（株）","日比谷線","六本木","9721","14628","24349"
"2017","東京地下鉄（株）","日比谷線","広尾","5741","5804","11545"
"2017","東京地下鉄（株）","千代田線","赤坂","9295","7999","17294"
"2017","東京地下鉄（株）","千代田線","乃木坂","3085","4538","7623"
"2017","東京地下鉄（株）","千代田線","表参道","4463","6130","10593"
"2017","東京地下鉄（株）","半蔵門線","表参道","3902","6325","10227"
"2017","東京地下鉄（株）","半蔵門線","青山一丁目","5968","5175","11143"
"2017","東京地下鉄（株）","南北線","白金台","1700","1705","3405"
"2017","東京地下鉄（株）","南北線","白金高輪","4199","3702","7901"
"2017","東京地下鉄（株）","南北線","麻布十番","4000","5038","9038"
"2017","東京地下鉄（株）","南北線","六本木一丁目","9384","5544","14928"
"2017","東京地下鉄（株）","南北線","溜池山王","4758","3023","7781"
"2017","都営地下鉄","浅草線","高輪台","1547","1093","2640"
"2017","都営地下鉄","浅草線","泉岳寺","22068","17702","39770"
"2017","都営地下鉄","浅草線","三田","11579","8324","19902"
"2017","都営地下鉄","浅草線","大門","10738","9202","19940"
"2017","都営地下鉄","浅草線","新橋","9841","8091","17932"
"2017","都営地下鉄","三田線","白金台","1004","825","1829"
"2017","都営地下鉄","三田線","白金高輪","2660","2201","4861"
"2017","都営地下鉄","三田線","三田","11807","7752","19559"
"2017","都営地下鉄","三田線","芝公園","3492","2185","5676"
"2017","都営地下鉄","三田線","御成門","5360","3043","8403"
"2017","都営地下鉄","三田線","内幸町","5004","3154","8158"
"2017","都営地下鉄","大江戸線","汐留","5316","4558","9874"
"2017","都営地下鉄","大江戸線","大門","12945","11183","24128"
"2017","都営地下鉄","大江戸線","赤羽橋","3841","3602","7443"
"2017","都営地下鉄","大江戸線","麻布十番","3116","3922","7038"
"2017","都営地下鉄","大江戸線","六本木","7964","10351","18316"
"2017","都営地下鉄","大江戸線","青山一丁目","7364","6935","14299"
"2017","私鉄","京浜急行","泉岳寺","19146","16781","35927"
"2017","私鉄","京浜急行","品川","28439","23117","51556"
"2017","私鉄","東京モノレール","モノレール浜松町","8011","12980","20991"
"2017","私鉄","ゆりかもめ","新橋","2900","8972","11872"
"2017","私鉄","ゆりかもめ","汐留","302","1263","1565"
"2017","私鉄","ゆりかもめ","竹芝","181","699","881"
"2017","私鉄","ゆりかもめ","日の出","79","337","416"
"2017","私鉄","ゆりかもめ","芝浦ふ頭","433","509","942"
"2017","私鉄","ゆりかもめ","お台場海浜公園","1023","2035","3058"
"2017","私鉄","ゆりかもめ","台場","518","3748","4267"

"令和元年度港区行政資料集　駅別乗車人員","Ver201903",,,,,
