町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,380587,359196,381271,740467
旭丘,4934,3733,3691,7424
旭丘１丁目,3394,2551,2433,4984
旭丘２丁目,1540,1182,1258,2440
小竹町,5644,4478,4969,9447
小竹町１丁目,3078,2487,2661,5148
小竹町２丁目,2566,1991,2308,4299
栄町,2439,1843,2080,3923
羽沢,3839,3189,3385,6574
羽沢１丁目,913,659,705,1364
羽沢２丁目,1928,1589,1715,3304
羽沢３丁目,998,941,965,1906
豊玉上,4431,3078,3543,6621
豊玉上１丁目,1538,1147,1223,2370
豊玉上２丁目,2893,1931,2320,4251
豊玉中,6077,5390,5354,10744
豊玉中１丁目,1382,1234,1211,2445
豊玉中２丁目,1905,1646,1555,3201
豊玉中３丁目,1921,1539,1570,3109
豊玉中４丁目,869,971,1018,1989
豊玉南,4434,4279,4364,8643
豊玉南１丁目,1252,1156,1223,2379
豊玉南２丁目,1093,957,1025,1982
豊玉南３丁目,2089,2166,2116,4282
豊玉北,12645,9443,10220,19663
豊玉北１丁目,1687,1225,1414,2639
豊玉北２丁目,1493,1163,1251,2414
豊玉北３丁目,2235,1646,1690,3336
豊玉北４丁目,2715,1986,2129,4115
豊玉北５丁目,2672,1888,2057,3945
豊玉北６丁目,1843,1535,1679,3214
中村,5057,4759,5227,9986
中村１丁目,1200,1163,1284,2447
中村２丁目,1614,1628,1741,3369
中村３丁目,2243,1968,2202,4170
中村南,5688,5309,5673,10982
中村南１丁目,2066,2082,2155,4237
中村南２丁目,2102,1815,1898,3713
中村南３丁目,1520,1412,1620,3032
中村北,6870,5480,6168,11648
中村北１丁目,2187,1786,1982,3768
中村北２丁目,1713,1529,1549,3078
中村北３丁目,1290,910,1074,1984
中村北４丁目,1680,1255,1563,2818
桜台,14425,12431,13258,25689
桜台１丁目,3314,2464,2632,5096
桜台２丁目,2679,2301,2457,4758
桜台３丁目,2449,2239,2468,4707
桜台４丁目,2177,1665,1853,3518
桜台５丁目,2017,2003,1954,3957
桜台６丁目,1789,1759,1894,3653
練馬,9046,7029,7514,14543
練馬１丁目,2699,1992,2147,4139
練馬２丁目,1787,1474,1526,3000
練馬３丁目,2340,1719,1842,3561
練馬４丁目,2220,1844,1999,3843
向山,5879,5458,5668,11126
向山１丁目,1123,877,914,1791
