町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,381192,359603,381878,741481
旭丘,4933,3742,3685,7427
旭丘１丁目,3401,2566,2432,4998
旭丘２丁目,1532,1176,1253,2429
小竹町,5651,4469,4969,9438
小竹町１丁目,3098,2493,2681,5174
小竹町２丁目,2553,1976,2288,4264
栄町,2463,1856,2099,3955
羽沢,3837,3190,3400,6590
羽沢１丁目,919,657,711,1368
羽沢２丁目,1919,1588,1723,3311
羽沢３丁目,999,945,966,1911
豊玉上,4432,3079,3540,6619
豊玉上１丁目,1558,1160,1231,2391
豊玉上２丁目,2874,1919,2309,4228
豊玉中,6111,5415,5387,10802
豊玉中１丁目,1386,1239,1217,2456
豊玉中２丁目,1916,1645,1562,3207
豊玉中３丁目,1935,1551,1590,3141
豊玉中４丁目,874,980,1018,1998
豊玉南,4447,4296,4361,8657
豊玉南１丁目,1244,1150,1213,2363
豊玉南２丁目,1090,962,1023,1985
豊玉南３丁目,2113,2184,2125,4309
豊玉北,12681,9465,10260,19725
豊玉北１丁目,1694,1234,1418,2652
豊玉北２丁目,1491,1157,1264,2421
豊玉北３丁目,2246,1649,1697,3346
豊玉北４丁目,2728,1985,2138,4123
豊玉北５丁目,2669,1879,2058,3937
豊玉北６丁目,1853,1561,1685,3246
中村,5058,4769,5234,10003
中村１丁目,1202,1161,1290,2451
中村２丁目,1612,1637,1739,3376
中村３丁目,2244,1971,2205,4176
中村南,5704,5298,5686,10984
中村南１丁目,2068,2085,2156,4241
中村南２丁目,2101,1801,1896,3697
中村南３丁目,1535,1412,1634,3046
中村北,6905,5506,6189,11695
中村北１丁目,2206,1799,2008,3807
中村北２丁目,1712,1524,1552,3076
中村北３丁目,1299,922,1075,1997
中村北４丁目,1688,1261,1554,2815
桜台,14504,12488,13324,25812
桜台１丁目,3334,2479,2644,5123
桜台２丁目,2697,2317,2474,4791
桜台３丁目,2462,2244,2471,4715
桜台４丁目,2184,1681,1860,3541
桜台５丁目,2032,2006,1971,3977
桜台６丁目,1795,1761,1904,3665
練馬,9096,7036,7546,14582
練馬１丁目,2707,2002,2152,4154
練馬２丁目,1810,1471,1540,3011
練馬３丁目,2352,1726,1849,3575
練馬４丁目,2227,1837,2005,3842
向山,5886,5448,5679,11127
向山１丁目,1123,865,908,1773
向山２丁目,1352,1307,1296,2603
向山３丁目,1289,1171,1284,2455
向山４丁目,2122,2105,2191,4296
貫井,11435,9871,10497,20368
貫井１丁目,2729,2396,2716,5112
貫井２丁目,2286,1774,1870,3644
貫井３丁目,2807,2344,2536,4880
貫井４丁目,2203,2066,2153,4219
貫井５丁目,1410,1291,1222,2513
錦,3159,3075,3152,6227
錦１丁目,1857,1752,1840,3592
錦２丁目,1302,1323,1312,2635
氷川台,7142,6604,7009,13613
氷川台１丁目,123,110,128,238
氷川台２丁目,1431,1515,1530,3045
