町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,382104,357983,380834,738817
旭丘,4867,3674,3651,7325
旭丘１丁目,3351,2502,2395,4897
旭丘２丁目,1516,1172,1256,2428
小竹町,5670,4497,4963,9460
小竹町１丁目,3105,2480,2662,5142
小竹町２丁目,2565,2017,2301,4318
栄町,2599,1939,2182,4121
羽沢,3833,3202,3384,6586
羽沢１丁目,907,663,693,1356
羽沢２丁目,1930,1591,1732,3323
羽沢３丁目,996,948,959,1907
豊玉上,4382,3027,3489,6516
豊玉上１丁目,1527,1138,1205,2343
豊玉上２丁目,2855,1889,2284,4173
豊玉中,6094,5362,5336,10698
豊玉中１丁目,1374,1240,1186,2426
豊玉中２丁目,1937,1665,1577,3242
豊玉中３丁目,1920,1507,1561,3068
豊玉中４丁目,863,950,1012,1962
豊玉南,4468,4272,4329,8601
豊玉南１丁目,1248,1140,1185,2325
豊玉南２丁目,1106,970,1025,1995
豊玉南３丁目,2114,2162,2119,4281
豊玉北,12642,9356,10202,19558
豊玉北１丁目,1683,1209,1419,2628
豊玉北２丁目,1503,1167,1239,2406
豊玉北３丁目,2214,1592,1682,3274
豊玉北４丁目,2699,1970,2103,4073
豊玉北５丁目,2691,1874,2054,3928
豊玉北６丁目,1852,1544,1705,3249
中村,5062,4723,5226,9949
中村１丁目,1205,1155,1257,2412
中村２丁目,1632,1622,1760,3382
中村３丁目,2225,1946,2209,4155
中村南,5656,5349,5559,10908
中村南１丁目,2072,2111,2129,4240
中村南２丁目,2092,1809,1882,3691
中村南３丁目,1492,1429,1548,2977
中村北,6949,5485,6211,11696
中村北１丁目,2206,1801,1990,3791
中村北２丁目,1722,1520,1562,3082
中村北３丁目,1367,938,1133,2071
中村北４丁目,1654,1226,1526,2752
桜台,14478,12350,13250,25600
桜台１丁目,3313,2420,2656,5076
桜台２丁目,2703,2306,2475,4781
桜台３丁目,2508,2237,2461,4698
桜台４丁目,2179,1671,1833,3504
桜台５丁目,1987,1957,1950,3907
桜台６丁目,1788,1759,1875,3634
練馬,9218,7096,7536,14632
練馬１丁目,2809,2057,2184,4241
練馬２丁目,1790,1479,1487,2966
練馬３丁目,2386,1734,1844,3578
練馬４丁目,2233,1826,2021,3847
向山,5867,5451,5679,11130
向山１丁目,1107,871,901,1772
向山２丁目,1355,1300,1293,2593
向山３丁目,1285,1178,1286,2464
向山４丁目,2120,2102,2199,4301
貫井,11359,9668,10533,20201
貫井１丁目,2689,2346,2698,5044
貫井２丁目,2276,1756,1871,3627
貫井３丁目,2784,2245,2566,4811
貫井４丁目,2197,2057,2140,4197
貫井５丁目,1413,1264,1258,2522
錦,3160,3085,3113,6198
錦１丁目,1895,1778,1840,3618
錦２丁目,1265,1307,1273,2580
氷川台,7205,6557,7068,13625
氷川台１丁目,117,104,118,222
氷川台２丁目,1418,1477,1522,2999
氷川台３丁目,2914,2502,2694,5196
氷川台４丁目,2756,2474,2734,5208
平和台,6830,6885,7016,13901
平和台１丁目,1749,1805,1739,3544
平和台２丁目,1592,1483,1564,3047
平和台３丁目,2031,2192,2207,4399
平和台４丁目,1458,1405,1506,2911
早宮,9596,9247,9946,19193
早宮１丁目,3059,2810,3021,5831
早宮２丁目,2141,1986,2149,4135
早宮３丁目,2306,2305,2498,4803
早宮４丁目,2090,2146,2278,4424
春日町,13174,12529,13588,26117
春日町１丁目,2165,2118,2278,4396
春日町２丁目,2349,2279,2384,4663
春日町３丁目,2184,1908,2167,4075
春日町４丁目,2234,2153,2278,4431
春日町５丁目,2235,2154,2390,4544
春日町６丁目,2007,1917,2091,4008
高松,8400,8902,9216,18118
高松１丁目,1490,1470,1566,3036
高松２丁目,1229,1224,1331,2555
高松３丁目,1311,1606,1662,3268
高松４丁目,1561,1712,1767,3479
高松５丁目,1355,1331,1364,2695
高松６丁目,1454,1559,1526,3085
北町,15451,13324,13261,26585
北町１丁目,2842,2254,2387,4641
北町２丁目,3305,3065,3227,6292
北町３丁目,1708,1478,1600,3078
北町４丁目,896,834,62,896
北町５丁目,1342,1208,1227,2435
北町６丁目,1592,1242,1418,2660
北町７丁目,1567,1390,1427,2817
北町８丁目,2199,1853,1913,3766
田柄,13789,14254,14837,29091
田柄１丁目,2423,2398,2596,4994
田柄２丁目,3772,3442,3651,7093
田柄３丁目,2523,2854,2786,5640
田柄４丁目,3181,3594,3683,7277
田柄５丁目,1890,1966,2121,4087
光が丘,12737,12358,14350,26708
光が丘１丁目,1561,1155,1414,2569
光が丘２丁目,2558,2309,2906,5215
光が丘３丁目,3951,4231,4638,8869
光が丘４丁目,0,0,0,0
光が丘５丁目,1606,1446,1816,3262
光が丘６丁目,478,460,566,1026
光が丘７丁目,2583,2757,3010,5767
旭町,6835,6438,6438,12876
旭町１丁目,1925,2083,2145,4228
旭町２丁目,2514,2211,2218,4429
旭町３丁目,2396,2144,2075,4219
土支田,6267,7063,7191,14254
土支田１丁目,1608,1718,1823,3541
土支田２丁目,1361,1545,1558,3103
土支田３丁目,1815,2058,2129,4187
土支田４丁目,1483,1742,1681,3423
富士見台,7876,7590,7958,15548
富士見台１丁目,1525,1508,1625,3133
富士見台２丁目,2301,2047,2119,4166
富士見台３丁目,2196,2017,2157,4174
富士見台４丁目,1854,2018,2057,4075
南田中,6451,6105,6378,12483
南田中１丁目,1246,1254,1261,2515
南田中２丁目,918,916,920,1836
南田中３丁目,1424,1257,1399,2656
南田中４丁目,1510,1568,1553,3121
南田中５丁目,1353,1110,1245,2355
高野台,7563,7249,8127,15376
高野台１丁目,1782,1573,1898,3471
高野台２丁目,1597,1609,1735,3344
高野台３丁目,1466,1371,1487,2858
高野台４丁目,1305,1260,1407,2667
高野台５丁目,1413,1436,1600,3036
谷原,5837,6592,6773,13365
谷原１丁目,967,1064,1080,2144
谷原２丁目,833,868,894,1762
谷原３丁目,844,1003,1069,2072
谷原４丁目,796,981,986,1967
谷原５丁目,1391,1535,1605,3140
谷原６丁目,1006,1141,1139,2280
三原台,4271,4658,4729,9387
三原台１丁目,1936,2098,2081,4179
三原台２丁目,898,1044,1012,2056
三原台３丁目,1437,1516,1636,3152
石神井町,14937,13313,14635,27948
石神井町１丁目,1800,1420,1727,3147
石神井町２丁目,2407,2113,2424,4537
石神井町３丁目,1979,1580,1729,3309
石神井町４丁目,1744,1637,1790,3427
石神井町５丁目,955,832,879,1711
石神井町６丁目,1647,1526,1597,3123
石神井町７丁目,2169,2066,2193,4259
石神井町８丁目,2236,2139,2296,4435
石神井台,15008,15023,16029,31052
石神井台１丁目,717,795,838,1633
石神井台２丁目,2214,2318,2395,4713
石神井台３丁目,2717,2626,2756,5382
石神井台４丁目,2269,2217,2529,4746
石神井台５丁目,1760,1932,1996,3928
石神井台６丁目,1361,1432,1543,2975
石神井台７丁目,2205,1798,1963,3761
