町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,380349,359633,381955,741588
旭丘,4962,3761,3722,7483
旭丘１丁目,3410,2568,2443,5011
旭丘２丁目,1552,1193,1279,2472
小竹町,5666,4508,4988,9496
小竹町１丁目,3084,2507,2689,5196
小竹町２丁目,2582,2001,2299,4300
栄町,2437,1845,2091,3936
羽沢,3845,3203,3409,6612
羽沢１丁目,919,660,707,1367
羽沢２丁目,1918,1592,1719,3311
羽沢３丁目,1008,951,983,1934
豊玉上,4431,3092,3531,6623
豊玉上１丁目,1548,1171,1220,2391
豊玉上２丁目,2883,1921,2311,4232
豊玉中,6089,5402,5391,10793
豊玉中１丁目,1390,1227,1216,2443
豊玉中２丁目,1874,1634,1546,3180
豊玉中３丁目,1950,1568,1610,3178
豊玉中４丁目,875,973,1019,1992
豊玉南,4444,4305,4341,8646
豊玉南１丁目,1241,1150,1217,2367
豊玉南２丁目,1080,968,1010,1978
豊玉南３丁目,2123,2187,2114,4301
豊玉北,12627,9441,10249,19690
豊玉北１丁目,1696,1229,1418,2647
豊玉北２丁目,1505,1155,1290,2445
豊玉北３丁目,2225,1633,1685,3318
豊玉北４丁目,2681,1961,2109,4070
豊玉北５丁目,2670,1893,2056,3949
豊玉北６丁目,1850,1570,1691,3261
中村,5040,4787,5212,9999
中村１丁目,1207,1181,1293,2474
中村２丁目,1603,1641,1724,3365
中村３丁目,2230,1965,2195,4160
中村南,5739,5334,5684,11018
中村南１丁目,2090,2106,2181,4287
中村南２丁目,2113,1805,1883,3688
中村南３丁目,1536,1423,1620,3043
中村北,6899,5515,6219,11734
中村北１丁目,2180,1784,1993,3777
中村北２丁目,1705,1512,1553,3065
中村北３丁目,1312,931,1086,2017
中村北４丁目,1702,1288,1587,2875
桜台,14442,12421,13308,25729
桜台１丁目,3293,2452,2631,5083
桜台２丁目,2711,2320,2487,4807
桜台３丁目,2461,2244,2478,4722
桜台４丁目,2167,1644,1840,3484
桜台５丁目,2031,2022,1980,4002
桜台６丁目,1779,1739,1892,3631
練馬,9121,7085,7551,14636
練馬１丁目,2716,2016,2150,4166
練馬２丁目,1803,1477,1539,3016
練馬３丁目,2377,1751,1855,3606
練馬４丁目,2225,1841,2007,3848
向山,5853,5425,5653,11078
向山１丁目,1136,872,917,1789
向山２丁目,1345,1307,1289,2596
向山３丁目,1276,1176,1278,2454
向山４丁目,2096,2070,2169,4239
貫井,11399,9886,10468,20354
貫井１丁目,2726,2390,2707,5097
貫井２丁目,2239,1765,1847,3612
貫井３丁目,2795,2354,2522,4876
貫井４丁目,2217,2083,2173,4256
貫井５丁目,1422,1294,1219,2513
錦,3132,3050,3131,6181
錦１丁目,1842,1745,1843,3588
錦２丁目,1290,1305,1288,2593
氷川台,7155,6620,7037,13657
氷川台１丁目,122,111,127,238
氷川台２丁目,1433,1512,1519,3031
氷川台３丁目,2832,2498,2656,5154
氷川台４丁目,2768,2499,2735,5234
平和台,6785,6871,7069,13940
平和台１丁目,1754,1821,1784,3605
平和台２丁目,1594,1519,1580,3099
平和台３丁目,1992,2098,2209,4307
平和台４丁目,1445,1433,1496,2929
早宮,9655,9335,10074,19409
早宮１丁目,3071,2856,3089,5945
早宮２丁目,2176,2043,2172,4215
早宮３丁目,2321,2290,2513,4803
早宮４丁目,2087,2146,2300,4446
春日町,12973,12416,13496,25912
春日町１丁目,2142,2087,2274,4361
春日町２丁目,2268,2225,2327,4552
春日町３丁目,2166,1913,2193,4106
春日町４丁目,2236,2168,2278,4446
春日町５丁目,2200,2125,2377,4502
春日町６丁目,1961,1898,2047,3945
高松,8318,8987,9203,18190
高松１丁目,1490,1496,1568,3064
高松２丁目,1160,1204,1311,2515
高松３丁目,1277,1588,1650,3238
高松４丁目,1552,1737,1772,3509
高松５丁目,1398,1369,1399,2768
高松６丁目,1441,1593,1503,3096
北町,15192,13218,12993,26211
北町１丁目,2775,2197,2336,4533
北町２丁目,3267,3106,3168,6274
北町３丁目,1624,1396,1469,2865
北町４丁目,895,834,61,895
北町５丁目,1306,1216,1210,2426
北町６丁目,1539,1196,1388,2584
北町７丁目,1586,1399,1461,2860
北町８丁目,2200,1874,1900,3774
田柄,13752,14493,14995,29488
田柄１丁目,2464,2446,2648,5094
田柄２丁目,3819,3545,3724,7269
田柄３丁目,2454,2891,2841,5732
田柄４丁目,3151,3606,3667,7273
田柄５丁目,1864,2005,2115,4120
光が丘,12789,12700,14670,27370
光が丘１丁目,1573,1228,1451,2679
光が丘２丁目,2597,2427,3024,5451
光が丘３丁目,3954,4299,4713,9012
光が丘４丁目,0,0,0,0
光が丘５丁目,1619,1498,1851,3349
