町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,381486,357528,380347,737875
旭丘,4869,3666,3653,7319
旭丘１丁目,3347,2499,2394,4893
旭丘２丁目,1522,1167,1259,2426
小竹町,5669,4506,4979,9485
小竹町１丁目,3103,2487,2670,5157
小竹町２丁目,2566,2019,2309,4328
栄町,2575,1920,2174,4094
羽沢,3821,3198,3366,6564
羽沢１丁目,905,656,690,1346
羽沢２丁目,1919,1594,1723,3317
羽沢３丁目,997,948,953,1901
豊玉上,4368,3036,3466,6502
豊玉上１丁目,1528,1144,1202,2346
豊玉上２丁目,2840,1892,2264,4156
豊玉中,6087,5357,5322,10679
豊玉中１丁目,1359,1226,1183,2409
豊玉中２丁目,1946,1674,1576,3250
豊玉中３丁目,1925,1508,1560,3068
豊玉中４丁目,857,949,1003,1952
豊玉南,4432,4245,4308,8553
豊玉南１丁目,1234,1124,1178,2302
豊玉南２丁目,1098,970,1023,1993
豊玉南３丁目,2100,2151,2107,4258
豊玉北,12627,9366,10148,19514
豊玉北１丁目,1670,1208,1403,2611
豊玉北２丁目,1529,1181,1246,2427
豊玉北３丁目,2203,1579,1662,3241
豊玉北４丁目,2693,1973,2088,4061
豊玉北５丁目,2680,1878,2043,3921
豊玉北６丁目,1852,1547,1706,3253
中村,5039,4682,5203,9885
中村１丁目,1205,1152,1253,2405
中村２丁目,1607,1596,1740,3336
中村３丁目,2227,1934,2210,4144
中村南,5645,5325,5550,10875
中村南１丁目,2057,2097,2122,4219
中村南２丁目,2086,1797,1869,3666
中村南３丁目,1502,1431,1559,2990
中村北,6933,5473,6207,11680
中村北１丁目,2190,1787,1987,3774
中村北２丁目,1724,1513,1561,3074
中村北３丁目,1355,930,1122,2052
中村北４丁目,1664,1243,1537,2780
桜台,14469,12360,13243,25603
桜台１丁目,3309,2414,2661,5075
桜台２丁目,2698,2314,2474,4788
桜台３丁目,2522,2250,2462,4712
桜台４丁目,2160,1663,1816,3479
桜台５丁目,2000,1964,1961,3925
桜台６丁目,1780,1755,1869,3624
練馬,9199,7078,7543,14621
練馬１丁目,2795,2059,2175,4234
練馬２丁目,1782,1471,1490,2961
練馬３丁目,2402,1736,1860,3596
練馬４丁目,2220,1812,2018,3830
向山,5856,5436,5659,11095
向山１丁目,1096,867,887,1754
向山２丁目,1346,1290,1288,2578
向山３丁目,1291,1182,1291,2473
向山４丁目,2123,2097,2193,4290
貫井,11318,9660,10508,20168
貫井１丁目,2676,2336,2690,5026
貫井２丁目,2253,1754,1853,3607
貫井３丁目,2795,2245,2569,4814
貫井４丁目,2196,2066,2144,4210
