町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,380437,358853,380943,739796
旭丘,4898,3699,3681,7380
旭丘１丁目,3375,2534,2425,4959
旭丘２丁目,1523,1165,1256,2421
小竹町,5627,4457,4954,9411
小竹町１丁目,3075,2483,2660,5143
小竹町２丁目,2552,1974,2294,4268
栄町,2494,1878,2103,3981
羽沢,3830,3186,3356,6542
羽沢１丁目,900,659,681,1340
羽沢２丁目,1937,1588,1710,3298
羽沢３丁目,993,939,965,1904
豊玉上,4405,3063,3532,6595
豊玉上１丁目,1535,1145,1220,2365
豊玉上２丁目,2870,1918,2312,4230
豊玉中,6041,5364,5326,10690
豊玉中１丁目,1381,1239,1200,2439
豊玉中２丁目,1904,1650,1559,3209
豊玉中３丁目,1891,1515,1548,3063
豊玉中４丁目,865,960,1019,1979
豊玉南,4460,4296,4388,8684
豊玉南１丁目,1260,1159,1223,2382
豊玉南２丁目,1102,961,1034,1995
豊玉南３丁目,2098,2176,2131,4307
豊玉北,12608,9412,10195,19607
豊玉北１丁目,1682,1224,1415,2639
豊玉北２丁目,1484,1161,1243,2404
豊玉北３丁目,2228,1629,1687,3316
豊玉北４丁目,2708,1966,2112,4078
豊玉北５丁目,2688,1906,2080,3986
豊玉北６丁目,1818,1526,1658,3184
中村,5024,4733,5211,9944
中村１丁目,1190,1150,1268,2418
中村２丁目,1614,1635,1750,3385
中村３丁目,2220,1948,2193,4141
中村南,5674,5312,5655,10967
中村南１丁目,2064,2088,2154,4242
中村南２丁目,2110,1812,1904,3716
中村南３丁目,1500,1412,1597,3009
中村北,6868,5475,6171,11646
中村北１丁目,2189,1787,1983,3770
中村北２丁目,1714,1524,1544,3068
中村北３丁目,1296,912,1084,1996
中村北４丁目,1669,1252,1560,2812
桜台,14481,12440,13294,25734
桜台１丁目,3324,2463,2657,5120
桜台２丁目,2682,2309,2448,4757
桜台３丁目,2478,2236,2490,4726
桜台４丁目,2183,1669,1846,3515
桜台５丁目,2014,2005,1955,3960
桜台６丁目,1800,1758,1898,3656
練馬,9006,6994,7472,14466
練馬１丁目,2703,1989,2149,4138
練馬２丁目,1784,1475,1524,2999
練馬３丁目,2311,1692,1807,3499
練馬４丁目,2208,1838,1992,3830
向山,5870,5467,5648,11115
向山１丁目,1123,878,913,1791
向山２丁目,1351,1313,1285,2598
向山３丁目,1285,1174,1277,2451
向山４丁目,2111,2102,2173,4275
貫井,11379,9804,10477,20281
貫井１丁目,2729,2403,2717,5120
貫井２丁目,2284,1772,1874,3646
貫井３丁目,2801,2316,2556,4872
貫井４丁目,2177,2047,2111,4158
貫井５丁目,1388,1266,1219,2485
錦,3188,3093,3173,6266
錦１丁目,1874,1770,1840,3610
錦２丁目,1314,1323,1333,2656
氷川台,7166,6606,7040,13646
氷川台１丁目,117,102,123,225
氷川台２丁目,1404,1494,1521,3015
氷川台３丁目,2875,2490,2657,5147
氷川台４丁目,2770,2520,2739,5259
平和台,6767,6870,7035,13905
平和台１丁目,1747,1825,1760,3585
平和台２丁目,1582,1489,1564,3053
平和台３丁目,1967,2126,2184,4310
平和台４丁目,1471,1430,1527,2957
早宮,9624,9336,10029,19365
早宮１丁目,3088,2853,3079,5932
早宮２丁目,2135,2004,2157,4161
早宮３丁目,2310,2315,2508,4823
早宮４丁目,2091,2164,2285,4449
春日町,13018,12474,13570,26044
春日町１丁目,2133,2079,2267,4346
春日町２丁目,2288,2236,2359,4595
春日町３丁目,2190,1952,2207,4159
春日町４丁目,2243,2168,2302,4470
春日町５丁目,2191,2136,2365,4501
春日町６丁目,1973,1903,2070,3973
高松,8292,8926,9192,18118
高松１丁目,1498,1480,1575,3055
高松２丁目,1152,1179,1302,2481
高松３丁目,1289,1608,1666,3274
高松４丁目,1570,1747,1779,3526
高松５丁目,1347,1342,1366,2708
高松６丁目,1436,1570,1504,3074
北町,15354,13338,13104,26442
北町１丁目,2862,2293,2388,4681
北町２丁目,3241,3069,3176,6245
北町３丁目,1633,1430,1513,2943
北町４丁目,983,911,72,983
北町５丁目,1298,1178,1219,2397
北町６丁目,1540,1194,1378,2572
北町７丁目,1600,1399,1444,2843
北町８丁目,2197,1864,1914,3778
田柄,13738,14375,14929,29304
田柄１丁目,2411,2414,2597,5011
田柄２丁目,3845,3537,3735,7272
田柄３丁目,2500,2869,2827,5696
田柄４丁目,3141,3577,3653,7230
田柄５丁目,1841,1978,2117,4095
光が丘,12796,12561,14541,27102
光が丘１丁目,1587,1215,1439,2654
光が丘２丁目,2575,2374,2962,5336
光が丘３丁目,3924,4234,4674,8908
光が丘４丁目,0,0,0,0
光が丘５丁目,1618,1459,1840,3299
光が丘６丁目,483,470,584,1054
光が丘７丁目,2609,2809,3042,5851
旭町,6898,6542,6549,13091
旭町１丁目,1922,2099,2160,4259
旭町２丁目,2589,2288,2303,4591
旭町３丁目,2387,2155,2086,4241
土支田,6153,6953,6981,13934
土支田１丁目,1594,1734,1781,3515
土支田２丁目,1324,1474,1474,2948
土支田３丁目,1770,2021,2084,4105
土支田４丁目,1465,1724,1642,3366
富士見台,7951,7655,7948,15603
富士見台１丁目,1565,1537,1607,3144
富士見台２丁目,2319,2071,2143,4214
富士見台３丁目,2186,2016,2134,4150
富士見台４丁目,1881,2031,2064,4095
南田中,6424,6082,6395,12477
南田中１丁目,1241,1243,1264,2507
南田中２丁目,892,897,893,1790
南田中３丁目,1424,1252,1410,2662
南田中４丁目,1519,1581,1563,3144
南田中５丁目,1348,1109,1265,2374
高野台,7561,7265,8142,15407
高野台１丁目,1799,1597,1899,3496
高野台２丁目,1569,1603,1708,3311
高野台３丁目,1516,1395,1544,2939
高野台４丁目,1279,1243,1388,2631
高野台５丁目,1398,1427,1603,3030
谷原,5776,6538,6707,13245
谷原１丁目,934,1039,1049,2088
谷原２丁目,837,871,902,1773
谷原３丁目,845,1009,1070,2079
谷原４丁目,781,972,969,1941
谷原５丁目,1369,1502,1564,3066
谷原６丁目,1010,1145,1153,2298
三原台,4249,4637,4747,9384
三原台１丁目,1967,2114,2126,4240
三原台２丁目,872,1013,995,2008
三原台３丁目,1410,1510,1626,3136
石神井町,14909,13340,14682,28022
石神井町１丁目,1809,1420,1730,3150
石神井町２丁目,2416,2120,2460,4580
石神井町３丁目,1964,1596,1725,3321
石神井町４丁目,1774,1669,1804,3473
石神井町５丁目,927,834,871,1705
石神井町６丁目,1640,1520,1609,3129
石神井町７丁目,2136,2024,2160,4184
石神井町８丁目,2243,2157,2323,4480
石神井台,14871,14989,15969,30958
石神井台１丁目,728,798,841,1639
石神井台２丁目,2165,2315,2364,4679
石神井台３丁目,2719,2626,2788,5414
石神井台４丁目,2278,2229,2557,4786
石神井台５丁目,1787,1960,2020,3980
石神井台６丁目,1327,1414,1515,2929
石神井台７丁目,2135,1782,1926,3708
石神井台８丁目,1732,1865,1958,3823
下石神井,8843,9045,9283,18328
下石神井１丁目,1268,1349,1353,2702
下石神井２丁目,1581,1660,1717,3377
下石神井３丁目,1125,1201,1261,2462
下石神井４丁目,1969,1756,1813,3569
下石神井５丁目,1299,1296,1346,2642
下石神井６丁目,1601,1783,1793,3576
東大泉,18135,16564,18527,35091
東大泉１丁目,2446,2177,2531,4708
東大泉２丁目,3094,3042,3294,6336
東大泉３丁目,2630,2199,2616,4815
東大泉４丁目,1697,1449,1510,2959
東大泉５丁目,2087,1816,2133,3949
東大泉６丁目,3312,2933,3390,6323
東大泉７丁目,2869,2948,3053,6001
西大泉町,13,13,20,33
西大泉,9926,10785,11241,22026
西大泉１丁目,1950,2050,2027,4077
西大泉２丁目,1280,1408,1523,2931
西大泉３丁目,1709,1777,1884,3661
西大泉４丁目,1510,1798,1889,3687
西大泉５丁目,2232,2374,2503,4877
西大泉６丁目,1245,1378,1415,2793
南大泉,12587,13154,13931,27085
南大泉１丁目,2166,2338,2423,4761
南大泉２丁目,1920,2155,2275,4430
南大泉３丁目,2244,2359,2442,4801
南大泉４丁目,3093,3100,3252,6352
南大泉５丁目,2319,2274,2521,4795
南大泉６丁目,845,928,1018,1946
大泉町,10097,10962,11231,22193
大泉町１丁目,2336,2657,2665,5322
大泉町２丁目,2216,2330,2436,4766
大泉町３丁目,1730,1897,1933,3830
大泉町４丁目,1644,1881,1888,3769
大泉町５丁目,1031,1060,1098,2158
大泉町６丁目,1140,1137,1211,2348
大泉学園町,15716,16837,17650,34487
大泉学園町１丁目,1468,1517,1657,3174
大泉学園町２丁目,1991,1983,2038,4021
大泉学園町３丁目,1360,1646,1609,3255
大泉学園町４丁目,1900,2111,2221,4332
大泉学園町５丁目,2132,2363,2462,4825
大泉学園町６丁目,2299,2498,2693,5191
大泉学園町７丁目,2350,2401,2588,4989
大泉学園町８丁目,2146,2279,2351,4630
大泉学園町９丁目,70,39,31,70
関町北,11721,10492,11528,22020
関町北１丁目,2135,1639,1894,3533
関町北２丁目,2793,2149,2479,4628
関町北３丁目,2189,2028,2109,4137
関町北４丁目,2146,1981,2140,4121
関町北５丁目,2458,2695,2906,5601
関町南,8981,8789,9345,18134
関町南１丁目,1272,1180,1246,2426
関町南２丁目,2186,2085,2213,4298
関町南３丁目,2061,2096,2138,4234
関町南４丁目,3462,3428,3748,7176
上石神井南町,1091,1090,1098,2188
立野町,2431,2548,2771,5319
上石神井,10462,8811,9456,18267
上石神井１丁目,3474,2686,2842,5528
上石神井２丁目,2414,2080,2285,4365
上石神井３丁目,1920,1752,1849,3601
上石神井４丁目,2654,2293,2480,4773
関町東,3034,2603,2666,5269
関町東１丁目,2062,1854,1898,3752
関町東２丁目,972,749,768,1517
