町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,384628,357890,381322,739212
旭丘,4903,3667,3654,7321
旭丘１丁目,3351,2481,2388,4869
旭丘２丁目,1552,1186,1266,2452
小竹町,5731,4529,5010,9539
小竹町１丁目,3134,2497,2691,5188
小竹町２丁目,2597,2032,2319,4351
栄町,2599,1924,2185,4109
羽沢,3854,3248,3360,6608
羽沢１丁目,927,674,693,1367
羽沢２丁目,1926,1617,1716,3333
羽沢３丁目,1001,957,951,1908
豊玉上,4459,3078,3509,6587
豊玉上１丁目,1561,1149,1214,2363
豊玉上２丁目,2898,1929,2295,4224
豊玉中,6132,5357,5356,10713
豊玉中１丁目,1346,1218,1173,2391
豊玉中２丁目,1972,1681,1603,3284
豊玉中３丁目,1953,1509,1567,3076
豊玉中４丁目,861,949,1013,1962
豊玉南,4479,4248,4308,8556
豊玉南１丁目,1259,1133,1183,2316
豊玉南２丁目,1110,964,1024,1988
豊玉南３丁目,2110,2151,2101,4252
豊玉北,12702,9367,10126,19493
豊玉北１丁目,1668,1199,1407,2606
豊玉北２丁目,1581,1217,1274,2491
豊玉北３丁目,2215,1585,1636,3221
豊玉北４丁目,2721,1985,2075,4060
豊玉北５丁目,2668,1851,2034,3885
豊玉北６丁目,1849,1530,1700,3230
中村,5108,4708,5226,9934
中村１丁目,1216,1155,1252,2407
中村２丁目,1647,1629,1768,3397
中村３丁目,2245,1924,2206,4130
中村南,5740,5352,5586,10938
中村南１丁目,2060,2098,2109,4207
中村南２丁目,2157,1822,1914,3736
中村南３丁目,1523,1432,1563,2995
中村北,6981,5466,6278,11744
中村北１丁目,2177,1766,1977,3743
中村北２丁目,1739,1518,1584,3102
中村北３丁目,1364,929,1126,2055
中村北４丁目,1701,1253,1591,2844
桜台,14601,12393,13311,25704
桜台１丁目,3306,2434,2667,5101
桜台２丁目,2706,2306,2478,4784
桜台３丁目,2583,2266,2499,4765
桜台４丁目,2207,1670,1851,3521
桜台５丁目,2009,1964,1948,3912
桜台６丁目,1790,1753,1868,3621
練馬,9253,7061,7548,14609
練馬１丁目,2826,2078,2162,4240
練馬２丁目,1797,1466,1510,2976
