町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,376885,358474,379630,738104
旭丘,4856,3684,3674,7358
旭丘１丁目,3333,2502,2404,4906
旭丘２丁目,1523,1182,1270,2452
小竹町,5616,4533,4962,9495
小竹町１丁目,3031,2501,2657,5158
小竹町２丁目,2585,2032,2305,4337
栄町,2443,1866,2083,3949
羽沢,3800,3202,3365,6567
羽沢１丁目,897,648,700,1348
羽沢２丁目,1908,1611,1697,3308
羽沢３丁目,995,943,968,1911
豊玉上,4376,3075,3498,6573
豊玉上１丁目,1536,1161,1211,2372
豊玉上２丁目,2840,1914,2287,4201
豊玉中,6044,5374,5342,10716
豊玉中１丁目,1365,1217,1194,2411
豊玉中２丁目,1842,1625,1516,3141
豊玉中３丁目,1950,1567,1602,3169
豊玉中４丁目,887,965,1030,1995
豊玉南,4459,4306,4328,8634
豊玉南１丁目,1266,1166,1234,2400
豊玉南２丁目,1094,980,1006,1986
豊玉南３丁目,2099,2160,2088,4248
豊玉北,12367,9329,10146,19475
豊玉北１丁目,1676,1211,1413,2624
豊玉北２丁目,1520,1162,1309,2471
豊玉北３丁目,2103,1577,1621,3198
豊玉北４丁目,2649,1971,2077,4048
豊玉北５丁目,2599,1844,2032,3876
豊玉北６丁目,1820,1564,1694,3258
中村,4995,4789,5166,9955
中村１丁目,1208,1192,1289,2481
中村２丁目,1560,1616,1686,3302
中村３丁目,2227,1981,2191,4172
中村南,5687,5307,5625,10932
中村南１丁目,2069,2081,2151,4232
中村南２丁目,2104,1812,1876,3688
中村南３丁目,1514,1414,1598,3012
中村北,6860,5505,6183,11688
中村北１丁目,2160,1798,1968,3766
中村北２丁目,1707,1500,1549,3049
中村北３丁目,1303,923,1087,2010
中村北４丁目,1690,1284,1579,2863
桜台,14242,12344,13125,25469
桜台１丁目,3265,2463,2609,5072
桜台２丁目,2662,2306,2459,4765
桜台３丁目,2434,2270,2457,4727
桜台４丁目,2092,1629,1773,3402
桜台５丁目,2022,1979,1972,3951
桜台６丁目,1767,1697,1855,3552
練馬,8962,7022,7420,14442
練馬１丁目,2639,1999,2092,4091
練馬２丁目,1799,1469,1512,2981
練馬３丁目,2349,1739,1832,3571
練馬４丁目,2175,1815,1984,3799
向山,5804,5429,5624,11053
向山１丁目,1120,880,891,1771
向山２丁目,1332,1297,1295,2592
向山３丁目,1263,1179,1281,2460
向山４丁目,2089,2073,2157,4230
貫井,11203,9834,10355,20189
貫井１丁目,2709,2403,2711,5114
貫井２丁目,2111,1720,1757,3477
貫井３丁目,2776,2357,2522,4879
貫井４丁目,2208,2091,2176,4267
貫井５丁目,1399,1263,1189,2452
錦,3076,3018,3119,6137
錦１丁目,1793,1716,1822,3538
錦２丁目,1283,1302,1297,2599
氷川台,7151,6628,7014,13642
氷川台１丁目,121,111,130,241
氷川台２丁目,1406,1502,1485,2987
氷川台３丁目,2860,2527,2658,5185
氷川台４丁目,2764,2488,2741,5229
平和台,6765,6904,7052,13956
平和台１丁目,1739,1806,1775,3581
平和台２丁目,1574,1495,1597,3092
平和台３丁目,1994,2147,2180,4327
平和台４丁目,1458,1456,1500,2956
早宮,9550,9305,10022,19327
早宮１丁目,3033,2857,3077,5934
早宮２丁目,2155,2029,2141,4170
早宮３丁目,2283,2281,2502,4783
早宮４丁目,2079,2138,2302,4440
春日町,12793,12283,13401,25684
春日町１丁目,2115,2082,2276,4358
春日町２丁目,2226,2210,2331,4541
春日町３丁目,2151,1913,2175,4088
春日町４丁目,2236,2175,2297,4472
春日町５丁目,2192,2116,2359,4475
春日町６丁目,1873,1787,1963,3750
高松,8210,8950,9123,18073
高松１丁目,1512,1505,1565,3070
高松２丁目,1162,1209,1312,2521
高松３丁目,1259,1560,1643,3203
高松４丁目,1512,1741,1751,3492
高松５丁目,1344,1363,1373,2736
高松６丁目,1421,1572,1479,3051
北町,15186,13295,12883,26178
北町１丁目,2770,2241,2325,4566
北町２丁目,3237,3083,3142,6225
北町３丁目,1572,1351,1409,2760
北町４丁目,989,924,65,989
北町５丁目,1317,1221,1208,2429
北町６丁目,1537,1203,1390,2593
北町７丁目,1589,1417,1464,2881
北町８丁目,2175,1855,1880,3735
田柄,13640,14557,14968,29525
田柄１丁目,2454,2450,2641,5091
田柄２丁目,3735,3503,3677,7180
田柄３丁目,2462,2933,2868,5801
田柄４丁目,3118,3632,3668,7300
田柄５丁目,1871,2039,2114,4153
光が丘,12768,12784,14699,27483
光が丘１丁目,1556,1235,1443,2678
光が丘２丁目,2592,2444,3042,5486
光が丘３丁目,3977,4331,4745,9076
光が丘４丁目,0,0,0,0
光が丘５丁目,1609,1502,1845,3347
光が丘６丁目,473,473,585,1058
光が丘７丁目,2561,2799,3039,5838
旭町,6794,6431,6554,12985
旭町１丁目,1901,2069,2159,4228
旭町２丁目,2615,2300,2323,4623
