町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,382625,358810,381185,739995
旭丘,4901,3696,3676,7372
旭丘１丁目,3373,2518,2413,4931
旭丘２丁目,1528,1178,1263,2441
小竹町,5667,4507,4969,9476
小竹町１丁目,3099,2494,2663,5157
小竹町２丁目,2568,2013,2306,4319
栄町,2600,1950,2179,4129
羽沢,3856,3200,3400,6600
羽沢１丁目,909,662,692,1354
羽沢２丁目,1948,1595,1745,3340
羽沢３丁目,999,943,963,1906
豊玉上,4382,3022,3504,6526
豊玉上１丁目,1527,1129,1212,2341
豊玉上２丁目,2855,1893,2292,4185
豊玉中,6083,5359,5317,10676
豊玉中１丁目,1376,1249,1190,2439
豊玉中２丁目,1925,1657,1567,3224
豊玉中３丁目,1924,1509,1548,3057
豊玉中４丁目,858,944,1012,1956
豊玉南,4459,4277,4334,8611
豊玉南１丁目,1242,1132,1192,2324
豊玉南２丁目,1101,966,1023,1989
豊玉南３丁目,2116,2179,2119,4298
豊玉北,12722,9452,10247,19699
豊玉北１丁目,1691,1225,1421,2646
豊玉北２丁目,1518,1183,1266,2449
豊玉北３丁目,2246,1618,1697,3315
豊玉北４丁目,2708,1987,2096,4083
豊玉北５丁目,2699,1885,2070,3955
豊玉北６丁目,1860,1554,1697,3251
中村,5062,4735,5222,9957
中村１丁目,1191,1145,1247,2392
中村２丁目,1637,1640,1757,3397
中村３丁目,2234,1950,2218,4168
中村南,5634,5308,5533,10841
中村南１丁目,2054,2080,2107,4187
中村南２丁目,2086,1810,1874,3684
中村南３丁目,1494,1418,1552,2970
中村北,6955,5502,6219,11721
中村北１丁目,2207,1803,1987,3790
中村北２丁目,1731,1531,1571,3102
中村北３丁目,1345,934,1119,2053
中村北４丁目,1672,1234,1542,2776
桜台,14470,12365,13213,25578
桜台１丁目,3293,2410,2627,5037
桜台２丁目,2698,2309,2471,4780
桜台３丁目,2496,2240,2456,4696
桜台４丁目,2184,1668,1835,3503
桜台５丁目,2014,1987,1960,3947
桜台６丁目,1785,1751,1864,3615
練馬,9128,7035,7521,14556
