町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,377924,359026,380477,739503
旭丘,4871,3712,3662,7374
旭丘１丁目,3336,2524,2391,4915
旭丘２丁目,1535,1188,1271,2459
小竹町,5613,4507,4947,9454
小竹町１丁目,3040,2502,2657,5159
小竹町２丁目,2573,2005,2290,4295
栄町,2437,1857,2082,3939
羽沢,3805,3179,3398,6577
羽沢１丁目,906,654,703,1357
羽沢２丁目,1903,1583,1715,3298
羽沢３丁目,996,942,980,1922
豊玉上,4369,3073,3486,6559
豊玉上１丁目,1524,1163,1200,2363
豊玉上２丁目,2845,1910,2286,4196
豊玉中,6046,5380,5385,10765
豊玉中１丁目,1393,1234,1226,2460
豊玉中２丁目,1833,1618,1526,3144
豊玉中３丁目,1936,1552,1604,3156
豊玉中４丁目,884,976,1029,2005
豊玉南,4446,4319,4323,8642
豊玉南１丁目,1249,1154,1219,2373
豊玉南２丁目,1075,971,995,1966
豊玉南３丁目,2122,2194,2109,4303
豊玉北,12495,9382,10188,19570
豊玉北１丁目,1682,1222,1414,2636
豊玉北２丁目,1520,1152,1308,2460
豊玉北３丁目,2199,1628,1669,3297
豊玉北４丁目,2639,1958,2079,4037
豊玉北５丁目,2611,1853,2030,3883
豊玉北６丁目,1844,1569,1688,3257
中村,4984,4772,5177,9949
中村１丁目,1205,1186,1293,2479
中村２丁目,1571,1631,1697,3328
中村３丁目,2208,1955,2187,4142
中村南,5729,5348,5670,11018
中村南１丁目,2103,2117,2192,4309
中村南２丁目,2111,1807,1873,3680
中村南３丁目,1515,1424,1605,3029
中村北,6865,5527,6190,11717
中村北１丁目,2175,1800,1985,3785
中村北２丁目,1701,1507,1551,3058
中村北３丁目,1293,925,1073,1998
中村北４丁目,1696,1295,1581,2876
桜台,14289,12390,13174,25564
桜台１丁目,3265,2460,2614,5074
桜台２丁目,2691,2311,2478,4789
桜台３丁目,2443,2269,2461,4730
桜台４丁目,2105,1627,1781,3408
桜台５丁目,2023,2004,1980,3984
桜台６丁目,1762,1719,1860,3579
練馬,8957,7012,7446,14458
練馬１丁目,2667,2005,2117,4122
練馬２丁目,1776,1455,1515,2970
