町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,382739,359168,381604,740772
旭丘,4924,3710,3681,7391
旭丘１丁目,3389,2531,2424,4955
旭丘２丁目,1535,1179,1257,2436
小竹町,5681,4493,4964,9457
小竹町１丁目,3097,2486,2655,5141
小竹町２丁目,2584,2007,2309,4316
栄町,2584,1948,2172,4120
羽沢,3887,3222,3430,6652
羽沢１丁目,923,669,702,1371
羽沢２丁目,1961,1610,1754,3364
羽沢３丁目,1003,943,974,1917
豊玉上,4419,3054,3521,6575
豊玉上１丁目,1544,1143,1219,2362
豊玉上２丁目,2875,1911,2302,4213
豊玉中,6070,5354,5329,10683
豊玉中１丁目,1365,1238,1189,2427
豊玉中２丁目,1915,1653,1557,3210
豊玉中３丁目,1924,1509,1561,3070
豊玉中４丁目,866,954,1022,1976
豊玉南,4466,4299,4360,8659
豊玉南１丁目,1258,1148,1208,2356
豊玉南２丁目,1100,966,1025,1991
豊玉南３丁目,2108,2185,2127,4312
豊玉北,12760,9478,10287,19765
豊玉北１丁目,1692,1232,1427,2659
豊玉北２丁目,1531,1197,1271,2468
豊玉北３丁目,2256,1625,1702,3327
豊玉北４丁目,2733,1988,2127,4115
豊玉北５丁目,2696,1891,2076,3967
豊玉北６丁目,1852,1545,1684,3229
中村,5048,4726,5218,9944
中村１丁目,1194,1156,1250,2406
中村２丁目,1614,1620,1743,3363
中村３丁目,2240,1950,2225,4175
中村南,5655,5304,5585,10889
中村南１丁目,2065,2085,2126,4211
中村南２丁目,2094,1810,1886,3696
中村南３丁目,1496,1409,1573,2982
中村北,6933,5503,6208,11711
中村北１丁目,2203,1796,1987,3783
中村北２丁目,1741,1545,1574,3119
中村北３丁目,1323,929,1104,2033
中村北４丁目,1666,1233,1543,2776
桜台,14478,12392,13238,25630
桜台１丁目,3318,2435,2644,5079
桜台２丁目,2686,2310,2450,4760
桜台３丁目,2487,2236,2474,4710
桜台４丁目,2177,1662,1831,3493
桜台５丁目,2016,1995,1968,3963
桜台６丁目,1794,1754,1871,3625
練馬,9149,7071,7531,14602
練馬１丁目,2764,2027,2185,4212
練馬２丁目,1796,1475,1512,2987
練馬３丁目,2379,1742,1832,3574
練馬４丁目,2210,1827,2002,3829
向山,5892,5468,5686,11154
向山１丁目,1113,874,912,1786
向山２丁目,1368,1314,1296,2610
向山３丁目,1281,1174,1272,2446
向山４丁目,2130,2106,2206,4312
貫井,11399,9720,10526,20246
貫井１丁目,2695,2359,2700,5059
貫井２丁目,2289,1770,1867,3637
貫井３丁目,2778,2272,2560,4832
貫井４丁目,2232,2067,2161,4228
貫井５丁目,1405,1252,1238,2490
錦,3195,3100,3148,6248
錦１丁目,1895,1778,1848,3626
錦２丁目,1300,1322,1300,2622
氷川台,7247,6596,7112,13708
氷川台１丁目,118,103,123,226
氷川台２丁目,1443,1496,1539,3035
氷川台３丁目,2899,2495,2690,5185
氷川台４丁目,2787,2502,2760,5262
平和台,6836,6905,7033,13938
平和台１丁目,1757,1816,1749,3565
平和台２丁目,1592,1498,1572,3070
平和台３丁目,2041,2194,2204,4398
平和台４丁目,1446,1397,1508,2905
早宮,9673,9333,10022,19355
早宮１丁目,3104,2843,3055,5898
早宮２丁目,2146,2003,2171,4174
早宮３丁目,2321,2325,2510,4835
早宮４丁目,2102,2162,2286,4448
春日町,13083,12460,13530,25990
春日町１丁目,2160,2108,2271,4379
春日町２丁目,2298,2224,2358,4582
春日町３丁目,2179,1926,2174,4100
春日町４丁目,2234,2160,2276,4436
春日町５丁目,2227,2147,2383,4530
春日町６丁目,1985,1895,2068,3963
高松,8397,8955,9236,18191
高松１丁目,1504,1487,1578,3065
高松２丁目,1179,1193,1312,2505
高松３丁目,1309,1613,1678,3291
高松４丁目,1577,1735,1780,3515
高松５丁目,1366,1355,1370,2725
高松６丁目,1462,1572,1518,3090
北町,15589,13436,13360,26796
北町１丁目,2863,2275,2406,4681
北町２丁目,3305,3065,3238,6303
北町３丁目,1701,1470,1588,3058
北町４丁目,960,900,60,960
北町５丁目,1326,1194,1226,2420
北町６丁目,1615,1261,1451,2712
北町７丁目,1589,1393,1445,2838
北町８丁目,2230,1878,1946,3824
田柄,13840,14335,14865,29200
田柄１丁目,2434,2419,2613,5032
田柄２丁目,3813,3473,3674,7147
田柄３丁目,2544,2879,2796,5675
田柄４丁目,3189,3598,3677,7275
田柄５丁目,1860,1966,2105,4071
光が丘,12747,12439,14434,26873
光が丘１丁目,1562,1186,1417,2603
光が丘２丁目,2561,2339,2930,5269
光が丘３丁目,3943,4229,4658,8887
光が丘４丁目,0,0,0,0
光が丘５丁目,1619,1446,1836,3282
光が丘６丁目,478,461,572,1033
光が丘７丁目,2584,2778,3021,5799
旭町,6909,6511,6518,13029
旭町１丁目,1925,2090,2144,4234
旭町２丁目,2577,2266,2278,4544
旭町３丁目,2407,2155,2096,4251
土支田,6240,7035,7104,14139
土支田１丁目,1598,1722,1795,3517
土支田２丁目,1365,1520,1524,3044
土支田３丁目,1785,2032,2099,4131
土支田４丁目,1492,1761,1686,3447
富士見台,7983,7668,7960,15628
富士見台１丁目,1563,1544,1613,3157
富士見台２丁目,2328,2060,2141,4201
富士見台３丁目,2224,2044,2160,4204
富士見台４丁目,1868,2020,2046,4066
南田中,6443,6082,6380,12462
南田中１丁目,1238,1245,1254,2499
南田中２丁目,901,907,899,1806
南田中３丁目,1422,1246,1405,2651
南田中４丁目,1529,1580,1567,3147
南田中５丁目,1353,1104,1255,2359
高野台,7608,7288,8144,15432
高野台１丁目,1801,1595,1907,3502
高野台２丁目,1600,1613,1717,3330
高野台３丁目,1484,1372,1518,2890
高野台４丁目,1304,1266,1410,2676
高野台５丁目,1419,1442,1592,3034
谷原,5806,6561,6751,13312
谷原１丁目,953,1052,1066,2118
谷原２丁目,836,867,908,1775
谷原３丁目,841,1011,1067,2078
谷原４丁目,787,974,982,1956
谷原５丁目,1381,1517,1583,3100
谷原６丁目,1008,1140,1145,2285
三原台,4284,4652,4735,9387
三原台１丁目,1967,2120,2102,4222
三原台２丁目,883,1018,993,2011
三原台３丁目,1434,1514,1640,3154
石神井町,14960,13356,14687,28043
石神井町１丁目,1797,1425,1724,3149
石神井町２丁目,2412,2119,2429,4548
石神井町３丁目,1978,1581,1723,3304
石神井町４丁目,1761,1665,1797,3462
石神井町５丁目,949,824,897,1721
石神井町６丁目,1652,1522,1612,3134
石神井町７丁目,2165,2060,2189,4249
石神井町８丁目,2246,2160,2316,4476
石神井台,14908,15003,15946,30949
石神井台１丁目,725,792,838,1630
石神井台２丁目,2174,2301,2371,4672
石神井台３丁目,2713,2632,2753,5385
石神井台４丁目,2289,2238,2551,4789
石神井台５丁目,1770,1948,2013,3961
石神井台６丁目,1320,1412,1503,2915
石神井台７丁目,2164,1792,1930,3722
石神井台８丁目,1753,1888,1987,3875
下石神井,8854,9015,9258,18273
下石神井１丁目,1255,1340,1342,2682
下石神井２丁目,1581,1637,1714,3351
下石神井３丁目,1130,1198,1261,2459
