町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,376818,358401,379615,738016
旭丘,4845,3674,3664,7338
旭丘１丁目,3323,2486,2394,4880
旭丘２丁目,1522,1188,1270,2458
小竹町,5659,4557,4985,9542
小竹町１丁目,3028,2508,2657,5165
小竹町２丁目,2631,2049,2328,4377
栄町,2445,1865,2080,3945
羽沢,3820,3206,3378,6584
羽沢１丁目,902,650,702,1352
羽沢２丁目,1921,1620,1707,3327
羽沢３丁目,997,936,969,1905
豊玉上,4379,3069,3502,6571
豊玉上１丁目,1532,1151,1210,2361
豊玉上２丁目,2847,1918,2292,4210
豊玉中,6038,5359,5334,10693
豊玉中１丁目,1375,1219,1196,2415
豊玉中２丁目,1841,1624,1508,3132
豊玉中３丁目,1937,1556,1604,3160
豊玉中４丁目,885,960,1026,1986
豊玉南,4464,4321,4329,8650
豊玉南１丁目,1261,1167,1226,2393
豊玉南２丁目,1099,985,1009,1994
豊玉南３丁目,2104,2169,2094,4263
豊玉北,12302,9310,10118,19428
豊玉北１丁目,1670,1212,1415,2627
豊玉北２丁目,1514,1156,1311,2467
豊玉北３丁目,2043,1548,1588,3136
豊玉北４丁目,2651,1972,2084,4056
豊玉北５丁目,2609,1859,2032,3891
豊玉北６丁目,1815,1563,1688,3251
中村,4995,4775,5167,9942
中村１丁目,1214,1198,1289,2487
中村２丁目,1555,1600,1686,3286
中村３丁目,2226,1977,2192,4169
中村南,5654,5280,5597,10877
中村南１丁目,2038,2055,2121,4176
中村南２丁目,2107,1815,1880,3695
中村南３丁目,1509,1410,1596,3006
中村北,6862,5520,6197,11717
中村北１丁目,2162,1803,1973,3776
中村北２丁目,1705,1508,1556,3064
中村北３丁目,1307,925,1089,2014
中村北４丁目,1688,1284,1579,2863
桜台,14259,12334,13157,25491
桜台１丁目,3261,2454,2611,5065
桜台２丁目,2672,2314,2464,4778
桜台３丁目,2435,2268,2457,4725
桜台４丁目,2112,1632,1789,3421
桜台５丁目,2008,1969,1973,3942
桜台６丁目,1771,1697,1863,3560
練馬,8982,7042,7428,14470
練馬１丁目,2648,2009,2084,4093
練馬２丁目,1800,1472,1512,2984
練馬３丁目,2352,1746,1837,3583
練馬４丁目,2182,1815,1995,3810
向山,5801,5419,5619,11038
向山１丁目,1120,879,893,1772
向山２丁目,1325,1293,1286,2579
向山３丁目,1270,1177,1289,2466
向山４丁目,2086,2070,2151,4221
貫井,11262,9871,10401,20272
貫井１丁目,2706,2400,2707,5107
貫井２丁目,2114,1721,1762,3483
貫井３丁目,2826,2384,2550,4934
貫井４丁目,2211,2096,2187,4283
貫井５丁目,1405,1270,1195,2465
錦,3072,3023,3125,6148
錦１丁目,1792,1720,1821,3541
錦２丁目,1280,1303,1304,2607
氷川台,7152,6620,7019,13639
氷川台１丁目,122,112,132,244
氷川台２丁目,1411,1505,1491,2996
氷川台３丁目,2851,2515,2642,5157
氷川台４丁目,2768,2488,2754,5242
平和台,6788,6904,7069,13973
平和台１丁目,1745,1809,1779,3588
平和台２丁目,1571,1492,1596,3088
平和台３丁目,2026,2156,2200,4356
平和台４丁目,1446,1447,1494,2941
早宮,9529,9293,9985,19278
早宮１丁目,3032,2861,3069,5930
早宮２丁目,2138,2023,2116,4139
早宮３丁目,2286,2284,2508,4792
早宮４丁目,2073,2125,2292,4417
春日町,12797,12305,13406,25711
春日町１丁目,2111,2086,2273,4359
春日町２丁目,2245,2221,2348,4569
春日町３丁目,2149,1919,2164,4083
春日町４丁目,2223,2171,2294,4465
春日町５丁目,2198,2115,2363,4478
春日町６丁目,1871,1793,1964,3757
高松,8197,8941,9120,18061
