町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,378067,359033,380590,739623
旭丘,4881,3716,3670,7386
旭丘１丁目,3339,2523,2402,4925
旭丘２丁目,1542,1193,1268,2461
小竹町,5598,4493,4940,9433
小竹町１丁目,3049,2496,2670,5166
小竹町２丁目,2549,1997,2270,4267
栄町,2436,1858,2079,3937
羽沢,3801,3177,3385,6562
羽沢１丁目,905,661,700,1361
羽沢２丁目,1901,1576,1709,3285
羽沢３丁目,995,940,976,1916
豊玉上,4381,3075,3488,6563
豊玉上１丁目,1527,1167,1199,2366
豊玉上２丁目,2854,1908,2289,4197
豊玉中,6041,5375,5374,10749
豊玉中１丁目,1396,1233,1222,2455
豊玉中２丁目,1830,1613,1520,3133
豊玉中３丁目,1936,1559,1606,3165
豊玉中４丁目,879,970,1026,1996
豊玉南,4438,4308,4312,8620
豊玉南１丁目,1247,1152,1214,2366
豊玉南２丁目,1070,965,995,1960
豊玉南３丁目,2121,2191,2103,4294
豊玉北,12481,9389,10180,19569
豊玉北１丁目,1679,1224,1409,2633
豊玉北２丁目,1497,1152,1287,2439
豊玉北３丁目,2201,1629,1677,3306
豊玉北４丁目,2644,1955,2090,4045
豊玉北５丁目,2613,1865,2027,3892
豊玉北６丁目,1847,1564,1690,3254
中村,4999,4795,5193,9988
中村１丁目,1199,1181,1293,2474
中村２丁目,1579,1641,1704,3345
中村３丁目,2221,1973,2196,4169
中村南,5714,5335,5673,11008
中村南１丁目,2082,2099,2186,4285
中村南２丁目,2109,1809,1877,3686
中村南３丁目,1523,1427,1610,3037
中村北,6861,5505,6185,11690
中村北１丁目,2174,1791,1980,3771
中村北２丁目,1702,1503,1549,3052
中村北３丁目,1293,926,1075,2001
中村北４丁目,1692,1285,1581,2866
桜台,14318,12395,13201,25596
桜台１丁目,3276,2452,2623,5075
桜台２丁目,2696,2315,2476,4791
桜台３丁目,2439,2263,2459,4722
桜台４丁目,2118,1635,1788,3423
桜台５丁目,2024,2010,1981,3991
桜台６丁目,1765,1720,1874,3594
練馬,8998,7037,7472,14509
練馬１丁目,2676,2009,2120,4129
練馬２丁目,1783,1462,1524,2986
練馬３丁目,2371,1762,1845,3607
練馬４丁目,2168,1804,1983,3787
向山,5813,5421,5638,11059
向山１丁目,1122,869,904,1773
向山２丁目,1327,1296,1282,2578
向山３丁目,1266,1175,1278,2453
向山４丁目,2098,2081,2174,4255
貫井,11303,9860,10416,20276
貫井１丁目,2712,2391,2691,5082
貫井２丁目,2178,1737,1809,3546
貫井３丁目,2793,2356,2532,4888
貫井４丁目,2215,2095,2180,4275
貫井５丁目,1405,1281,1204,2485
錦,3092,3040,3101,6141
