町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,381396,359781,382083,741864
旭丘,4932,3743,3690,7433
旭丘１丁目,3400,2563,2440,5003
旭丘２丁目,1532,1180,1250,2430
小竹町,5669,4472,4981,9453
小竹町１丁目,3096,2492,2684,5176
小竹町２丁目,2573,1980,2297,4277
栄町,2475,1873,2100,3973
羽沢,3844,3201,3399,6600
羽沢１丁目,923,665,711,1376
羽沢２丁目,1913,1581,1715,3296
羽沢３丁目,1008,955,973,1928
豊玉上,4436,3089,3545,6634
豊玉上１丁目,1558,1165,1235,2400
豊玉上２丁目,2878,1924,2310,4234
豊玉中,6120,5432,5390,10822
豊玉中１丁目,1394,1245,1222,2467
豊玉中２丁目,1917,1655,1565,3220
豊玉中３丁目,1937,1555,1590,3145
豊玉中４丁目,872,977,1013,1990
豊玉南,4460,4299,4366,8665
豊玉南１丁目,1245,1148,1216,2364
豊玉南２丁目,1096,967,1021,1988
豊玉南３丁目,2119,2184,2129,4313
豊玉北,12688,9465,10277,19742
豊玉北１丁目,1695,1234,1422,2656
豊玉北２丁目,1494,1154,1269,2423
豊玉北３丁目,2243,1645,1700,3345
豊玉北４丁目,2718,1984,2129,4113
豊玉北５丁目,2692,1893,2072,3965
豊玉北６丁目,1846,1555,1685,3240
中村,5062,4779,5225,10004
中村１丁目,1204,1169,1287,2456
中村２丁目,1613,1639,1733,3372
中村３丁目,2245,1971,2205,4176
中村南,5715,5314,5703,11017
中村南１丁目,2077,2095,2173,4268
中村南２丁目,2111,1812,1903,3715
中村南３丁目,1527,1407,1627,3034
中村北,6897,5503,6190,11693
中村北１丁目,2191,1793,1993,3786
中村北２丁目,1707,1520,1552,3072
中村北３丁目,1310,925,1086,2011
中村北４丁目,1689,1265,1559,2824
桜台,14527,12510,13328,25838
桜台１丁目,3346,2489,2646,5135
桜台２丁目,2700,2321,2477,4798
桜台３丁目,2461,2249,2470,4719
桜台４丁目,2193,1682,1865,3547
桜台５丁目,2034,2008,1969,3977
桜台６丁目,1793,1761,1901,3662
練馬,9078,7020,7537,14557
練馬１丁目,2698,2005,2151,4156
練馬２丁目,1804,1464,1530,2994
練馬３丁目,2360,1724,1855,3579
練馬４丁目,2216,1827,2001,3828
向山,5890,5460,5672,11132
向山１丁目,1125,869,910,1779
向山２丁目,1355,1311,1293,2604
向山３丁目,1282,1172,1274,2446
向山４丁目,2128,2108,2195,4303
貫井,11455,9882,10510,20392
貫井１丁目,2735,2398,2721,5119
貫井２丁目,2284,1780,1869,3649
貫井３丁目,2816,2344,2544,4888
貫井４丁目,2212,2072,2160,4232
貫井５丁目,1408,1288,1216,2504
錦,3134,3055,3137,6192
錦１丁目,1840,1740,1830,3570
錦２丁目,1294,1315,1307,2622
氷川台,7158,6618,7028,13646
氷川台１丁目,124,110,129,239
氷川台２丁目,1440,1519,1531,3050
氷川台３丁目,2836,2491,2647,5138
氷川台４丁目,2758,2498,2721,5219
平和台,6817,6891,7085,13976
平和台１丁目,1760,1835,1793,3628
平和台２丁目,1583,1497,1566,3063
平和台３丁目,2005,2114,2211,4325
平和台４丁目,1469,1445,1515,2960
早宮,9628,9332,10042,19374
早宮１丁目,3070,2848,3079,5927
早宮２丁目,2155,2036,2160,4196
早宮３丁目,2316,2295,2508,4803
早宮４丁目,2087,2153,2295,4448
春日町,13035,12489,13535,26024
春日町１丁目,2159,2113,2278,4391
春日町２丁目,2266,2232,2341,4573
春日町３丁目,2190,1951,2199,4150
春日町４丁目,2247,2166,2281,4447
春日町５丁目,2203,2135,2368,4503
春日町６丁目,1970,1892,2068,3960
高松,8292,8932,9189,18121
高松１丁目,1486,1474,1573,3047
高松２丁目,1160,1199,1308,2507
高松３丁目,1279,1603,1651,3254
高松４丁目,1554,1730,1771,3501
高松５丁目,1370,1346,1383,2729
高松６丁目,1443,1580,1503,3083
北町,15415,13388,13124,26512
北町１丁目,2864,2286,2405,4691
北町２丁目,3254,3069,3148,6217
北町３丁目,1662,1440,1528,2968
北町４丁目,982,907,75,982
北町５丁目,1302,1209,1208,2417
北町６丁目,1539,1189,1377,2566
北町７丁目,1602,1410,1459,2869
北町８丁目,2210,1878,1924,3802
田柄,13810,14475,14995,29470
田柄１丁目,2436,2432,2630,5062
田柄２丁目,3885,3576,3751,7327
田柄３丁目,2478,2869,2828,5697
田柄４丁目,3160,3614,3676,7290
田柄５丁目,1851,1984,2110,4094
光が丘,12816,12636,14616,27252
光が丘１丁目,1567,1208,1445,2653
光が丘２丁目,2595,2393,2993,5386
光が丘３丁目,3951,4275,4699,8974
光が丘４丁目,0,0,0,0
光が丘５丁目,1629,1483,1852,3335
光が丘６丁目,479,470,588,1058
光が丘７丁目,2595,2807,3039,5846
旭町,6870,6498,6563,13061
旭町１丁目,1938,2101,2182,4283
旭町２丁目,2568,2271,2288,4559
旭町３丁目,2364,2126,2093,4219
土支田,6128,6898,6966,13864
土支田１丁目,1604,1736,1803,3539
土支田２丁目,1311,1457,1470,2927
土支田３丁目,1772,2009,2085,4094
土支田４丁目,1441,1696,1608,3304
富士見台,7966,7702,7964,15666
富士見台１丁目,1570,1549,1593,3142
富士見台２丁目,2339,2098,2152,4250
富士見台３丁目,2173,2012,2139,4151
富士見台４丁目,1884,2043,2080,4123
南田中,6443,6086,6430,12516
南田中１丁目,1230,1250,1259,2509
南田中２丁目,898,888,888,1776
南田中３丁目,1409,1239,1404,2643
南田中４丁目,1546,1590,1585,3175
南田中５丁目,1360,1119,1294,2413
高野台,7512,7247,8159,15406
高野台１丁目,1799,1618,1925,3543
高野台２丁目,1585,1610,1718,3328
高野台３丁目,1476,1379,1533,2912
高野台４丁目,1255,1210,1380,2590
高野台５丁目,1397,1430,1603,3033
谷原,5767,6521,6737,13258
谷原１丁目,939,1044,1050,2094
谷原２丁目,836,866,902,1768
谷原３丁目,843,1009,1078,2087
谷原４丁目,775,981,967,1948
谷原５丁目,1364,1476,1566,3042
谷原６丁目,1010,1145,1174,2319
三原台,4240,4632,4757,9389
三原台１丁目,1973,2113,2140,4253
三原台２丁目,871,1019,1000,2019
三原台３丁目,1396,1500,1617,3117
石神井町,14908,13317,14704,28021
石神井町１丁目,1806,1415,1728,3143
石神井町２丁目,2416,2110,2469,4579
石神井町３丁目,1951,1583,1723,3306
石神井町４丁目,1772,1670,1799,3469
石神井町５丁目,941,861,899,1760
石神井町６丁目,1637,1505,1607,3112
石神井町７丁目,2138,2029,2162,4191
石神井町８丁目,2247,2144,2317,4461
石神井台,14932,15073,16039,31112
石神井台１丁目,723,798,837,1635
石神井台２丁目,2154,2313,2367,4680
石神井台３丁目,2730,2640,2804,5444
石神井台４丁目,2319,2268,2572,4840
石神井台５丁目,1784,1964,2015,3979
石神井台６丁目,1331,1421,1522,2943
石神井台７丁目,2175,1814,1952,3766
石神井台８丁目,1716,1855,1970,3825
下石神井,8847,9027,9279,18306
下石神井１丁目,1272,1362,1348,2710
下石神井２丁目,1589,1672,1735,3407
下石神井３丁目,1120,1193,1245,2438
下石神井４丁目,1987,1750,1837,3587
下石神井５丁目,1283,1274,1340,2614
下石神井６丁目,1596,1776,1774,3550
東大泉,18188,16576,18567,35143
東大泉１丁目,2434,2211,2516,4727
東大泉２丁目,3084,3032,3287,6319
東大泉３丁目,2640,2188,2625,4813
東大泉４丁目,1706,1430,1516,2946
東大泉５丁目,2091,1809,2138,3947
東大泉６丁目,3354,2955,3429,6384
東大泉７丁目,2879,2951,3056,6007
西大泉町,13,13,20,33
西大泉,9933,10837,11266,22103
西大泉１丁目,1952,2053,2024,4077
西大泉２丁目,1302,1438,1542,2980
西大泉３丁目,1706,1790,1885,3675
西大泉４丁目,1494,1782,1877,3659
西大泉５丁目,2230,2380,2519,4899
西大泉６丁目,1249,1394,1419,2813
南大泉,12567,13201,13922,27123
南大泉１丁目,2170,2341,2441,4782
南大泉２丁目,1920,2161,2286,4447
南大泉３丁目,2236,2364,2423,4787
南大泉４丁目,3085,3122,3238,6360
南大泉５丁目,2324,2292,2524,4816
南大泉６丁目,832,921,1010,1931
大泉町,10096,11032,11290,22322
大泉町１丁目,2307,2660,2664,5324
大泉町２丁目,2207,2331,2436,4767
大泉町３丁目,1744,1927,1953,3880
