町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,389688,358655,382720,741375
旭丘,4939,3658,3685,7343
旭丘１丁目,3398,2474,2440,4914
旭丘２丁目,1541,1184,1245,2429
小竹町,5792,4542,4998,9540
小竹町１丁目,3124,2475,2679,5154
小竹町２丁目,2668,2067,2319,4386
栄町,2679,1959,2197,4156
羽沢,3915,3282,3456,6738
羽沢１丁目,945,688,698,1386
羽沢２丁目,1968,1654,1783,3437
羽沢３丁目,1002,940,975,1915
豊玉上,4531,3127,3474,6601
豊玉上１丁目,1511,1103,1172,2275
豊玉上２丁目,3020,2024,2302,4326
豊玉中,6352,5434,5450,10884
豊玉中１丁目,1462,1273,1236,2509
豊玉中２丁目,2051,1696,1654,3350
豊玉中３丁目,1974,1525,1555,3080
豊玉中４丁目,865,940,1005,1945
豊玉南,4598,4355,4415,8770
豊玉南１丁目,1223,1085,1155,2240
豊玉南２丁目,1136,992,1040,2032
豊玉南３丁目,2239,2278,2220,4498
豊玉北,12814,9406,10099,19505
豊玉北１丁目,1693,1202,1410,2612
豊玉北２丁目,1577,1205,1267,2472
豊玉北３丁目,2258,1571,1696,3267
豊玉北４丁目,2753,2038,2079,4117
豊玉北５丁目,2688,1870,1999,3869
豊玉北６丁目,1845,1520,1648,3168
中村,5103,4694,5154,9848
中村１丁目,1208,1145,1241,2386
中村２丁目,1673,1651,1768,3419
中村３丁目,2222,1898,2145,4043
中村南,5885,5423,5665,11088
中村南１丁目,2134,2149,2130,4279
中村南２丁目,2220,1842,1946,3788
中村南３丁目,1531,1432,1589,3021
中村北,7064,5453,6180,11633
中村北１丁目,2206,1757,1914,3671
中村北２丁目,1709,1486,1559,3045
中村北３丁目,1399,945,1123,2068
中村北４丁目,1750,1265,1584,2849
桜台,14693,12354,13156,25510
桜台１丁目,3403,2462,2701,5163
桜台２丁目,2653,2243,2379,4622
桜台３丁目,2551,2217,2457,4674
桜台４丁目,2245,1696,1828,3524
桜台５丁目,2058,1990,1955,3945
桜台６丁目,1783,1746,1836,3582
練馬,9283,7029,7608,14637
練馬１丁目,2845,2094,2160,4254
練馬２丁目,1786,1439,1561,3000
練馬３丁目,2373,1701,1827,3528
練馬４丁目,2279,1795,2060,3855
向山,5867,5399,5551,10950
向山１丁目,1115,855,893,1748
向山２丁目,1325,1281,1257,2538
向山３丁目,1288,1183,1278,2461
向山４丁目,2139,2080,2123,4203
貫井,11912,10101,11029,21130
貫井１丁目,2756,2354,2725,5079
貫井２丁目,2484,2018,2131,4149
貫井３丁目,2949,2296,2666,4962
貫井４丁目,2283,2125,2264,4389
貫井５丁目,1440,1308,1243,2551
錦,3285,3118,3200,6318
錦１丁目,1961,1800,1875,3675
錦２丁目,1324,1318,1325,2643
氷川台,7420,6510,7127,13637
氷川台１丁目,124,97,122,219
氷川台２丁目,1462,1499,1530,3029
氷川台３丁目,2978,2454,2704,5158
氷川台４丁目,2856,2460,2771,5231
平和台,6990,6809,7018,13827
平和台１丁目,1694,1754,1697,3451
平和台２丁目,1623,1481,1567,3048
平和台３丁目,2095,2146,2233,4379
平和台４丁目,1578,1428,1521,2949
早宮,9882,9245,10088,19333
早宮１丁目,3135,2790,3028,5818
早宮２丁目,2224,1986,2189,4175
早宮３丁目,2383,2358,2552,4910
早宮４丁目,2140,2111,2319,4430
春日町,13781,12742,13950,26692
春日町１丁目,2354,2257,2402,4659
春日町２丁目,2441,2250,2398,4648
春日町３丁目,2309,1983,2254,4237
春日町４丁目,2277,2167,2293,4460
春日町５丁目,2279,2102,2369,4471
春日町６丁目,2121,1983,2234,4217
高松,8596,8845,9152,17997
高松１丁目,1503,1436,1543,2979
高松２丁目,1249,1233,1319,2552
高松３丁目,1302,1517,1626,3143
高松４丁目,1642,1735,1735,3470
高松５丁目,1431,1359,1400,2759
高松６丁目,1469,1565,1529,3094
北町,15930,13548,13700,27248
北町１丁目,3097,2434,2551,4985
北町２丁目,3406,3130,3321,6451
北町３丁目,1896,1596,1727,3323
北町４丁目,740,671,70,741
北町５丁目,1345,1210,1222,2432
北町６丁目,1623,1282,1451,2733
北町７丁目,1642,1409,1466,2875
北町８丁目,2181,1816,1892,3708
田柄,13933,14086,14649,28735
田柄１丁目,2472,2386,2556,4942
田柄２丁目,3805,3434,3616,7050
田柄３丁目,2468,2712,2697,5409
田柄４丁目,3245,3582,3663,7245
田柄５丁目,1943,1972,2117,4089
光が丘,12784,12139,14182,26321
光が丘１丁目,1580,1156,1382,2538
光が丘２丁目,2568,2276,2903,5179
光が丘３丁目,3994,4172,4606,8778
光が丘４丁目,0,0,0,0
光が丘５丁目,1592,1398,1776,3174
光が丘６丁目,480,454,564,1018
光が丘７丁目,2570,2683,2951,5634
旭町,6998,6449,6573,13022
旭町１丁目,1960,2084,2184,4268
旭町２丁目,2633,2273,2298,4571
旭町３丁目,2405,2092,2091,4183
土支田,6392,7113,7253,14366
土支田１丁目,1655,1765,1853,3618
土支田２丁目,1438,1573,1608,3181
土支田３丁目,1834,2103,2130,4233
土支田４丁目,1465,1672,1662,3334
富士見台,8011,7518,7966,15484
富士見台１丁目,1553,1507,1604,3111
富士見台２丁目,2339,2020,2105,4125
富士見台３丁目,2266,2025,2192,4217
富士見台４丁目,1853,1966,2065,4031
南田中,6445,5995,6267,12262
南田中１丁目,1241,1229,1263,2492
南田中２丁目,928,913,918,1831
南田中３丁目,1410,1222,1335,2557
南田中４丁目,1544,1577,1532,3109
南田中５丁目,1322,1054,1219,2273
高野台,7754,7277,8059,15336
高野台１丁目,1817,1558,1892,3450
高野台２丁目,1659,1628,1730,3358
高野台３丁目,1544,1411,1485,2896
高野台４丁目,1303,1232,1383,2615
高野台５丁目,1431,1448,1569,3017
谷原,5958,6624,6848,13472
谷原１丁目,1016,1091,1107,2198
谷原２丁目,850,833,904,1737
谷原３丁目,852,997,1061,2058
谷原４丁目,803,991,981,1972
谷原５丁目,1414,1579,1661,3240
谷原６丁目,1023,1133,1134,2267
三原台,4331,4641,4754,9395
三原台１丁目,1945,2069,2084,4153
三原台２丁目,927,1058,1065,2123
三原台３丁目,1459,1514,1605,3119
石神井町,15140,13335,14757,28092
石神井町１丁目,1810,1429,1702,3131
石神井町２丁目,2533,2183,2564,4747
石神井町３丁目,1972,1545,1728,3273
石神井町４丁目,1793,1654,1779,3433
石神井町５丁目,978,828,905,1733
石神井町６丁目,1660,1507,1627,3134
石神井町７丁目,2173,2035,2170,4205
石神井町８丁目,2221,2154,2282,4436
石神井台,14952,14739,15771,30510
石神井台１丁目,740,792,825,1617
石神井台２丁目,2205,2227,2363,4590
石神井台３丁目,2713,2571,2728,5299
石神井台４丁目,2204,2145,2427,4572
石神井台５丁目,1761,1913,2001,3914
石神井台６丁目,1362,1410,1526,2936
石神井台７丁目,2194,1802,1914,3716
石神井台８丁目,1773,1879,1987,3866
下石神井,8949,8888,9112,18000
下石神井１丁目,1295,1349,1364,2713
下石神井２丁目,1599,1615,1700,3315
下石神井３丁目,1133,1175,1217,2392
下石神井４丁目,1962,1715,1751,3466
下石神井５丁目,1323,1287,1315,2602
下石神井６丁目,1637,1747,1765,3512
東大泉,18538,16712,18752,35464
東大泉１丁目,2553,2196,2646,4842
東大泉２丁目,3051,3016,3298,6314
東大泉３丁目,2700,2264,2615,4879
東大泉４丁目,1711,1386,1515,2901
東大泉５丁目,2198,1906,2239,4145
東大泉６丁目,3437,3027,3419,6446
東大泉７丁目,2888,2917,3020,5937
西大泉町,15,13,20,33
西大泉,10043,10721,11258,21979
西大泉１丁目,1950,1997,2049,4046
西大泉２丁目,1279,1392,1491,2883
西大泉３丁目,1769,1809,1949,3758
西大泉４丁目,1563,1839,1922,3761
西大泉５丁目,2184,2267,2417,4684
西大泉６丁目,1298,1417,1430,2847
南大泉,12793,12935,13803,26738
南大泉１丁目,2232,2321,2445,4766
南大泉２丁目,1966,2132,2231,4363
南大泉３丁目,2262,2315,2458,4773
南大泉４丁目,3135,3047,3203,6250
南大泉５丁目,2332,2207,2447,4654
南大泉６丁目,866,913,1019,1932
大泉町,10108,10691,10991,21682
大泉町１丁目,2338,2611,2593,5204
大泉町２丁目,2200,2270,2349,4619
大泉町３丁目,1728,1828,1876,3704
大泉町４丁目,1681,1853,1894,3747
大泉町５丁目,1009,1023,1071,2094
大泉町６丁目,1152,1106,1208,2314
大泉学園町,15787,16476,17425,33901
大泉学園町１丁目,1459,1498,1629,3127
大泉学園町２丁目,1974,1929,2014,3943
大泉学園町３丁目,1370,1624,1611,3235
大泉学園町４丁目,1889,2017,2146,4163
大泉学園町５丁目,2185,2298,2463,4761
大泉学園町６丁目,2310,2468,2660,5128
大泉学園町７丁目,2369,2368,2543,4911
大泉学園町８丁目,2166,2235,2333,4568
大泉学園町９丁目,65,39,26,65
関町北,12013,10538,11547,22085
関町北１丁目,2231,1678,1889,3567
関町北２丁目,2901,2179,2534,4713
関町北３丁目,2207,2033,2144,4177
関町北４丁目,2178,1997,2172,4169
関町北５丁目,2496,2651,2808,5459
関町南,9319,8876,9677,18553
関町南１丁目,1332,1138,1309,2447
関町南２丁目,2179,2069,2189,4258
関町南３丁目,2134,2082,2200,4282
関町南４丁目,3674,3587,3979,7566
上石神井南町,1134,1076,1125,2201
立野町,2444,2536,2731,5267
上石神井,11412,9623,10186,19809
上石神井１丁目,3462,2627,2731,5358
上石神井２丁目,2549,2058,2299,4357
上石神井３丁目,2686,2614,2715,5329
上石神井４丁目,2715,2324,2441,4765
関町東,3124,2621,2662,5283
関町東１丁目,2090,1869,1891,3760
関町東２丁目,1034,752,771,1523
