町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,394322,360112,384966,745078
旭丘,5004,3713,3666,7379
旭丘１丁目,3460,2533,2449,4982
旭丘２丁目,1544,1180,1217,2397
小竹町,5871,4555,5009,9564
小竹町１丁目,3164,2484,2678,5162
小竹町２丁目,2707,2071,2331,4402
栄町,2691,1948,2214,4162
羽沢,4042,3358,3546,6904
羽沢１丁目,979,699,726,1425
羽沢２丁目,2015,1674,1797,3471
羽沢３丁目,1048,985,1023,2008
豊玉上,4592,3126,3503,6629
豊玉上１丁目,1531,1104,1186,2290
豊玉上２丁目,3061,2022,2317,4339
豊玉中,6456,5470,5499,10969
豊玉中１丁目,1456,1247,1242,2489
豊玉中２丁目,2102,1714,1670,3384
豊玉中３丁目,2017,1563,1579,3142
豊玉中４丁目,881,946,1008,1954
豊玉南,4668,4375,4415,8790
豊玉南１丁目,1240,1089,1155,2244
豊玉南２丁目,1145,991,1038,2029
豊玉南３丁目,2283,2295,2222,4517
豊玉北,12980,9429,10146,19575
豊玉北１丁目,1701,1211,1413,2624
豊玉北２丁目,1601,1197,1286,2483
豊玉北３丁目,2282,1562,1700,3262
豊玉北４丁目,2811,2075,2072,4147
豊玉北５丁目,2689,1851,2003,3854
豊玉北６丁目,1896,1533,1672,3205
中村,5164,4688,5195,9883
中村１丁目,1229,1157,1245,2402
中村２丁目,1682,1644,1776,3420
中村３丁目,2253,1887,2174,4061
中村南,5915,5409,5693,11102
中村南１丁目,2120,2122,2138,4260
中村南２丁目,2229,1849,1958,3807
中村南３丁目,1566,1438,1597,3035
中村北,7195,5497,6267,11764
中村北１丁目,2210,1747,1925,3672
中村北２丁目,1763,1503,1590,3093
中村北３丁目,1449,966,1159,2125
中村北４丁目,1773,1281,1593,2874
桜台,14887,12396,13272,25668
桜台１丁目,3437,2465,2719,5184
桜台２丁目,2683,2249,2398,4647
桜台３丁目,2592,2237,2473,4710
桜台４丁目,2288,1693,1857,3550
桜台５丁目,2071,1985,1969,3954
桜台６丁目,1816,1767,1856,3623
練馬,9486,7136,7702,14838
練馬１丁目,2856,2112,2132,4244
練馬２丁目,1810,1449,1577,3026
練馬３丁目,2516,1779,1930,3709
練馬４丁目,2304,1796,2063,3859
向山,5998,5472,5630,11102
向山１丁目,1220,939,985,1924
向山２丁目,1344,1291,1274,2565
向山３丁目,1277,1158,1256,2414
向山４丁目,2157,2084,2115,4199
貫井,12107,10187,11132,21319
貫井１丁目,2789,2355,2746,5101
貫井２丁目,2526,2033,2162,4195
貫井３丁目,3020,2346,2683,5029
貫井４丁目,2292,2120,2280,4400
貫井５丁目,1480,1333,1261,2594
錦,3335,3133,3236,6369
錦１丁目,2001,1817,1899,3716
錦２丁目,1334,1316,1337,2653
氷川台,7493,6543,7128,13671
氷川台１丁目,125,99,121,220
氷川台２丁目,1480,1509,1542,3051
氷川台３丁目,2999,2450,2699,5149
氷川台４丁目,2889,2485,2766,5251
平和台,7168,6958,7114,14072
平和台１丁目,1726,1797,1719,3516
平和台２丁目,1665,1510,1583,3093
平和台３丁目,2147,2187,2242,4429
平和台４丁目,1630,1464,1570,3034
早宮,9969,9224,10136,19360
早宮１丁目,3172,2785,3041,5826
早宮２丁目,2242,1987,2192,4179
早宮３丁目,2408,2343,2584,4927
早宮４丁目,2147,2109,2319,4428
春日町,13914,12737,13989,26726
春日町１丁目,2393,2261,2433,4694
春日町２丁目,2467,2242,2414,4656
春日町３丁目,2335,1982,2272,4254
春日町４丁目,2322,2169,2315,4484
春日町５丁目,2287,2108,2350,4458
