町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,382249,358208,380907,739115
旭丘,4870,3675,3658,7333
旭丘１丁目,3354,2504,2401,4905
旭丘２丁目,1516,1171,1257,2428
小竹町,5663,4496,4966,9462
小竹町１丁目,3096,2482,2663,5145
小竹町２丁目,2567,2014,2303,4317
栄町,2605,1947,2181,4128
羽沢,3847,3209,3390,6599
羽沢１丁目,910,668,693,1361
羽沢２丁目,1944,1597,1737,3334
羽沢３丁目,993,944,960,1904
豊玉上,4394,3023,3506,6529
豊玉上１丁目,1528,1135,1210,2345
豊玉上２丁目,2866,1888,2296,4184
豊玉中,6071,5354,5317,10671
豊玉中１丁目,1370,1241,1183,2424
豊玉中２丁目,1923,1652,1571,3223
豊玉中３丁目,1916,1509,1549,3058
豊玉中４丁目,862,952,1014,1966
豊玉南,4464,4269,4325,8594
豊玉南１丁目,1246,1137,1186,2323
豊玉南２丁目,1105,967,1024,1991
豊玉南３丁目,2113,2165,2115,4280
豊玉北,12673,9400,10214,19614
豊玉北１丁目,1683,1215,1415,2630
豊玉北２丁目,1507,1168,1247,2415
豊玉北３丁目,2225,1604,1684,3288
豊玉北４丁目,2707,1984,2098,4082
豊玉北５丁目,2690,1880,2058,3938
豊玉北６丁目,1861,1549,1712,3261
中村,5059,4722,5235,9957
中村１丁目,1195,1152,1254,2406
中村２丁目,1634,1627,1762,3389
中村３丁目,2230,1943,2219,4162
中村南,5641,5335,5550,10885
中村南１丁目,2074,2109,2131,4240
中村南２丁目,2083,1807,1873,3680
中村南３丁目,1484,1419,1546,2965
中村北,6943,5477,6212,11689
中村北１丁目,2202,1800,1986,3786
中村北２丁目,1722,1512,1567,3079
中村北３丁目,1364,939,1131,2070
中村北４丁目,1655,1226,1528,2754
桜台,14455,12344,13228,25572
桜台１丁目,3310,2421,2642,5063
桜台２丁目,2710,2310,2484,4794
桜台３丁目,2500,2231,2461,4692
桜台４丁目,2163,1658,1821,3479
桜台５丁目,1993,1971,1951,3922
桜台６丁目,1779,1753,1869,3622
練馬,9168,7080,7503,14583
練馬１丁目,2796,2050,2173,4223
練馬２丁目,1784,1475,1489,2964
練馬３丁目,2359,1720,1827,3547
練馬４丁目,2229,1835,2014,3849
向山,5873,5448,5682,11130
向山１丁目,1110,871,904,1775
向山２丁目,1353,1299,1293,2592
向山３丁目,1285,1175,1284,2459
向山４丁目,2125,2103,2201,4304
貫井,11357,9682,10528,20210
貫井１丁目,2689,2354,2700,5054
貫井２丁目,2281,1760,1868,3628
貫井３丁目,2778,2249,2567,4816
貫井４丁目,2198,2060,2135,4195
貫井５丁目,1411,1259,1258,2517
錦,3173,3088,3120,6208
錦１丁目,1904,1781,1844,3625
錦２丁目,1269,1307,1276,2583
氷川台,7191,6543,7059,13602
氷川台１丁目,115,104,117,221
氷川台２丁目,1419,1477,1523,3000
氷川台３丁目,2903,2493,2686,5179
氷川台４丁目,2754,2469,2733,5202
平和台,6829,6882,7016,13898
平和台１丁目,1750,1803,1744,3547
平和台２丁目,1584,1478,1563,3041
平和台３丁目,2032,2198,2202,4400
平和台４丁目,1463,1403,1507,2910
早宮,9614,9254,9960,19214
早宮１丁目,3081,2824,3040,5864
早宮２丁目,2153,1996,2164,4160
早宮３丁目,2295,2294,2489,4783
早宮４丁目,2085,2140,2267,4407
春日町,13189,12542,13607,26149
春日町１丁目,2161,2111,2278,4389
春日町２丁目,2347,2282,2383,4665
春日町３丁目,2195,1924,2175,4099
春日町４丁目,2240,2156,2279,4435
春日町５丁目,2240,2157,2396,4553
春日町６丁目,2006,1912,2096,4008
高松,8411,8922,9226,18148
高松１丁目,1490,1472,1565,3037
高松２丁目,1229,1223,1338,2561
高松３丁目,1312,1608,1666,3274
高松４丁目,1556,1715,1764,3479
高松５丁目,1365,1342,1371,2713
高松６丁目,1459,1562,1522,3084
北町,15486,13358,13266,26624
北町１丁目,2840,2258,2376,4634
北町２丁目,3304,3074,3227,6301
北町３丁目,1708,1468,1594,3062
北町４丁目,922,859,63,922
北町５丁目,1335,1205,1226,2431
北町６丁目,1597,1242,1426,2668
北町７丁目,1570,1390,1429,2819
北町８丁目,2210,1862,1925,3787
田柄,13802,14264,14815,29079
田柄１丁目,2415,2391,2588,4979
田柄２丁目,3774,3447,3638,7085
田柄３丁目,2543,2867,2797,5664
田柄４丁目,3189,3598,3678,7276
田柄５丁目,1881,1961,2114,4075
光が丘,12749,12373,14356,26729
光が丘１丁目,1560,1163,1412,2575
光が丘２丁目,2547,2305,2894,5199
光が丘３丁目,3961,4233,4642,8875
光が丘４丁目,0,0,0,0
光が丘５丁目,1615,1449,1822,3271
光が丘６丁目,480,461,568,1029
光が丘７丁目,2586,2762,3018,5780
旭町,6846,6457,6460,12917
旭町１丁目,1926,2087,2149,4236
旭町２丁目,2520,2219,2227,4446
旭町３丁目,2400,2151,2084,4235
土支田,6263,7065,7172,14237
土支田１丁目,1602,1719,1815,3534
土支田２丁目,1366,1546,1562,3108
土支田３丁目,1812,2059,2114,4173
土支田４丁目,1483,1741,1681,3422
富士見台,7908,7604,7956,15560
富士見台１丁目,1539,1521,1628,3149
富士見台２丁目,2302,2045,2118,4163
富士見台３丁目,2204,2014,2156,4170
富士見台４丁目,1863,2024,2054,4078
南田中,6432,6081,6371,12452
南田中１丁目,1239,1251,1259,2510
南田中２丁目,917,914,919,1833
南田中３丁目,1422,1253,1399,2652
南田中４丁目,1506,1563,1549,3112
南田中５丁目,1348,1100,1245,2345
高野台,7547,7238,8112,15350
高野台１丁目,1777,1570,1893,3463
高野台２丁目,1589,1605,1724,3329
高野台３丁目,1468,1368,1492,2860
高野台４丁目,1303,1262,1407,2669
高野台５丁目,1410,1433,1596,3029
谷原,5837,6587,6781,13368
谷原１丁目,966,1062,1079,2141
谷原２丁目,836,867,901,1768
谷原３丁目,844,1005,1069,2074
谷原４丁目,796,982,988,1970
谷原５丁目,1388,1527,1601,3128
谷原６丁目,1007,1144,1143,2287
三原台,4297,4670,4749,9419
三原台１丁目,1949,2106,2088,4194
三原台２丁目,902,1045,1016,2061
三原台３丁目,1446,1519,1645,3164
石神井町,14991,13367,14667,28034
石神井町１丁目,1807,1428,1730,3158
石神井町２丁目,2413,2122,2436,4558
石神井町３丁目,1988,1589,1729,3318
石神井町４丁目,1756,1645,1797,3442
石神井町５丁目,959,830,883,1713
石神井町６丁目,1654,1532,1600,3132
石神井町７丁目,2172,2070,2196,4266
石神井町８丁目,2242,2151,2296,4447
石神井台,15010,15031,16004,31035
石神井台１丁目,719,794,838,1632
石神井台２丁目,2209,2311,2385,4696
石神井台３丁目,2723,2628,2756,5384
石神井台４丁目,2271,2227,2525,4752
石神井台５丁目,1765,1934,2001,3935
石神井台６丁目,1357,1431,1539,2970
石神井台７丁目,2195,1799,1953,3752
石神井台８丁目,1771,1907,2007,3914
下石神井,8861,8992,9249,18241
下石神井１丁目,1263,1348,1343,2691
下石神井２丁目,1563,1609,1704,3313
下石神井３丁目,1132,1197,1255,2452
下石神井４丁目,1967,1737,1798,3535
下石神井５丁目,1318,1331,1352,2683
下石神井６丁目,1618,1770,1797,3567
東大泉,18325,16586,18620,35206
東大泉１丁目,2459,2152,2545,4697
東大泉２丁目,3128,3064,3328,6392
東大泉３丁目,2638,2216,2589,4805
東大泉４丁目,1717,1427,1525,2952
東大泉５丁目,2104,1810,2138,3948
東大泉６丁目,3399,3004,3452,6456
東大泉７丁目,2880,2913,3043,5956
西大泉町,13,13,20,33
西大泉,9945,10750,11213,21963
西大泉１丁目,1931,2009,2030,4039
西大泉２丁目,1281,1400,1512,2912
西大泉３丁目,1724,1791,1891,3682
西大泉４丁目,1528,1793,1883,3676
西大泉５丁目,2210,2357,2478,4835
西大泉６丁目,1271,1400,1419,2819
南大泉,12711,13109,13946,27055
南大泉１丁目,2207,2333,2440,4773
南大泉２丁目,1936,2152,2271,4423
南大泉３丁目,2260,2348,2465,4813
南大泉４丁目,3107,3088,3222,6310
南大泉５丁目,2343,2255,2507,4762
南大泉６丁目,858,933,1041,1974
大泉町,10094,10910,11154,22064
大泉町１丁目,2335,2634,2652,5286
大泉町２丁目,2217,2317,2413,4730
大泉町３丁目,1755,1915,1931,3846
大泉町４丁目,1643,1894,1882,3776
大泉町５丁目,1011,1025,1067,2092
大泉町６丁目,1133,1125,1209,2334
大泉学園町,15749,16727,17576,34303
大泉学園町１丁目,1469,1521,1658,3179
大泉学園町２丁目,1974,1954,2008,3962
大泉学園町３丁目,1360,1618,1598,3216
大泉学園町４丁目,1908,2095,2211,4306
大泉学園町５丁目,2133,2332,2428,4760
大泉学園町６丁目,2310,2507,2705,5212
大泉学園町７丁目,2379,2396,2597,4993
大泉学園町８丁目,2145,2264,2340,4604
大泉学園町９丁目,71,40,31,71
関町北,11721,10451,11482,21933
関町北１丁目,2129,1642,1869,3511
関町北２丁目,2800,2153,2467,4620
関町北３丁目,2186,2013,2113,4126
関町北４丁目,2154,1989,2159,4148
関町北５丁目,2452,2654,2874,5528
関町南,9064,8896,9479,18375
関町南１丁目,1241,1147,1221,2368
関町南２丁目,2196,2080,2228,4308
関町南３丁目,2050,2104,2147,4251
関町南４丁目,3577,3565,3883,7448
上石神井南町,1092,1079,1110,2189
立野町,2445,2555,2772,5327
上石神井,10502,8758,9434,18192
上石神井１丁目,3467,2652,2830,5482
上石神井２丁目,2489,2097,2333,4430
上石神井３丁目,1929,1754,1846,3600
上石神井４丁目,2617,2255,2425,4680
関町東,3069,2595,2660,5255
関町東１丁目,2069,1841,1879,3720
関町東２丁目,1000,754,781,1535
