町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,385142,357649,381265,738914
旭丘,4879,3638,3649,7287
旭丘１丁目,3375,2488,2410,4898
旭丘２丁目,1504,1150,1239,2389
小竹町,5737,4537,4976,9513
小竹町１丁目,3113,2482,2656,5138
小竹町２丁目,2624,2055,2320,4375
栄町,2579,1901,2186,4087
羽沢,3884,3274,3454,6728
羽沢１丁目,912,662,695,1357
羽沢２丁目,1961,1652,1796,3448
羽沢３丁目,1011,960,963,1923
豊玉上,4462,3097,3506,6603
豊玉上１丁目,1539,1132,1212,2344
豊玉上２丁目,2923,1965,2294,4259
豊玉中,6165,5377,5369,10746
豊玉中１丁目,1398,1243,1215,2458
豊玉中２丁目,1984,1684,1593,3277
豊玉中３丁目,1922,1492,1545,3037
豊玉中４丁目,861,958,1016,1974
豊玉南,4577,4363,4391,8754
豊玉南１丁目,1237,1111,1159,2270
豊玉南２丁目,1125,982,1022,2004
豊玉南３丁目,2215,2270,2210,4480
豊玉北,12590,9280,10010,19290
豊玉北１丁目,1660,1183,1389,2572
豊玉北２丁目,1573,1215,1261,2476
豊玉北３丁目,2230,1574,1662,3236
豊玉北４丁目,2657,1952,2026,3978
豊玉北５丁目,2643,1842,2002,3844
豊玉北６丁目,1827,1514,1670,3184
中村,5040,4661,5169,9830
中村１丁目,1208,1154,1238,2392
中村２丁目,1621,1608,1758,3366
中村３丁目,2211,1899,2173,4072
中村南,5777,5415,5595,11010
中村南１丁目,2051,2127,2089,4216
中村南２丁目,2187,1849,1926,3775
中村南３丁目,1539,1439,1580,3019
中村北,6984,5479,6224,11703
中村北１丁目,2177,1752,1944,3696
中村北２丁目,1729,1526,1574,3100
中村北３丁目,1357,943,1117,2060
中村北４丁目,1721,1258,1589,2847
桜台,14555,12321,13162,25483
桜台１丁目,3309,2444,2631,5075
桜台２丁目,2659,2264,2426,4690
桜台３丁目,2555,2235,2453,4688
桜台４丁目,2221,1661,1842,3503
桜台５丁目,2026,1969,1960,3929
桜台６丁目,1785,1748,1850,3598
練馬,9198,7029,7526,14555
練馬１丁目,2803,2055,2137,4192
練馬２丁目,1769,1453,1512,2965
練馬３丁目,2375,1718,1835,3553
練馬４丁目,2251,1803,2042,3845
向山,5854,5403,5600,11003
向山１丁目,1104,857,891,1748
向山２丁目,1344,1291,1279,2570
向山３丁目,1303,1198,1302,2500
向山４丁目,2103,2057,2128,4185
貫井,11798,9985,10908,20893
貫井１丁目,2733,2350,2712,5062
貫井２丁目,2472,2001,2112,4113
貫井３丁目,2959,2287,2653,4940
貫井４丁目,2201,2054,2179,4233
貫井５丁目,1433,1293,1252,2545
錦,3222,3087,3173,6260
錦１丁目,1936,1778,1875,3653
錦２丁目,1286,1309,1298,2607
氷川台,7255,6493,7062,13555
氷川台１丁目,119,101,120,221
氷川台２丁目,1389,1472,1487,2959
氷川台３丁目,2933,2464,2698,5162
氷川台４丁目,2814,2456,2757,5213
平和台,6904,6869,7007,13876
平和台１丁目,1730,1811,1724,3535
平和台２丁目,1621,1476,1580,3056
平和台３丁目,2025,2136,2194,4330
平和台４丁目,1528,1446,1509,2955
早宮,9665,9205,9956,19161
