町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,384925,357878,381309,739187
旭丘,4898,3653,3658,7311
旭丘１丁目,3354,2478,2393,4871
旭丘２丁目,1544,1175,1265,2440
小竹町,5713,4513,4996,9509
小竹町１丁目,3129,2485,2690,5175
小竹町２丁目,2584,2028,2306,4334
栄町,2599,1930,2187,4117
羽沢,3839,3235,3363,6598
羽沢１丁目,922,669,694,1363
羽沢２丁目,1911,1602,1712,3314
羽沢３丁目,1006,964,957,1921
豊玉上,4449,3074,3505,6579
豊玉上１丁目,1549,1143,1213,2356
豊玉上２丁目,2900,1931,2292,4223
豊玉中,6159,5369,5382,10751
豊玉中１丁目,1357,1223,1178,2401
豊玉中２丁目,1985,1687,1605,3292
豊玉中３丁目,1953,1506,1573,3079
豊玉中４丁目,864,953,1026,1979
豊玉南,4500,4260,4300,8560
豊玉南１丁目,1247,1123,1175,2298
豊玉南２丁目,1132,977,1027,2004
豊玉南３丁目,2121,2160,2098,4258
豊玉北,12677,9344,10090,19434
豊玉北１丁目,1670,1202,1404,2606
豊玉北２丁目,1572,1211,1271,2482
豊玉北３丁目,2221,1575,1650,3225
豊玉北４丁目,2699,1978,2056,4034
豊玉北５丁目,2675,1858,2032,3890
豊玉北６丁目,1840,1520,1677,3197
中村,5090,4692,5204,9896
中村１丁目,1216,1154,1246,2400
中村２丁目,1640,1626,1763,3389
中村３丁目,2234,1912,2195,4107
中村南,5779,5382,5595,10977
中村南１丁目,2074,2117,2107,4224
中村南２丁目,2176,1833,1922,3755
中村南３丁目,1529,1432,1566,2998
中村北,7000,5500,6271,11771
中村北１丁目,2190,1781,1969,3750
中村北２丁目,1726,1518,1575,3093
中村北３丁目,1371,942,1128,2070
中村北４丁目,1713,1259,1599,2858
桜台,14581,12340,13271,25611
桜台１丁目,3314,2433,2663,5096
桜台２丁目,2692,2292,2459,4751
桜台３丁目,2577,2247,2493,4740
桜台４丁目,2207,1657,1848,3505
桜台５丁目,2006,1965,1945,3910
桜台６丁目,1785,1746,1863,3609
練馬,9236,7048,7552,14600
練馬１丁目,2817,2069,2155,4224
練馬２丁目,1797,1461,1514,2975
練馬３丁目,2401,1725,1854,3579
練馬４丁目,2221,1793,2029,3822
向山,5867,5422,5610,11032
向山１丁目,1103,859,892,1751
向山２丁目,1345,1288,1276,2564
向山３丁目,1306,1201,1294,2495
向山４丁目,2113,2074,2148,4222
貫井,11730,9958,10826,20784
貫井１丁目,2726,2353,2694,5047
貫井２丁目,2447,1973,2093,4066
貫井３丁目,2911,2292,2617,4909
貫井４丁目,2219,2063,2173,4236
貫井５丁目,1427,1277,1249,2526
錦,3237,3098,3195,6293
錦１丁目,1928,1785,1876,3661
錦２丁目,1309,1313,1319,2632
氷川台,7284,6548,7036,13584
氷川台１丁目,119,104,118,222
氷川台２丁目,1407,1494,1493,2987
氷川台３丁目,2947,2478,2679,5157
氷川台４丁目,2811,2472,2746,5218
平和台,6933,6849,7020,13869
平和台１丁目,1746,1804,1726,3530
平和台２丁目,1606,1467,1565,3032
平和台３丁目,2062,2150,2216,4366
平和台４丁目,1519,1428,1513,2941
早宮,9623,9189,9941,19130
早宮１丁目,3053,2788,2995,5783
