町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,381720,360315,382519,742834
旭丘,4981,3762,3739,7501
旭丘１丁目,3428,2571,2463,5034
旭丘２丁目,1553,1191,1276,2467
小竹町,5670,4499,4979,9478
小竹町１丁目,3091,2505,2681,5186
小竹町２丁目,2579,1994,2298,4292
栄町,2481,1873,2112,3985
羽沢,3858,3218,3412,6630
羽沢１丁目,929,670,710,1380
羽沢２丁目,1920,1593,1723,3316
羽沢３丁目,1009,955,979,1934
豊玉上,4467,3111,3554,6665
豊玉上１丁目,1562,1178,1225,2403
豊玉上２丁目,2905,1933,2329,4262
豊玉中,6119,5422,5398,10820
豊玉中１丁目,1390,1228,1215,2443
豊玉中２丁目,1906,1655,1562,3217
豊玉中３丁目,1948,1563,1609,3172
豊玉中４丁目,875,976,1012,1988
豊玉南,4453,4305,4359,8664
豊玉南１丁目,1249,1152,1220,2372
豊玉南２丁目,1082,968,1018,1986
豊玉南３丁目,2122,2185,2121,4306
豊玉北,12696,9468,10296,19764
豊玉北１丁目,1705,1233,1427,2660
豊玉北２丁目,1493,1152,1278,2430
豊玉北３丁目,2236,1635,1701,3336
豊玉北４丁目,2704,1978,2118,4096
豊玉北５丁目,2700,1898,2081,3979
豊玉北６丁目,1858,1572,1691,3263
中村,5051,4771,5227,9998
中村１丁目,1204,1175,1292,2467
中村２丁目,1613,1640,1734,3374
中村３丁目,2234,1956,2201,4157
中村南,5722,5321,5689,11010
中村南１丁目,2082,2104,2177,4281
中村南２丁目,2114,1807,1892,3699
中村南３丁目,1526,1410,1620,3030
中村北,6923,5536,6224,11760
中村北１丁目,2189,1798,1994,3792
中村北２丁目,1706,1525,1550,3075
中村北３丁目,1321,929,1093,2022
中村北４丁目,1707,1284,1587,2871
桜台,14487,12472,13330,25802
桜台１丁目,3316,2465,2638,5103
桜台２丁目,2694,2302,2483,4785
桜台３丁目,2468,2251,2473,4724
桜台４丁目,2188,1682,1864,3546
桜台５丁目,2034,2021,1971,3992
桜台６丁目,1787,1751,1901,3652
練馬,9127,7078,7558,14636
練馬１丁目,2723,2015,2161,4176
練馬２丁目,1797,1467,1538,3005
練馬３丁目,2387,1755,1852,3607
練馬４丁目,2220,1841,2007,3848
向山,5889,5450,5671,11121
向山１丁目,1144,875,919,1794
向山２丁目,1349,1310,1287,2597
向山３丁目,1284,1180,1283,2463
向山４丁目,2112,2085,2182,4267
貫井,11433,9908,10497,20405
貫井１丁目,2738,2405,2721,5126
貫井２丁目,2255,1768,1854,3622
貫井３丁目,2795,2346,2525,4871
貫井４丁目,2226,2091,2178,4269
貫井５丁目,1419,1298,1219,2517
錦,3128,3050,3123,6173
錦１丁目,1839,1739,1830,3569
錦２丁目,1289,1311,1293,2604
氷川台,7173,6632,7039,13671
氷川台１丁目,124,110,129,239
氷川台２丁目,1437,1518,1517,3035
氷川台３丁目,2841,2498,2659,5157
氷川台４丁目,2771,2506,2734,5240
平和台,6806,6885,7084,13969
平和台１丁目,1756,1831,1783,3614
平和台２丁目,1593,1512,1576,3088
平和台３丁目,2001,2104,2221,4325
平和台４丁目,1456,1438,1504,2942
早宮,9663,9339,10064,19403
早宮１丁目,3072,2849,3089,5938
早宮２丁目,2175,2038,2171,4209
早宮３丁目,2325,2294,2510,4804
早宮４丁目,2091,2158,2294,4452
春日町,13007,12438,13519,25957
春日町１丁目,2154,2103,2280,4383
春日町２丁目,2278,2231,2339,4570
春日町３丁目,2171,1924,2193,4117
春日町４丁目,2239,2164,2285,4449
春日町５丁目,2203,2129,2370,4499
春日町６丁目,1962,1887,2052,3939
高松,8335,8974,9226,18200
高松１丁目,1491,1479,1576,3055
高松２丁目,1168,1204,1314,2518
高松３丁目,1276,1595,1652,3247
高松４丁目,1559,1743,1775,3518
高松５丁目,1392,1363,1400,2763
高松６丁目,1449,1590,1509,3099
北町,15433,13437,13072,26509
北町１丁目,2829,2253,2379,4632
北町２丁目,3266,3089,3157,6246
北町３丁目,1646,1426,1495,2921
北町４丁目,1025,963,62,1025
北町５丁目,1313,1224,1211,2435
北町６丁目,1542,1201,1390,2591
北町７丁目,1604,1413,1469,2882
北町８丁目,2208,1868,1909,3777
田柄,13769,14490,14993,29483
田柄１丁目,2449,2437,2636,5073
田柄２丁目,3839,3553,3739,7292
田柄３丁目,2458,2891,2830,5721
田柄４丁目,3155,3604,3670,7274
田柄５丁目,1868,2005,2118,4123
光が丘,12808,12674,14648,27322
光が丘１丁目,1571,1225,1443,2668
光が丘２丁目,2603,2417,3016,5433
光が丘３丁目,3958,4285,4711,8996
光が丘４丁目,0,0,0,0
光が丘５丁目,1622,1497,1852,3349
光が丘６丁目,471,468,586,1054
光が丘７丁目,2583,2782,3040,5822
旭町,6826,6465,6513,12978
旭町１丁目,1920,2085,2166,4251
旭町２丁目,2559,2271,2263,4534
旭町３丁目,2347,2109,2084,4193
土支田,6105,6894,6958,13852
土支田１丁目,1597,1730,1802,3532
土支田２丁目,1311,1455,1472,2927
土支田３丁目,1758,2005,2081,4086
土支田４丁目,1439,1704,1603,3307
富士見台,7986,7691,7980,15671
富士見台１丁目,1564,1536,1597,3133
富士見台２丁目,2355,2104,2164,4268
富士見台３丁目,2185,2004,2144,4148
富士見台４丁目,1882,2047,2075,4122
南田中,6479,6089,6456,12545
南田中１丁目,1226,1245,1259,2504
南田中２丁目,896,888,899,1787
南田中３丁目,1427,1243,1409,2652
南田中４丁目,1565,1592,1591,3183
南田中５丁目,1365,1121,1298,2419
高野台,7511,7248,8119,15367
高野台１丁目,1794,1623,1919,3542
高野台２丁目,1579,1608,1704,3312
高野台３丁目,1491,1382,1542,2924
高野台４丁目,1241,1201,1358,2559
高野台５丁目,1406,1434,1596,3030
谷原,5756,6521,6723,13244
谷原１丁目,930,1034,1053,2087
谷原２丁目,836,875,899,1774
谷原３丁目,845,1005,1075,2080
谷原４丁目,773,986,960,1946
谷原５丁目,1362,1479,1561,3040
谷原６丁目,1010,1142,1175,2317
三原台,4262,4644,4772,9416
三原台１丁目,1998,2125,2154,4279
三原台２丁目,880,1028,1005,2033
三原台３丁目,1384,1491,1613,3104
石神井町,14933,13346,14759,28105
石神井町１丁目,1815,1428,1747,3175
石神井町２丁目,2425,2117,2480,4597
石神井町３丁目,1942,1574,1722,3296
石神井町４丁目,1791,1686,1807,3493
石神井町５丁目,938,855,903,1758
石神井町６丁目,1634,1501,1613,3114
石神井町７丁目,2138,2029,2168,4197
石神井町８丁目,2250,2156,2319,4475
石神井台,14917,15091,16051,31142
石神井台１丁目,726,793,838,1631
石神井台２丁目,2149,2307,2366,4673
石神井台３丁目,2724,2643,2818,5461
石神井台４丁目,2302,2251,2564,4815
石神井台５丁目,1780,1970,2017,3987
石神井台６丁目,1338,1434,1532,2966
石神井台７丁目,2185,1842,1948,3790
石神井台８丁目,1713,1851,1968,3819
下石神井,8849,9039,9309,18348
下石神井１丁目,1266,1356,1357,2713
下石神井２丁目,1598,1686,1749,3435
下石神井３丁目,1123,1194,1251,2445
下石神井４丁目,1985,1746,1847,3593
下石神井５丁目,1286,1281,1340,2621
下石神井６丁目,1591,1776,1765,3541
東大泉,18126,16549,18501,35050
東大泉１丁目,2430,2218,2527,4745
東大泉２丁目,3065,3007,3257,6264
東大泉３丁目,2639,2190,2623,4813
東大泉４丁目,1704,1426,1514,2940
東大泉５丁目,2091,1809,2128,3937
東大泉６丁目,3340,2970,3417,6387
東大泉７丁目,2857,2929,3035,5964
西大泉町,13,13,20,33
西大泉,9947,10872,11309,22181
