町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,380564,359115,381235,740350
旭丘,4913,3721,3672,7393
旭丘１丁目,3383,2545,2420,4965
旭丘２丁目,1530,1176,1252,2428
小竹町,5643,4478,4959,9437
小竹町１丁目,3082,2491,2658,5149
小竹町２丁目,2561,1987,2301,4288
栄町,2445,1842,2085,3927
羽沢,3824,3184,3375,6559
羽沢１丁目,902,655,692,1347
羽沢２丁目,1933,1591,1720,3311
羽沢３丁目,989,938,963,1901
豊玉上,4422,3076,3537,6613
豊玉上１丁目,1541,1148,1226,2374
豊玉上２丁目,2881,1928,2311,4239
豊玉中,6063,5379,5353,10732
豊玉中１丁目,1379,1232,1210,2442
豊玉中２丁目,1911,1651,1562,3213
豊玉中３丁目,1911,1532,1566,3098
豊玉中４丁目,862,964,1015,1979
豊玉南,4445,4296,4378,8674
豊玉南１丁目,1252,1164,1221,2385
豊玉南２丁目,1099,959,1031,1990
豊玉南３丁目,2094,2173,2126,4299
豊玉北,12634,9422,10214,19636
豊玉北１丁目,1685,1224,1415,2639
豊玉北２丁目,1494,1164,1251,2415
豊玉北３丁目,2223,1630,1679,3309
豊玉北４丁目,2709,1980,2126,4106
豊玉北５丁目,2683,1895,2064,3959
豊玉北６丁目,1840,1529,1679,3208
中村,5061,4768,5229,9997
中村１丁目,1206,1167,1283,2450
中村２丁目,1610,1631,1743,3374
中村３丁目,2245,1970,2203,4173
中村南,5693,5320,5682,11002
中村南１丁目,2062,2083,2159,4242
中村南２丁目,2106,1814,1900,3714
中村南３丁目,1525,1423,1623,3046
中村北,6858,5468,6159,11627
中村北１丁目,2193,1783,1987,3770
中村北２丁目,1705,1524,1543,3067
中村北３丁目,1285,908,1072,1980
中村北４丁目,1675,1253,1557,2810
桜台,14468,12447,13281,25728
桜台１丁目,3322,2468,2638,5106
桜台２丁目,2684,2309,2455,4764
桜台３丁目,2485,2244,2499,4743
桜台４丁目,2172,1669,1845,3514
桜台５丁目,2015,2003,1950,3953
桜台６丁目,1790,1754,1894,3648
練馬,9039,7009,7490,14499
練馬１丁目,2690,1976,2134,4110
練馬２丁目,1790,1475,1527,3002
練馬３丁目,2340,1718,1830,3548
練馬４丁目,2219,1840,1999,3839
向山,5878,5472,5654,11126
向山１丁目,1118,878,910,1788
向山２丁目,1348,1312,1285,2597
向山３丁目,1292,1176,1277,2453
向山４丁目,2120,2106,2182,4288
貫井,11423,9841,10501,20342
貫井１丁目,2735,2398,2719,5117
貫井２丁目,2295,1777,1879,3656
貫井３丁目,2809,2323,2554,4877
貫井４丁目,2199,2073,2132,4205
貫井５丁目,1385,1270,1217,2487
錦,3180,3090,3178,6268
錦１丁目,1871,1762,1852,3614
錦２丁目,1309,1328,1326,2654
氷川台,7144,6594,7031,13625
氷川台１丁目,121,106,127,233
氷川台２丁目,1414,1499,1529,3028
氷川台３丁目,2858,2487,2649,5136
氷川台４丁目,2751,2502,2726,5228
平和台,6742,6848,7029,13877
平和台１丁目,1736,1812,1762,3574
平和台２丁目,1577,1492,1558,3050
平和台３丁目,1956,2105,2178,4283
平和台４丁目,1473,1439,1531,2970
早宮,9629,9363,10033,19396
早宮１丁目,3100,2867,3084,5951
早宮２丁目,2129,2014,2155,4169
早宮３丁目,2308,2311,2509,4820
早宮４丁目,2092,2171,2285,4456
春日町,13013,12479,13539,26018
春日町１丁目,2140,2093,2269,4362
春日町２丁目,2289,2232,2364,4596
春日町３丁目,2185,1938,2189,4127
春日町４丁目,2235,2167,2286,4453
春日町５丁目,2192,2146,2369,4515
春日町６丁目,1972,1903,2062,3965
高松,8290,8932,9166,18098
高松１丁目,1494,1483,1568,3051
高松２丁目,1162,1191,1310,2501
高松３丁目,1289,1608,1659,3267
高松４丁目,1557,1739,1766,3505
高松５丁目,1358,1343,1365,2708
高松６丁目,1430,1568,1498,3066
北町,15343,13337,13115,26452
北町１丁目,2853,2297,2379,4676
北町２丁目,3252,3071,3185,6256
北町３丁目,1640,1440,1516,2956
北町４丁目,942,875,67,942
北町５丁目,1301,1186,1215,2401
北町６丁目,1553,1203,1390,2593
