町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,392417,359375,384053,743428
旭丘,4986,3689,3691,7380
旭丘１丁目,3445,2511,2457,4968
旭丘２丁目,1541,1178,1234,2412
小竹町,5846,4545,5018,9563
小竹町１丁目,3149,2488,2688,5176
小竹町２丁目,2697,2057,2330,4387
栄町,2674,1934,2199,4133
羽沢,3955,3299,3472,6771
羽沢１丁目,968,696,714,1410
羽沢２丁目,1987,1666,1785,3451
羽沢３丁目,1000,937,973,1910
豊玉上,4580,3119,3489,6608
豊玉上１丁目,1533,1100,1184,2284
豊玉上２丁目,3047,2019,2305,4324
豊玉中,6446,5471,5488,10959
豊玉中１丁目,1462,1272,1229,2501
豊玉中２丁目,2106,1726,1679,3405
豊玉中３丁目,2017,1546,1581,3127
豊玉中４丁目,861,927,999,1926
豊玉南,4615,4347,4430,8777
豊玉南１丁目,1237,1087,1162,2249
豊玉南２丁目,1133,989,1036,2025
豊玉南３丁目,2245,2271,2232,4503
豊玉北,12995,9441,10201,19642
豊玉北１丁目,1699,1204,1415,2619
豊玉北２丁目,1602,1201,1291,2492
豊玉北３丁目,2281,1565,1710,3275
豊玉北４丁目,2817,2066,2095,4161
豊玉北５丁目,2719,1878,2024,3902
豊玉北６丁目,1877,1527,1666,3193
中村,5163,4704,5186,9890
中村１丁目,1220,1149,1242,2391
中村２丁目,1684,1653,1782,3435
中村３丁目,2259,1902,2162,4064
中村南,5900,5424,5676,11100
中村南１丁目,2120,2132,2131,4263
中村南２丁目,2215,1846,1941,3787
中村南３丁目,1565,1446,1604,3050
中村北,7158,5470,6255,11725
中村北１丁目,2208,1752,1912,3664
中村北２丁目,1731,1485,1581,3066
中村北３丁目,1444,956,1164,2120
中村北４丁目,1775,1277,1598,2875
桜台,14889,12439,13270,25709
桜台１丁目,3444,2485,2722,5207
桜台２丁目,2686,2256,2400,4656
桜台３丁目,2590,2241,2487,4728
桜台４丁目,2302,1706,1861,3567
桜台５丁目,2065,1988,1955,3943
桜台６丁目,1802,1763,1845,3608
練馬,9361,7037,7640,14677
練馬１丁目,2854,2097,2161,4258
練馬２丁目,1799,1441,1567,3008
練馬３丁目,2412,1707,1858,3565
練馬４丁目,2296,1792,2054,3846
向山,5939,5413,5609,11022
向山１丁目,1165,895,943,1838
向山２丁目,1330,1277,1266,2543
向山３丁目,1293,1172,1273,2445
向山４丁目,2151,2069,2127,4196
貫井,12014,10136,11067,21203
貫井１丁目,2777,2357,2733,5090
貫井２丁目,2493,2019,2136,4155
貫井３丁目,2984,2317,2672,4989
貫井４丁目,2292,2119,2272,4391
貫井５丁目,1468,1324,1254,2578
錦,3321,3131,3218,6349
錦１丁目,1984,1811,1879,3690
錦２丁目,1337,1320,1339,2659
氷川台,7481,6524,7141,13665
氷川台１丁目,124,98,121,219
氷川台２丁目,1475,1506,1533,3039
