町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,385321,357933,381519,739452
旭丘,4898,3650,3649,7299
旭丘１丁目,3370,2482,2396,4878
旭丘２丁目,1528,1168,1253,2421
小竹町,5767,4548,5010,9558
小竹町１丁目,3137,2489,2692,5181
小竹町２丁目,2630,2059,2318,4377
栄町,2586,1915,2187,4102
羽沢,3844,3243,3382,6625
羽沢１丁目,920,665,698,1363
羽沢２丁目,1907,1608,1721,3329
羽沢３丁目,1017,970,963,1933
豊玉上,4464,3084,3513,6597
豊玉上１丁目,1551,1137,1218,2355
豊玉上２丁目,2913,1947,2295,4242
豊玉中,6140,5358,5343,10701
豊玉中１丁目,1369,1232,1182,2414
豊玉中２丁目,1979,1681,1591,3272
豊玉中３丁目,1937,1495,1558,3053
豊玉中４丁目,855,950,1012,1962
豊玉南,4520,4288,4336,8624
豊玉南１丁目,1239,1113,1168,2281
豊玉南２丁目,1129,980,1027,2007
豊玉南３丁目,2152,2195,2141,4336
豊玉北,12648,9330,10056,19386
豊玉北１丁目,1667,1198,1394,2592
豊玉北２丁目,1578,1214,1275,2489
豊玉北３丁目,2215,1568,1644,3212
豊玉北４丁目,2677,1969,2043,4012
豊玉北５丁目,2680,1861,2022,3883
豊玉北６丁目,1831,1520,1678,3198
中村,5055,4671,5180,9851
中村１丁目,1210,1151,1237,2388
中村２丁目,1627,1614,1762,3376
中村３丁目,2218,1906,2181,4087
中村南,5768,5392,5587,10979
中村南１丁目,2069,2127,2109,4236
中村南２丁目,2180,1837,1920,3757
中村南３丁目,1519,1428,1558,2986
中村北,6995,5498,6234,11732
中村北１丁目,2180,1763,1941,3704
中村北２丁目,1734,1528,1580,3108
中村北３丁目,1369,948,1130,2078
中村北４丁目,1712,1259,1583,2842
桜台,14561,12329,13222,25551
桜台１丁目,3302,2431,2646,5077
桜台２丁目,2687,2280,2466,4746
桜台３丁目,2576,2253,2474,4727
桜台４丁目,2210,1660,1846,3506
桜台５丁目,2006,1963,1942,3905
桜台６丁目,1780,1742,1848,3590
練馬,9239,7049,7558,14607
練馬１丁目,2826,2068,2154,4222
練馬２丁目,1792,1467,1516,2983
練馬３丁目,2383,1720,1848,3568
練馬４丁目,2238,1794,2040,3834
向山,5864,5418,5618,11036
向山１丁目,1105,858,888,1746
向山２丁目,1352,1296,1288,2584
向山３丁目,1306,1200,1299,2499
向山４丁目,2101,2064,2143,4207
貫井,11834,9989,10912,20901
貫井１丁目,2743,2360,2711,5071
貫井２丁目,2464,1985,2109,4094
貫井３丁目,2982,2308,2669,4977
貫井４丁目,2214,2054,2174,4228
貫井５丁目,1431,1282,1249,2531
錦,3236,3100,3193,6293
錦１丁目,1930,1780,1879,3659
錦２丁目,1306,1320,1314,2634
氷川台,7258,6504,7030,13534
氷川台１丁目,120,101,120,221
氷川台２丁目,1396,1486,1484,2970
氷川台３丁目,2924,2463,2666,5129
氷川台４丁目,2818,2454,2760,5214
平和台,6933,6862,7030,13892
平和台１丁目,1758,1813,1737,3550
平和台２丁目,1609,1474,1573,3047
平和台３丁目,2044,2141,2211,4352
平和台４丁目,1522,1434,1509,2943
早宮,9621,9197,9921,19118
早宮１丁目,3050,2783,2979,5762
早宮２丁目,2179,1982,2147,4129
早宮３丁目,2292,2302,2487,4789
早宮４丁目,2100,2130,2308,4438
春日町,13473,12668,13814,26482
春日町１丁目,2331,2246,2410,4656
春日町２丁目,2395,2274,2375,4649
春日町３丁目,2200,1900,2164,4064
春日町４丁目,2229,2140,2270,4410
春日町５丁目,2225,2118,2380,4498
春日町６丁目,2093,1990,2215,4205
高松,8443,8836,9167,18003
高松１丁目,1489,1429,1551,2980
高松２丁目,1260,1238,1330,2568
高松３丁目,1280,1568,1644,3212
高松４丁目,1563,1690,1723,3413
高松５丁目,1393,1363,1385,2748
高松６丁目,1458,1548,1534,3082
北町,15627,13370,13447,26817
北町１丁目,2914,2292,2392,4684
北町２丁目,3322,3074,3303,6377
北町３丁目,1826,1560,1675,3235
北町４丁目,817,742,75,817
北町５丁目,1333,1196,1223,2419
北町６丁目,1614,1280,1442,2722
