町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,384209,357778,381319,739097
旭丘,4883,3654,3659,7313
旭丘１丁目,3345,2477,2391,4868
旭丘２丁目,1538,1177,1268,2445
小竹町,5731,4514,5013,9527
小竹町１丁目,3142,2495,2692,5187
小竹町２丁目,2589,2019,2321,4340
栄町,2600,1922,2186,4108
羽沢,3847,3239,3365,6604
羽沢１丁目,925,670,696,1366
羽沢２丁目,1933,1616,1724,3340
羽沢３丁目,989,953,945,1898
豊玉上,4463,3079,3520,6599
豊玉上１丁目,1552,1147,1214,2361
豊玉上２丁目,2911,1932,2306,4238
豊玉中,6123,5342,5353,10695
豊玉中１丁目,1352,1215,1178,2393
豊玉中２丁目,1960,1671,1596,3267
豊玉中３丁目,1949,1507,1567,3074
豊玉中４丁目,862,949,1012,1961
豊玉南,4462,4251,4298,8549
豊玉南１丁目,1246,1128,1172,2300
豊玉南２丁目,1112,968,1029,1997
豊玉南３丁目,2104,2155,2097,4252
豊玉北,12685,9355,10126,19481
豊玉北１丁目,1663,1192,1402,2594
豊玉北２丁目,1580,1217,1273,2490
豊玉北３丁目,2208,1575,1638,3213
豊玉北４丁目,2720,1986,2076,4062
豊玉北５丁目,2674,1860,2035,3895
豊玉北６丁目,1840,1525,1702,3227
中村,5118,4717,5235,9952
中村１丁目,1216,1155,1250,2405
中村２丁目,1647,1627,1767,3394
中村３丁目,2255,1935,2218,4153
中村南,5701,5327,5578,10905
中村南１丁目,2052,2088,2103,4191
中村南２丁目,2128,1802,1903,3705
中村南３丁目,1521,1437,1572,3009
中村北,6951,5447,6246,11693
中村北１丁目,2172,1762,1971,3733
中村北２丁目,1724,1502,1573,3075
中村北３丁目,1352,922,1117,2039
中村北４丁目,1703,1261,1585,2846
桜台,14596,12388,13329,25717
桜台１丁目,3302,2430,2668,5098
桜台２丁目,2701,2296,2478,4774
桜台３丁目,2585,2270,2504,4774
桜台４丁目,2202,1670,1850,3520
桜台５丁目,2024,1974,1966,3940
桜台６丁目,1782,1748,1863,3611
練馬,9249,7065,7540,14605
練馬１丁目,2811,2062,2165,4227
練馬２丁目,1796,1472,1505,2977
練馬３丁目,2413,1729,1853,3582
練馬４丁目,2229,1802,2017,3819
向山,5863,5418,5604,11022
向山１丁目,1101,862,887,1749
向山２丁目,1351,1287,1281,2568
向山３丁目,1305,1196,1287,2483
向山４丁目,2106,2073,2149,4222
貫井,11612,9867,10737,20604
貫井１丁目,2717,2346,2695,5041
貫井２丁目,2398,1926,2045,3971
貫井３丁目,2862,2266,2591,4857
貫井４丁目,2215,2056,2165,4221
貫井５丁目,1420,1273,1241,2514
錦,3188,3088,3149,6237
錦１丁目,1901,1772,1855,3627
錦２丁目,1287,1316,1294,2610
氷川台,7272,6558,7070,13628
氷川台１丁目,122,107,122,229
氷川台２丁目,1414,1492,1508,3000
氷川台３丁目,2948,2486,2692,5178
氷川台４丁目,2788,2473,2748,5221
平和台,6868,6837,7016,13853
平和台１丁目,1733,1788,1733,3521
平和台２丁目,1587,1464,1555,3019
平和台３丁目,2047,2162,2215,4377
平和台４丁目,1501,1423,1513,2936
早宮,9644,9218,9947,19165
早宮１丁目,3083,2819,3030,5849
早宮２丁目,2185,1990,2162,4152
早宮３丁目,2296,2288,2493,4781
早宮４丁目,2080,2121,2262,4383
春日町,13426,12634,13752,26386
春日町１丁目,2296,2198,2362,4560
春日町２丁目,2398,2283,2380,4663
春日町３丁目,2192,1890,2173,4063
春日町４丁目,2233,2143,2273,4416
春日町５丁目,2227,2136,2381,4517
春日町６丁目,2080,1984,2183,4167
高松,8407,8833,9141,17974
高松１丁目,1488,1441,1550,2991
高松２丁目,1239,1230,1321,2551
高松３丁目,1288,1576,1644,3220
高松４丁目,1572,1702,1751,3453
高松５丁目,1356,1328,1348,2676
高松６丁目,1464,1556,1527,3083
北町,15464,13239,13284,26523
北町１丁目,2872,2257,2379,4636
北町２丁目,3321,3097,3266,6363
北町３丁目,1738,1490,1608,3098
北町４丁目,787,735,52,787
北町５丁目,1350,1195,1230,2425
北町６丁目,1584,1235,1399,2634
北町７丁目,1595,1372,1440,2812
北町８丁目,2217,1858,1910,3768
田柄,13875,14209,14771,28980
田柄１丁目,2436,2405,2574,4979
田柄２丁目,3798,3436,3621,7057
田柄３丁目,2522,2825,2764,5589
田柄４丁目,3204,3583,3681,7264
田柄５丁目,1915,1960,2131,4091
光が丘,12718,12304,14252,26556
光が丘１丁目,1573,1152,1409,2561
光が丘２丁目,2564,2323,2895,5218
光が丘３丁目,3961,4210,4624,8834
光が丘４丁目,0,0,0,0
光が丘５丁目,1594,1433,1787,3220
光が丘６丁目,478,465,569,1034
光が丘７丁目,2548,2721,2968,5689
旭町,6882,6482,6486,12968
旭町１丁目,1951,2109,2189,4298
旭町２丁目,2534,2252,2215,4467
旭町３丁目,2397,2121,2082,4203
土支田,6323,7079,7232,14311
土支田１丁目,1624,1736,1842,3578
土支田２丁目,1373,1552,1574,3126
土支田３丁目,1833,2070,2136,4206
土支田４丁目,1493,1721,1680,3401
富士見台,7898,7546,7972,15518
富士見台１丁目,1530,1509,1639,3148
富士見台２丁目,2301,2031,2117,4148
富士見台３丁目,2215,2009,2171,4180
富士見台４丁目,1852,1997,2045,4042
南田中,6445,6055,6346,12401
南田中１丁目,1241,1250,1261,2511
南田中２丁目,929,918,926,1844
南田中３丁目,1429,1243,1378,2621
南田中４丁目,1514,1557,1553,3110
南田中５丁目,1332,1087,1228,2315
高野台,7649,7278,8151,15429
高野台１丁目,1797,1590,1907,3497
高野台２丁目,1609,1609,1729,3338
高野台３丁目,1502,1382,1511,2893
高野台４丁目,1305,1238,1403,2641
高野台５丁目,1436,1459,1601,3060
谷原,5856,6604,6792,13396
谷原１丁目,983,1081,1087,2168
谷原２丁目,838,866,908,1774
谷原３丁目,857,1017,1071,2088
谷原４丁目,786,972,971,1943
谷原５丁目,1388,1536,1618,3154
谷原６丁目,1004,1132,1137,2269
三原台,4281,4652,4734,9386
三原台１丁目,1929,2094,2084,4178
三原台２丁目,912,1046,1018,2064
三原台３丁目,1440,1512,1632,3144
石神井町,14957,13235,14592,27827
石神井町１丁目,1806,1415,1710,3125
石神井町２丁目,2417,2092,2410,4502
石神井町３丁目,1981,1573,1731,3304
石神井町４丁目,1766,1623,1792,3415
石神井町５丁目,967,833,889,1722
石神井町６丁目,1634,1522,1590,3112
石神井町７丁目,2146,2032,2168,4200
石神井町８丁目,2240,2145,2302,4447
石神井台,15025,14977,15989,30966
石神井台１丁目,710,779,826,1605
