町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,385351,357924,381530,739454
旭丘,4880,3644,3646,7290
旭丘１丁目,3358,2479,2397,4876
旭丘２丁目,1522,1165,1249,2414
小竹町,5756,4529,4998,9527
小竹町１丁目,3133,2482,2688,5170
小竹町２丁目,2623,2047,2310,4357
栄町,2584,1912,2186,4098
羽沢,3879,3276,3425,6701
羽沢１丁目,918,667,695,1362
羽沢２丁目,1949,1649,1770,3419
羽沢３丁目,1012,960,960,1920
豊玉上,4458,3083,3508,6591
豊玉上１丁目,1546,1128,1218,2346
豊玉上２丁目,2912,1955,2290,4245
豊玉中,6170,5380,5368,10748
豊玉中１丁目,1393,1240,1207,2447
豊玉中２丁目,1981,1683,1589,3272
豊玉中３丁目,1937,1502,1558,3060
豊玉中４丁目,859,955,1014,1969
豊玉南,4531,4317,4352,8669
豊玉南１丁目,1238,1114,1164,2278
豊玉南２丁目,1121,973,1022,1995
豊玉南３丁目,2172,2230,2166,4396
豊玉北,12631,9320,10028,19348
豊玉北１丁目,1658,1188,1388,2576
豊玉北２丁目,1577,1218,1268,2486
豊玉北３丁目,2222,1571,1649,3220
豊玉北４丁目,2678,1969,2035,4004
豊玉北５丁目,2671,1859,2017,3876
豊玉北６丁目,1825,1515,1671,3186
中村,5066,4676,5192,9868
中村１丁目,1206,1152,1235,2387
中村２丁目,1628,1609,1763,3372
中村３丁目,2232,1915,2194,4109
中村南,5786,5417,5600,11017
中村南１丁目,2061,2131,2097,4228
中村南２丁目,2194,1851,1922,3773
中村南３丁目,1531,1435,1581,3016
中村北,6996,5506,6224,11730
中村北１丁目,2177,1758,1938,3696
中村北２丁目,1739,1536,1581,3117
中村北３丁目,1363,945,1123,2068
中村北４丁目,1717,1267,1582,2849
桜台,14554,12325,13194,25519
桜台１丁目,3306,2436,2642,5078
桜台２丁目,2689,2286,2462,4748
桜台３丁目,2558,2243,2458,4701
桜台４丁目,2209,1657,1840,3497
桜台５丁目,2014,1965,1945,3910
桜台６丁目,1778,1738,1847,3585
練馬,9196,7024,7540,14564
練馬１丁目,2815,2064,2149,4213
練馬２丁目,1779,1455,1510,2965
練馬３丁目,2374,1714,1850,3564
練馬４丁目,2228,1791,2031,3822
向山,5874,5425,5628,11053
向山１丁目,1101,852,893,1745
向山２丁目,1358,1303,1287,2590
向山３丁目,1308,1202,1301,2503
向山４丁目,2107,2068,2147,4215
貫井,11812,9976,10889,20865
貫井１丁目,2727,2346,2705,5051
貫井２丁目,2466,1988,2105,4093
貫井３丁目,2986,2306,2672,4978
貫井４丁目,2201,2047,2162,4209
貫井５丁目,1432,1289,1245,2534
錦,3223,3102,3184,6286
