町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,375651,357951,378840,736791
旭丘,4810,3650,3632,7282
旭丘１丁目,3273,2446,2364,4810
旭丘２丁目,1537,1204,1268,2472
小竹町,5633,4539,4958,9497
小竹町１丁目,3034,2506,2654,5160
小竹町２丁目,2599,2033,2304,4337
栄町,2438,1879,2084,3963
羽沢,3832,3202,3390,6592
羽沢１丁目,908,651,705,1356
羽沢２丁目,1917,1617,1710,3327
羽沢３丁目,1007,934,975,1909
豊玉上,4366,3073,3496,6569
豊玉上１丁目,1518,1151,1197,2348
豊玉上２丁目,2848,1922,2299,4221
豊玉中,6016,5350,5294,10644
豊玉中１丁目,1343,1207,1170,2377
豊玉中２丁目,1839,1625,1493,3118
豊玉中３丁目,1945,1562,1610,3172
豊玉中４丁目,889,956,1021,1977
豊玉南,4462,4315,4324,8639
豊玉南１丁目,1240,1152,1219,2371
豊玉南２丁目,1106,988,1008,1996
豊玉南３丁目,2116,2175,2097,4272
豊玉北,12291,9286,10056,19342
豊玉北１丁目,1674,1218,1412,2630
豊玉北２丁目,1513,1146,1308,2454
豊玉北３丁目,2046,1542,1573,3115
豊玉北４丁目,2634,1953,2060,4013
豊玉北５丁目,2609,1865,2022,3887
豊玉北６丁目,1815,1562,1681,3243
中村,5003,4773,5159,9932
中村１丁目,1222,1204,1291,2495
中村２丁目,1562,1593,1680,3273
中村３丁目,2219,1976,2188,4164
中村南,5605,5259,5552,10811
中村南１丁目,2016,2049,2118,4167
中村南２丁目,2078,1799,1851,3650
中村南３丁目,1511,1411,1583,2994
中村北,6873,5542,6194,11736
中村北１丁目,2173,1813,1962,3775
中村北２丁目,1689,1499,1552,3051
中村北３丁目,1307,933,1091,2024
中村北４丁目,1704,1297,1589,2886
桜台,14218,12324,13142,25466
桜台１丁目,3274,2465,2629,5094
桜台２丁目,2636,2296,2437,4733
桜台３丁目,2456,2289,2461,4750
桜台４丁目,2075,1617,1773,3390
桜台５丁目,2003,1964,1978,3942
桜台６丁目,1774,1693,1864,3557
練馬,8932,7015,7421,14436
練馬１丁目,2636,1998,2079,4077
練馬２丁目,1802,1483,1520,3003
練馬３丁目,2314,1739,1817,3556
練馬４丁目,2180,1795,2005,3800
向山,5773,5386,5578,10964
向山１丁目,1125,876,890,1766
向山２丁目,1316,1273,1273,2546
向山３丁目,1256,1170,1279,2449
向山４丁目,2076,2067,2136,4203
貫井,11211,9861,10354,20215
貫井１丁目,2701,2409,2710,5119
貫井２丁目,2088,1704,1741,3445
貫井３丁目,2808,2387,2528,4915
貫井４丁目,2219,2109,2186,4295
貫井５丁目,1395,1252,1189,2441
錦,3085,3032,3155,6187
錦１丁目,1803,1738,1849,3587
錦２丁目,1282,1294,1306,2600
氷川台,7127,6624,6997,13621
氷川台１丁目,122,111,132,243
氷川台２丁目,1407,1500,1480,2980
氷川台３丁目,2838,2529,2636,5165
氷川台４丁目,2760,2484,2749,5233
平和台,6746,6859,7023,13882
平和台１丁目,1754,1816,1791,3607
平和台２丁目,1560,1489,1599,3088
平和台３丁目,2031,2141,2190,4331
平和台４丁目,1401,1413,1443,2856
早宮,9494,9282,9958,19240
早宮１丁目,3050,2878,3076,5954
早宮２丁目,2108,2007,2108,4115
早宮３丁目,2267,2272,2495,4767
早宮４丁目,2069,2125,2279,4404
春日町,12774,12258,13411,25669
春日町１丁目,2120,2089,2278,4367
春日町２丁目,2234,2212,2353,4565
春日町３丁目,2161,1909,2181,4090
春日町４丁目,2226,2176,2295,4471
春日町５丁目,2207,2131,2371,4502
春日町６丁目,1826,1741,1933,3674
高松,8167,8918,9077,17995
高松１丁目,1497,1491,1553,3044
高松２丁目,1160,1202,1316,2518
高松３丁目,1253,1567,1627,3194
高松４丁目,1510,1741,1748,3489
高松５丁目,1320,1349,1344,2693
高松６丁目,1427,1568,1489,3057
北町,15098,13254,12809,26063
北町１丁目,2786,2254,2311,4565
北町２丁目,3256,3105,3157,6262
北町３丁目,1534,1326,1362,2688
北町４丁目,970,912,58,970
北町５丁目,1304,1208,1204,2412
北町６丁目,1526,1195,1386,2581
北町７丁目,1572,1407,1459,2866
北町８丁目,2150,1847,1872,3719
田柄,13595,14537,14928,29465
田柄１丁目,2447,2441,2642,5083
田柄２丁目,3688,3473,3626,7099
田柄３丁目,2462,2944,2875,5819
田柄４丁目,3117,3627,3663,7290
田柄５丁目,1881,2052,2122,4174
光が丘,12715,12774,14686,27460
光が丘１丁目,1546,1234,1425,2659
光が丘２丁目,2595,2477,3079,5556
光が丘３丁目,3950,4295,4706,9001
光が丘４丁目,0,0,0,0
光が丘５丁目,1605,1504,1847,3351
光が丘６丁目,472,475,583,1058
光が丘７丁目,2547,2789,3046,5835
旭町,6736,6410,6537,12947
旭町１丁目,1890,2056,2157,4213
旭町２丁目,2603,2304,2330,4634
旭町３丁目,2243,2050,2050,4100
土支田,6082,6913,6949,13862
土支田１丁目,1609,1776,1806,3582
土支田２丁目,1287,1441,1456,2897
土支田３丁目,1756,2010,2079,4089
土支田４丁目,1430,1686,1608,3294
富士見台,7853,7602,7991,15593
富士見台１丁目,1549,1532,1614,3146
富士見台２丁目,2300,2081,2156,4237
富士見台３丁目,2160,1978,2162,4140
富士見台４丁目,1844,2011,2059,4070
南田中,6426,6091,6491,12582
南田中１丁目,1216,1245,1277,2522
南田中２丁目,850,867,886,1753
南田中３丁目,1431,1258,1433,2691
南田中４丁目,1573,1612,1590,3202
南田中５丁目,1356,1109,1305,2414
高野台,7314,7074,7920,14994
高野台１丁目,1748,1604,1904,3508
高野台２丁目,1470,1497,1605,3102
高野台３丁目,1520,1415,1570,2985
高野台４丁目,1202,1144,1310,2454
高野台５丁目,1374,1414,1531,2945
谷原,5600,6407,6579,12986
谷原１丁目,938,1048,1036,2084
谷原２丁目,822,861,906,1767
谷原３丁目,831,976,1056,2032
谷原４丁目,756,993,953,1946
谷原５丁目,1265,1381,1461,2842
谷原６丁目,988,1148,1167,2315
三原台,4148,4610,4693,9303
三原台１丁目,1931,2093,2097,4190
三原台２丁目,862,1022,1002,2024
三原台３丁目,1355,1495,1594,3089
石神井町,14706,13246,14673,27919
石神井町１丁目,1782,1417,1750,3167
石神井町２丁目,2356,2074,2421,4495
石神井町３丁目,1921,1554,1715,3269
石神井町４丁目,1743,1641,1783,3424
石神井町５丁目,932,880,896,1776
石神井町６丁目,1608,1491,1611,3102
石神井町７丁目,2118,2030,2162,4192
石神井町８丁目,2246,2159,2335,4494
石神井台,14737,14996,15890,30886
石神井台１丁目,730,800,833,1633
石神井台２丁目,2171,2329,2381,4710
石神井台３丁目,2719,2666,2825,5491
石神井台４丁目,2175,2105,2418,4523
石神井台５丁目,1764,1972,2012,3984
石神井台６丁目,1349,1468,1541,3009
石神井台７丁目,2136,1807,1918,3725
石神井台８丁目,1693,1849,1962,3811
下石神井,8861,9044,9319,18363
下石神井１丁目,1326,1362,1406,2768
下石神井２丁目,1585,1663,1737,3400
下石神井３丁目,1109,1186,1243,2429
下石神井４丁目,1957,1730,1814,3544
下石神井５丁目,1286,1307,1344,2651
下石神井６丁目,1598,1796,1775,3571
東大泉,17809,16345,18282,34627
東大泉１丁目,2422,2229,2526,4755
東大泉２丁目,2982,2900,3182,6082
東大泉３丁目,2636,2178,2639,4817
東大泉４丁目,1657,1395,1475,2870
東大泉５丁目,2002,1748,2038,3786
東大泉６丁目,3291,2943,3405,6348
東大泉７丁目,2819,2952,3017,5969
西大泉町,12,12,19,31
西大泉,9831,10855,11249,22104
西大泉１丁目,1916,2036,2018,4054
西大泉２丁目,1288,1444,1547,2991
西大泉３丁目,1681,1795,1870,3665
西大泉４丁目,1481,1771,1845,3616
西大泉５丁目,2206,2373,2517,4890
西大泉６丁目,1259,1436,1452,2888
南大泉,12392,13186,13830,27016
南大泉１丁目,2132,2306,2423,4729
南大泉２丁目,1906,2181,2292,4473
南大泉３丁目,2235,2361,2463,4824
南大泉４丁目,3035,3100,3188,6288
南大泉５丁目,2256,2300,2459,4759
南大泉６丁目,828,938,1005,1943
大泉町,10005,11054,11350,22404
大泉町１丁目,2281,2666,2689,5355
大泉町２丁目,2169,2315,2429,4744
大泉町３丁目,1723,1928,1958,3886
大泉町４丁目,1656,1904,1928,3832
大泉町５丁目,1041,1087,1114,2201
大泉町６丁目,1135,1154,1232,2386
大泉学園町,15469,16773,17645,34418
大泉学園町１丁目,1465,1529,1644,3173
大泉学園町２丁目,1892,1917,2033,3950
大泉学園町３丁目,1321,1623,1575,3198
大泉学園町４丁目,1869,2114,2249,4363
大泉学園町５丁目,2078,2334,2430,4764
大泉学園町６丁目,2273,2496,2657,5153
大泉学園町７丁目,2344,2411,2624,5035
大泉学園町８丁目,2155,2310,2400,4710
大泉学園町９丁目,72,39,33,72
関町北,11553,10528,11562,22090
関町北１丁目,2038,1623,1862,3485
関町北２丁目,2761,2155,2499,4654
関町北３丁目,2192,2040,2144,4184
関町北４丁目,2136,2002,2146,4148
関町北５丁目,2426,2708,2911,5619
関町南,8699,8514,9045,17559
関町南１丁目,1356,1226,1323,2549
関町南２丁目,2145,2070,2213,4283
関町南３丁目,2046,2088,2110,4198
関町南４丁目,3152,3130,3399,6529
上石神井南町,1109,1117,1119,2236
立野町,2398,2524,2728,5252
上石神井,10672,9094,9672,18766
上石神井１丁目,3427,2634,2792,5426
上石神井２丁目,2337,2061,2216,4277
上石神井３丁目,2299,2101,2244,4345
上石神井４丁目,2609,2298,2420,4718
関町東,2975,2564,2619,5183
関町東１丁目,2033,1836,1862,3698
関町東２丁目,942,728,757,1485
