町丁目,世帯数[世帯],人口（男）[人],人口（女）[人],計[人]
総 数,388534,358227,382236,740463
旭丘,4933,3659,3675,7334
旭丘１丁目,3399,2494,2428,4922
旭丘２丁目,1534,1165,1247,2412
小竹町,5815,4565,5007,9572
小竹町１丁目,3131,2505,2662,5167
小竹町２丁目,2684,2060,2345,4405
栄町,2643,1936,2198,4134
羽沢,3923,3299,3476,6775
羽沢１丁目,928,675,706,1381
羽沢２丁目,1979,1663,1795,3458
羽沢３丁目,1016,961,975,1936
豊玉上,4535,3143,3510,6653
豊玉上１丁目,1539,1132,1202,2334
豊玉上２丁目,2996,2011,2308,4319
豊玉中,6318,5410,5455,10865
豊玉中１丁目,1451,1260,1236,2496
豊玉中２丁目,2037,1701,1638,3339
豊玉中３丁目,1970,1513,1573,3086
豊玉中４丁目,860,936,1008,1944
豊玉南,4650,4415,4428,8843
豊玉南１丁目,1254,1111,1168,2279
豊玉南２丁目,1146,1006,1047,2053
豊玉南３丁目,2250,2298,2213,4511
豊玉北,12777,9356,10080,19436
豊玉北１丁目,1681,1193,1405,2598
豊玉北２丁目,1599,1221,1272,2493
豊玉北３丁目,2281,1595,1702,3297
豊玉北４丁目,2697,1971,2043,4014
豊玉北５丁目,2681,1847,2004,3851
豊玉北６丁目,1838,1529,1654,3183
中村,5114,4716,5182,9898
中村１丁目,1227,1165,1247,2412
中村２丁目,1659,1635,1770,3405
中村３丁目,2228,1916,2165,4081
中村南,5844,5424,5636,11060
中村南１丁目,2077,2140,2097,4237
中村南２丁目,2226,1863,1952,3815
中村南３丁目,1541,1421,1587,3008
中村北,7054,5469,6220,11689
中村北１丁目,2190,1738,1920,3658
中村北２丁目,1738,1524,1568,3092
中村北３丁目,1381,950,1129,2079
中村北４丁目,1745,1257,1603,2860
桜台,14620,12295,13127,25422
桜台１丁目,3376,2454,2679,5133
桜台２丁目,2662,2255,2387,4642
桜台３丁目,2537,2206,2444,4650
桜台４丁目,2255,1691,1840,3531
桜台５丁目,2017,1942,1942,3884
桜台６丁目,1773,1747,1835,3582
練馬,9287,7024,7606,14630
練馬１丁目,2859,2086,2166,4252
練馬２丁目,1773,1439,1532,2971
練馬３丁目,2384,1717,1845,3562
練馬４丁目,2271,1782,2063,3845
向山,5903,5420,5586,11006
向山１丁目,1118,864,892,1756
向山２丁目,1345,1281,1268,2549
向山３丁目,1298,1189,1294,2483
向山４丁目,2142,2086,2132,4218
貫井,11936,10055,11000,21055
貫井１丁目,2753,2340,2715,5055
貫井２丁目,2476,2006,2118,4124
貫井３丁目,3047,2357,2741,5098
貫井４丁目,2216,2047,2181,4228
貫井５丁目,1444,1305,1245,2550
錦,3243,3091,3175,6266
錦１丁目,1940,1792,1877,3669
錦２丁目,1303,1299,1298,2597
氷川台,7340,6503,7116,13619
氷川台１丁目,118,103,118,221
氷川台２丁目,1395,1469,1497,2966
氷川台３丁目,2969,2460,2718,5178
氷川台４丁目,2858,2471,2783,5254
平和台,6932,6845,7011,13856
平和台１丁目,1704,1780,1727,3507
平和台２丁目,1626,1484,1578,3062
平和台３丁目,2029,2123,2181,4304
平和台４丁目,1573,1458,1525,2983
早宮,9828,9256,10047,19303
早宮１丁目,3114,2795,3010,5805
早宮２丁目,2199,1968,2188,4156
