"年度","生活相談[件]","生活保護申請[件]"
"2017","1037","243"
"2018","960","240"
"2019","1148","215"
"2020","1206","285"
"2021","995","303"

"令和4年度港区行政資料集　生活相談状況","Ver202203",
