平成２３年１０月（昨年）,平成２３年１０月（昨年）（人）,平成２４年１０月（現在）,平成２４年１０月（現在）（人）
(1)３～４時間未満,27.4,(1)３～５時間未満,22.0
(2)４～６時間未満,15.1,(2)５～７時間未満,28.6
(3)６～８時間未満,52.6,(3)７～９時間未満,41.6
(4)８～９時間未満（１ｈ延長）（再掲）,5.6,(4)９～１０時間未満（１ｈ延長）（再掲）,4.0
(5)９～１０時間未満（２ｈ延長）（再掲）,6.6,(5)１０～１１時間未満（２ｈ延長）（再掲）,2.3
,,(6)１１～１２時間未満（３ｈ延長）（再掲）,8.6
