圏域,件数,戸数,（戸数構成比）（％）
区中央部,3,132,2.0
区南部,14,457,7.0
区西南部,11,348,5.4
区西部,6,135,2.1
区西北部,22,955,14.7
区東北部,38,1652,25.5
区東部,6,197,3.0
西多摩,6,197,3.0
南多摩,20,809,12.5
北多摩西部,16,583,9.0
北多摩南部,12,381,5.9
北多摩北部,15,638,9.8
島しょ,0,0,0.0
計,169,6484,100.0
