区分１,区分２,前回調査,前回調査（％）,今回調査,今回調査（％）
１日当たり平均利用者数（人）,,3.44,,2.97,
１人当たり平均宿泊数（泊）,,9.42,,10.33,
宿泊定員の設定,あり（所）,167,86.1,348,96.4
宿泊定員の設定,なし（所）,27,13.9,10,2.8
宿泊部屋が男女別になっているか,あり（所）,124,63.9,263,72.9
宿泊部屋が男女別になっているか,なし（所）,70,36.1,91,25.2
