"科目","金額[百万円]"
"年度","2021"
"決算日","20220331"
"資産の部 固定資産","3553791"
"資産の部 固定資産 有形固定資産","3403891"
"資産の部 固定資産 有形固定資産 事業用資産","665884"
"資産の部 固定資産 有形固定資産 事業用資産 土地","432303"
"資産の部 固定資産 有形固定資産 事業用資産 立木竹","46"
"資産の部 固定資産 有形固定資産 事業用資産 建物","387542"
"資産の部 固定資産 有形固定資産 事業用資産 建物減価償却累計額","-169682"
"資産の部 固定資産 有形固定資産 事業用資産 工作物","18972"
"資産の部 固定資産 有形固定資産 事業用資産 工作物減価償却累計額","-12514"
"資産の部 固定資産 有形固定資産 事業用資産 船舶","-"
"資産の部 固定資産 有形固定資産 事業用資産 船舶減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等","-"
"資産の部 固定資産 有形固定資産 事業用資産 浮標等減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機","-"
"資産の部 固定資産 有形固定資産 事業用資産 航空機減価償却累計額","-"
"資産の部 固定資産 有形固定資産 事業用資産 その他","0"
"資産の部 固定資産 有形固定資産 事業用資産 その他減価償却累計額","0"
"資産の部 固定資産 有形固定資産 事業用資産 建設仮勘定","9216"
"資産の部 固定資産 有形固定資産 インフラ資産","2736306"
"資産の部 固定資産 有形固定資産 インフラ資産 土地","2631528"
"資産の部 固定資産 有形固定資産 インフラ資産 建物","1560"
"資産の部 固定資産 有形固定資産 インフラ資産 建物減価償却累計額","-807"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物","120054"
"資産の部 固定資産 有形固定資産 インフラ資産 工作物減価償却累計額","-16029"
"資産の部 固定資産 有形固定資産 インフラ資産 その他","-"
"資産の部 固定資産 有形固定資産 インフラ資産 その他減価償却累計額","-"
"資産の部 固定資産 有形固定資産 インフラ資産 建設仮勘定","-"
"資産の部 固定資産 有形固定資産 物品","4234"
"資産の部 固定資産 有形固定資産 物品減価償却累計額","-2533"
"資産の部 固定資産 無形固定資産","3850"
"資産の部 固定資産 無形固定資産 ソフトウェア","3834"
"資産の部 固定資産 無形固定資産 その他","16"
"資産の部 固定資産 投資その他の資産","146049"
"資産の部 固定資産 投資その他の資産 投資及び出資金","397"
"資産の部 固定資産 投資その他の資産 投資及び出資金 有価証券","325"
"資産の部 固定資産 投資その他の資産 投資及び出資金 出資金","63"
"資産の部 固定資産 投資その他の資産 投資及び出資金 その他","8"
"資産の部 固定資産 投資その他の資産 長期延滞債権","2817"
"資産の部 固定資産 投資その他の資産 長期貸付金","625"
"資産の部 固定資産 投資その他の資産 基金","142966"
"資産の部 固定資産 投資その他の資産 基金 減債基金","-"
"資産の部 固定資産 投資その他の資産 基金 その他","142966"
"資産の部 固定資産 投資その他の資産 その他","-"
"資産の部 固定資産 投資その他の資産 徴収不能引当金","-755"
"資産の部 流動資産","82461"
"資産の部 流動資産 現金預金","24846"
"資産の部 流動資産 未収金","2429"
"資産の部 流動資産 短期貸付金","487"
"資産の部 流動資産 基金","52898"
"資産の部 流動資産 基金 財政調整基金","52898"
"資産の部 流動資産 基金 減債基金","-"
"資産の部 流動資産 棚卸資産","2"
"資産の部 流動資産 その他","1812"
"資産の部 流動資産 徴収不能引当金","-13"
"資産の部 繰延資産","-"
"資産の部 資産合計","3636252"
"負債の部 固定負債","18140"
"負債の部 固定負債 地方債等","2662"
"負債の部 固定負債 長期未払金","2169"
"負債の部 固定負債 退職手当引当金","13224"
"負債の部 固定負債 損失補償等引当金","2"
"負債の部 固定負債 その他","84"
"負債の部 流動負債","10210"
"負債の部 流動負債 1年内償還予定地方債等","283"
"負債の部 流動負債 未払金","1096"
"負債の部 流動負債 未払費用","1"
"負債の部 流動負債 前受金","0"
"負債の部 流動負債 前受収益","-"
"負債の部 流動負債 賞与等引当金","1110"
"負債の部 流動負債 預り金","7675"
"負債の部 流動負債 その他","46"
"負債の部 負債合計","28351"
"純資産の部 固定資産等形成分","3607176"
"純資産の部 余剰分（不足分）","663"
"純資産の部 他団体出資等分","63"
"純資産の部 純資産合計","3607902"
"負債及び純資産合計","3636252"

"連結会計財務書類（貸借対照表）(令和4年3月31日現在)","Ver202203"
