地域階層,地域コード,地域,1月中／出生数,2月中／出生数,3月中／出生数,4月中／出生数,5月中／出生数,6月中／出生数,7月中／出生数,8月中／出生数,9月中／出生数,10月中／出生数,11月中／出生数,12月中／出生数,平成24年中の出生数
0,13000,総数,9108,8518,8571,7572,9356,8354,9344,9915,8510,10243,9423,8712,107626
1,13100,区部,6348,5930,5901,5251,6499,5797,6454,6897,5921,7056,6635,6105,74794
1,13200,市部,2718,2539,2630,2283,2802,2505,2836,2958,2536,3128,2742,2568,32245
2,13300,郡部,28,33,32,26,36,37,36,37,35,39,32,29,400
2,13350,島部,14,16,8,12,19,15,18,23,18,20,14,10,187
1,13100,区部,6348,5930,5901,5251,6499,5797,6454,6897,5921,7056,6635,6105,74794
4,13101,千代田区,40,25,35,40,49,38,45,41,29,44,48,35,469
4,13102,中央区,126,116,124,93,145,100,116,138,121,162,130,124,1495
4,13103,港区,214,207,210,180,242,204,204,256,216,247,247,211,2638
4,13104,新宿区,183,176,198,158,183,174,183,228,200,210,207,199,2299
4,13105,文京区,137,126,127,126,157,128,160,167,124,161,145,136,1694
4,13106,台東区,116,90,119,87,109,117,120,122,121,125,133,123,1382
4,13107,墨田区,188,168,151,140,200,146,195,198,159,198,192,159,2094
4,13108,江東区,368,364,351,313,385,340,366,385,347,411,362,348,4340
4,13109,品川区,302,252,249,255,290,253,326,316,241,285,342,269,3380
4,13110,目黒区,192,194,180,162,200,179,187,233,179,212,201,198,2317
4,13111,大田区,463,407,437,410,493,418,481,534,429,530,487,462,5551
4,13112,世田谷区,684,573,597,550,635,568,646,686,611,704,641,598,7493
4,13113,渋谷区,134,146,145,143,158,129,162,142,145,187,192,151,1834
4,13114,中野区,152,162,192,164,201,205,196,194,190,226,196,210,2288
4,13115,杉並区,369,330,331,291,378,322,362,348,317,392,355,346,4141
4,13116,豊島区,161,156,157,144,164,147,140,163,138,195,179,157,1901
4,13117,北区,193,196,178,187,217,198,215,195,194,243,224,180,2420
4,13118,荒川区,159,129,142,105,114,136,136,160,131,141,150,134,1637
4,13119,板橋区,378,343,311,262,375,329,402,397,369,401,404,386,4357
4,13120,練馬区,520,491,458,393,551,483,507,588,461,529,505,462,5948
4,13121,足立区,460,472,427,380,489,423,504,517,427,548,457,423,5527
4,13122,葛飾区,313,293,286,244,283,310,300,342,302,343,319,299,3634
4,13123,江戸川区,496,514,496,424,481,450,501,547,470,562,519,495,5955
1,13200,市部,2718,2539,2630,2283,2802,2505,2836,2958,2536,3128,2742,2568,32245
4,13201,八王子市,334,353,343,293,342,329,326,369,316,388,307,347,4047
4,13202,立川市,126,125,123,87,134,99,137,127,126,126,148,107,1465
4,13203,武蔵野市,85,93,76,73,101,89,95,114,105,116,93,117,1157
4,13204,三鷹市,134,121,125,108,132,116,121,141,108,145,119,111,1481
4,13205,青梅市,79,68,102,72,89,68,80,62,88,82,86,66,942
4,13206,府中市,179,158,196,163,212,169,191,223,161,226,180,175,2233
4,13207,昭島市,82,70,75,76,61,77,84,89,86,98,71,80,949
4,13208,調布市,154,154,170,129,177,154,179,185,159,207,188,172,2028
4,13209,町田市,244,234,249,224,270,246,280,277,242,283,246,249,3044
4,13210,小金井市,87,78,70,74,89,62,99,93,72,94,98,90,1006
4,13211,小平市,137,110,119,122,104,135,133,149,98,182,139,126,1554
4,13212,日野市,133,99,130,105,119,118,139,130,134,151,135,119,1512
4,13213,東村山市,130,49,92,84,93,90,92,106,98,103,112,76,1125
4,13214,国分寺市,50,64,76,49,84,85,87,93,71,98,84,67,908
4,13215,国立市,60,56,32,33,48,48,56,41,33,56,46,39,548
