地域階層,地域コード,地域,1月中／転入者数,2月中／転入者数,3月中／転入者数,4月中／転入者数,5月中／転入者数,6月中／転入者数,7月中／転入者数,8月中／転入者数,9月中／転入者数,10月中／転入者数,11月中／転入者数,12月中／転入者数,平成24年中の転入者数
0,13000,総数,22819,25808,78958,62238,30639,23822,27627,27491,22855,29179,23277,23902,398615
1,13100,区部,17715,20093,58678,43884,23023,18324,21272,21157,17473,22006,17850,18320,299795
1,13200,市部,5044,5632,20048,18028,7514,5414,6283,6244,5314,7096,5343,5530,97490
2,13300,郡部,34,48,115,82,65,43,39,35,37,27,59,30,614
2,13350,島部,26,35,117,244,37,41,33,55,31,50,25,22,716
1,13100,区部,17715,20093,58678,43884,23023,18324,21272,21157,17473,22006,17850,18320,299795
4,13101,千代田区,173,175,583,500,139,128,160,155,132,161,162,179,2647
4,13102,中央区,412,401,1055,877,458,389,473,465,341,466,413,386,6136
4,13103,港区,645,661,1704,1299,753,590,699,685,597,639,564,680,9516
4,13104,新宿区,812,821,2653,1910,1010,811,1049,1024,859,895,761,860,13465
4,13105,文京区,465,498,1768,1378,642,466,543,553,397,609,478,466,8263
4,13106,台東区,401,467,1034,962,556,411,441,453,468,533,436,450,6612
4,13107,墨田区,496,522,1379,1041,787,542,599,651,518,676,470,534,8215
4,13108,江東区,801,920,2959,1905,1119,859,986,1001,854,1111,851,1140,14506
4,13109,品川区,885,904,2491,1957,1081,898,993,925,829,1145,803,801,13712
4,13110,目黒区,668,740,1965,1615,842,610,733,880,579,723,638,669,10662
4,13111,大田区,1381,1644,5236,3459,1935,1566,1862,1716,1493,1870,1495,1435,25092
4,13112,世田谷区,1722,2017,6118,4710,2296,1933,2211,2269,1753,2107,1776,1880,30792
4,13113,渋谷区,480,541,1409,1191,624,527,657,615,473,557,534,538,8146
4,13114,中野区,807,887,2377,1794,985,721,863,809,678,890,710,719,12240
4,13115,杉並区,1084,1195,4060,2887,1373,1169,1325,1266,1123,1361,1040,1059,18942
4,13116,豊島区,654,766,1898,1548,869,664,574,778,687,844,656,654,10592
4,13117,北区,670,850,2099,1845,962,662,791,802,660,796,698,702,11537
4,13118,荒川区,338,337,969,695,379,394,418,401,346,540,324,401,5542
4,13119,板橋区,949,1159,3572,2588,1091,964,1121,1155,892,1218,1024,914,16647
4,13120,練馬区,1228,1475,4620,3101,1643,1229,1595,1572,1195,1579,1230,1283,21750
4,13121,足立区,885,1066,3044,2367,1314,990,1047,1003,888,1160,1023,909,15696
4,13122,葛飾区,648,738,1863,1466,768,730,710,708,617,770,643,602,10263
4,13123,江戸川区,1111,1309,3822,2789,1397,1071,1422,1271,1094,1356,1121,1059,18822
1,13200,市部,5044,5632,20048,18028,7514,5414,6283,6244,5314,7096,5343,5530,97490
4,13201,八王子市,623,664,2508,3141,868,682,807,726,663,820,622,634,12758
4,13202,立川市,181,200,771,880,272,163,275,294,212,259,196,213,3916
4,13203,武蔵野市,247,278,977,675,384,243,320,262,247,351,208,210,4402
