地域階層,地域コード,地域,1月中／外国人の増減,2月中／外国人の増減,3月中／外国人の増減,4月中／外国人の増減,5月中／外国人の増減,6月中／外国人の増減,7月中／外国人の増減,8月中／外国人の増減,9月中／外国人の増減,10月中／外国人の増減,11月中／外国人の増減,12月中／外国人の増減,平成24年中の増減
0,13000,総数,-1424,-2633,2396,4177,-2087,-455,-18888,-117,2866,5161,173,-4591,-15422
1,13100,区部,-1194,-2096,2002,3410,-1795,-281,-15262,196,2191,4540,153,-4046,-12182
1,13200,市部,-219,-539,398,768,-287,-161,-3564,-314,670,617,18,-542,-3155
2,13300,郡部,-11,0,-1,1,-4,-12,-50,2,3,4,0,0,-68
2,13350,島部,0,2,-3,-2,-1,-1,-12,-1,2,0,2,-3,-17
1,13100,区部,-1194,-2096,2002,3410,-1795,-281,-15262,196,2191,4540,153,-4046,-12182
4,13101,千代田区,-56,21,58,19,2,-15,-85,28,10,11,-3,-77,-87
4,13102,中央区,2,-44,59,88,-19,8,-192,15,4,65,37,-53,-30
4,13103,港区,-277,-126,235,17,30,-67,-1294,101,128,129,65,-708,-1767
4,13104,新宿区,35,-453,358,791,-402,-62,-1425,-232,541,910,146,-201,6
4,13105,文京区,5,-27,86,118,-79,20,-352,-57,113,28,-206,-66,-417
4,13106,台東区,62,-122,85,238,-36,-22,-599,50,23,254,90,-182,-159
4,13107,墨田区,40,-59,47,68,17,23,-594,15,15,105,35,-57,-345
4,13108,江東区,-25,-69,80,123,-89,-98,-692,16,77,208,101,100,-268
4,13109,品川区,-71,-82,-13,70,-38,-13,-406,-34,42,19,-9,-173,-708
4,13110,目黒区,-64,-79,12,-15,-82,-20,-219,77,31,186,-48,-199,-420
4,13111,大田区,-25,9,266,110,-4,46,-540,107,40,215,38,-227,35
4,13112,世田谷区,-139,-100,-33,108,-45,-34,-556,-4,104,128,-62,-226,-859
4,13113,渋谷区,-131,-100,81,57,-23,58,-326,70,79,82,-12,-224,-389
4,13114,中野区,20,-103,164,46,-113,-58,-776,47,97,54,-19,-167,-808
