地域階層,地域コード,地域,1月中／その他の増減,2月中／その他の増減,3月中／その他の増減,4月中／その他の増減,5月中／その他の増減,6月中／その他の増減,7月中／その他の増減,8月中／その他の増減,9月中／その他の増減,10月中／その他の増減,11月中／その他の増減,12月中／その他の増減,平成24年中の増減
4,13218,福生市,-2,8,31,4,10,12,-157,-4,25,29,-12,-3,-59
4,13219,狛江市,-1,4,37,17,-8,6,-52,-14,4,5,-4,2,-4
4,13220,東大和市,8,6,12,-8,3,-3,-28,-8,-3,29,-3,-39,-34
4,13221,清瀬市,14,-4,-5,-2,15,1,-29,7,-2,6,-7,-28,-34
4,13222,東久留米市,4,5,29,1,-8,-6,-84,-17,9,24,-5,-14,-62
4,13223,武蔵村山市,-6,-4,-15,-1,0,12,-125,-4,-10,32,8,-1,-114
4,13224,多摩市,-8,-24,-21,2,-4,5,-109,-32,9,-17,-3,-46,-248
4,13225,稲城市,5,-9,-1,6,-4,0,-28,16,2,-11,2,-11,-33
4,13227,羽村市,-10,-39,-1,9,-4,28,-88,-4,-22,0,2,-25,-154
4,13228,あきる野市,13,7,5,1,10,3,-25,-7,1,11,6,11,36
4,13229,西東京市,-39,11,23,61,-31,30,-209,-76,58,15,-7,-47,-211
1,13550,町村部,-10,5,-7,10,-3,-14,-45,-6,10,7,0,-2,-55
2,13300,郡部,-9,3,1,12,1,-8,-37,-4,8,7,-1,7,-20
4,13303,瑞穂町,-9,1,0,7,-2,-10,-44,-6,9,6,-1,3,-46
4,13305,日の出町,0,2,1,2,2,2,2,3,2,-1,0,4,19
4,13307,檜原村,0,0,0,0,0,0,2,0,-3,1,0,0,0
4,13308,奥多摩町,0,0,0,3,1,0,3,-1,0,1,0,0,7
2,13350,島部,-1,2,-8,-2,-4,-6,-8,-2,2,0,1,-9,-35
3,13360,大島支庁,1,0,-2,1,-4,-4,-2,-1,2,3,-1,-9,-16
4,13361,大島町,1,-1,-2,1,-4,-5,-2,-2,2,3,0,-9,-18
4,13362,利島村,0,0,0,0,0,0,0,0,0,0,-1,0,-1
4,13363,新島村,0,1,0,0,0,0,0,0,0,0,0,0,1
4,13364,神津島村,0,0,0,0,0,1,0,1,0,0,0,0,2
3,13380,三宅支庁,-2,0,0,0,0,-2,-5,3,0,1,0,1,-4
4,13381,三宅村,-2,0,0,0,0,-2,-5,3,0,1,0,1,-4
4,13382,御蔵島村,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13400,八丈支庁,2,2,-6,-1,0,0,-2,-4,0,-4,2,1,-10
4,13401,八丈町,2,2,-4,-1,-1,0,-2,-4,0,-4,2,1,-9
4,13402,青ヶ島村,0,0,-2,0,1,0,0,0,0,0,0,0,-1
3,13420,小笠原支庁,-2,0,0,-2,0,0,1,0,0,0,0,-2,-5
4,13421,小笠原村,-2,0,0,-2,0,0,1,0,0,0,0,-2,-5
,,,,,,,,,,,,,,,
人口の動き（平成24年中）,,,,,,,,,,,,,,,
第15表　区市町村、月別その他の増減,,,,,,,,,,,,,,,
地域階層（0:総数　1:区部・市部・町村部　2:郡部・島部　3:支庁　4:区市町村）,,,,,,,,,,,,,,,
