地域階層,地域コード,地域,平成25年1月1日現在人口,平成24年中の動き／人口増減,平成24年中の動き／社会増減／増減,平成24年中の動き／社会増減／転入,平成24年中の動き／社会増減／転出,平成24年中の動き／都内間の移動増減,平成24年中の動き／自然増減／増減,平成24年中の動き／自然増減／出生数,平成24年中の動き／自然増減／死亡数,平成24年中の動き／その他の増減,平成24年中の動き／その他の増減／うち外国人増減,面積(km2),人口密度(1km2当たり）,平成24年1月1日現在人口 
0,13000,総数,13222760,38599,53686,398615,344929,-431,-2025,107626,109651,-12631,-15422,2188.67,6041,13184161
1,13100,区部,9002488,36899,44424,299795,255371,2561,-340,74794,75134,-9746,-12182,622.99,14450,8965589
1,13200,市部,4134723,2306,9317,97490,88173,-3222,-959,32245,33204,-2830,-3155,783.94,5274,4132417
2,13300,郡部,58214,-285,-56,614,670,244,-453,400,853,-20,-68,375.96,155,58499
2,13350,島部,27335,-321,1,716,715,-14,-273,187,460,-35,-17,405.78,67,27656
1,13100,区部,9002488,36899,44424,299795,255371,2561,-340,74794,75134,-9746,-12182,622.99,14450,8965589
4,13101,千代田区,48839,1109,833,2647,1814,191,97,469,372,-12,-87,11.64,4196,47730
4,13102,中央区,130073,3354,1817,6136,4319,861,735,1495,760,-59,-30,10.18,12777,126719
4,13103,港区,209641,2521,2616,9516,6900,720,1146,2638,1492,-1961,-1767,20.34,10307,207120
4,13104,新宿区,327988,3086,3010,13465,10455,-27,-177,2299,2476,280,6,18.23,17992,324902
4,13105,文京区,209716,944,1875,8263,6388,-531,115,1694,1579,-515,-417,11.31,18543,208772
4,13106,台東区,180514,2707,1722,6612,4890,1375,-685,1382,2067,295,-159,10.08,17908,177807
4,13107,墨田区,249499,1769,2117,8215,6098,193,-327,2094,2421,-214,-345,13.75,18145,247730
4,13108,江東区,469691,3748,2820,14506,11686,602,574,4340,3766,-248,-268,39.99,11745,465943
4,13109,品川区,369378,1808,2392,13712,11320,-194,482,3380,2898,-872,-708,22.72,16258,367570
4,13110,目黒区,271106,2404,1755,10662,8907,724,361,2317,1956,-436,-420,14.7,18443,268702
4,13111,大田区,696300,2210,1617,25092,23475,-485,-618,5551,6169,1696,35,60.42,11524,694090
4,13112,世田谷区,885785,4541,3923,30792,26869,480,1209,7493,6284,-1071,-859,58.08,15251,881244
4,13113,渋谷区,209619,2777,1858,8146,6288,1202,269,1834,1565,-552,-389,15.11,13873,206842
4,13114,中野区,313879,1058,2423,12240,9817,-16,-372,2288,2660,-977,-808,15.59,20133,312821
4,13115,杉並区,550434,1573,3671,18942,15271,-1283,-206,4141,4347,-609,-284,34.02,16180,548861
4,13116,豊島区,287907,1336,2378,10592,8214,253,-840,1901,2741,-455,-259,13.01,22130,286571
4,13117,北区,333850,454,1728,11537,9809,870,-1065,2420,3485,-1079,-1203,20.59,16214,333396
4,13118,荒川区,205085,626,1178,5542,4364,319,-369,1637,2006,-502,-354,10.2,20106,204459
4,13119,板橋区,536766,1688,1686,16647,14961,813,-541,4357,4898,-270,-1103,32.17,16685,535078
4,13120,練馬区,717405,1359,2142,21750,19608,-692,451,5948,5497,-542,-277,48.16,14896,716046
4,13121,足立区,685152,413,932,15696,14764,1017,-731,5527,6258,-805,-777,53.2,12879,684739
4,13122,葛飾区,440052,-1501,61,10263,10202,-891,-640,3634,4274,-31,-444,34.84,12631,441553
4,13123,江戸川区,673809,-3085,-130,18822,18952,-2940,792,5955,5163,-807,-1265,49.86,13514,676894
1,13200,市部,4134723,2306,9317,97490,88173,-3222,-959,32245,33204,-2830,-3155,783.94,5274,4132417
