"年度","小学校[件]","中学校[件]","合計[件]"
"2017","8529","4872","13401"
"2018","9110","6038","15148"
"2019","9435","5170","14605"
"2020","6859","4741","11600"
"2021","11010","4522","15532"

"令和4年度港区行政資料集　施設利用状況一覧 小・中学校一般開放利用件数","Ver202203",,
