#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	shugyoshanojujisurushokugyobetsu_jinko2015
#download_from	http://linkdata.org/work/rdf1s7912i
#property	新宿区(単位:人)	新宿区就業者構成割合(単位:％)	全国(単位:人)	全国就業者構成割合(単位:％)	対全国比
#object_type_xsd	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion
総数	518170	100	58890810	100	
　Ａ 管理的職業従事者	14590	3	1447190	2.6	1.17
　　01 管理的公務員	210	0	57480	0.1	0.42
　　02 法人・団体役員	12540	2.6	1151720	2.1	1.27
　　03 その他の管理的職業従事者	1840	0.4	237990	0.4	0.9
　Ｂ 専門的・技術的職業従事者	110170	22.9	9337200	16.7	1.37
　　05 研究者	1370	0.3	114940	0.2	1.39
　　06 技術者	48750	10.1	2379060	4.3	2.38
　　12 保健医療従事者	14600	3	2805360	5	0.61
　　16 社会福祉専門職業従事者	2510	0.5	1013210	1.8	0.29
　　17 法務従事者	1670	0.3	79460	0.1	2.44
　　18 経営・金融・保険専門職業従事者	3490	0.7	160670	0.3	2.53
　　19 教員	8230	1.7	1399290	2.5	0.68
　　20 宗教家	420	0.1	115840	0.2	0.42
　　21 著述家，記者，編集者	5060	1.1	104030	0.2	5.66
　　22 美術家，デザイナー，写真家，映像撮影者	8930	1.9	295610	0.5	3.51
　　23 音楽家，舞台芸術家	3130	0.7	77140	0.1	4.72
　　24 その他の専門的職業従事者	12010	2.5	792580	1.4	1.76
　Ｃ 事務従事者	168540	35.1	11446270	20.5	1.71
　　25 一般事務従事者	128550	26.8	8059800	14.4	1.86
　　26 会計事務従事者	17390	3.6	1486140	2.7	1.36
　　27 生産関連事務従事者	2810	0.6	525370	0.9	0.62
　　28 営業・販売事務従事者	11640	2.4	695070	1.2	1.95
　　29 外勤事務従事者	580	0.1	102070	0.2	0.66
　　30 運輸・郵便事務従事者	2700	0.6	354230	0.6	0.89
　　31 事務用機器操作員	4850	1	223590	0.4	2.52
　Ｄ 販売従事者	86780	18.1	7315740	13.1	1.38
　　32 商品販売従事者	32690	6.8	3953310	7.1	0.96
　　33 販売類似職業従事者	4870	1	376470	0.7	1.5
　　34 営業職業従事者	49220	10.2	2985960	5.3	1.92
　Ｅ サービス職業従事者	41580	8.7	6886390	12.3	0.7
　　35 家庭生活支援サービス職業従事者	290	0.1	23450	0	1.44
　　36 介護サービス職業従事者	2000	0.4	1552410	2.8	0.15
　　37 保健医療サービス職業従事者	1100	0.2	324610	0.6	0.39
　　38 生活衛生サービス職業従事者	3240	0.7	790320	1.4	0.48
　　39 飲食物調理従事者	11930	2.5	1846130	3.3	0.75
　　40 接客・給仕職業従事者	15330	3.2	1562500	2.8	1.14
　　41 居住施設・ビル等管理人	4070	0.8	256380	0.5	1.85
　　42 その他のサービス職業従事者	3620	0.8	530580	0.9	0.79
　Ｆ 保安職業従事者	12620	2.6	1095480	2	1.34
　　43 保安職業従事者	12620	2.6	1095480	2	1.34
　Ｇ 農林漁業従事者	190	0	2172370	3.9	0.01
　　46 農業従事者	180	0	1984930	3.6	0.01
　　47 林業従事者	0	0	45440	0.1	0
　　48 漁業従事者	10	0	142000	0.3	0.01
　Ｈ 生産工程従事者	16460	3.4	7679870	13.7	0.25
　　49 製品製造・加工処理従事者（金属製品）	250	0.1	1149350	2.1	0.03
　　50 製品製造・加工処理従事者（金属製品を除く）	7750	1.6	3086520	5.5	0.29
　　51 機械組立従事者	630	0.1	1270410	2.3	0.06
　　55 機械整備・修理従事者	2910	0.6	952480	1.7	0.36
　　56 製品検査従事者	290	0.1	354990	0.6	0.1
　　58 機械検査従事者	70	0	279160	0.5	0.03
　　59 生産関連・生産類似作業従事者	4560	0.9	586950	1.1	0.9
　Ｉ 輸送・機械運転従事者	5060	1.1	2047270	3.7	0.29
　　60 鉄道運転従事者	90	0	36810	0.1	0.28
　　61 自動車運転従事者	2640	0.5	1503760	2.7	0.2
　　62 船舶・航空機運転従事者	30	0	27110	0	0.13
　　63 その他の輸送従事者	180	0	128570	0.2	0.16
　　64 定置・建設機械運転従事者	2120	0.4	351020	0.6	0.7
　Ｊ 建設・採掘従事者	9930	2.1	2562090	4.6	0.45
　　65 建設・土木作業従事者	6990	1.5	2051220	3.7	0.4
　　67 電気工事従事者	2940	0.6	507330	0.9	0.67
　　69 採掘従事者	0	0	3540	0	0
　Ｋ 運搬・清掃・包装等従事者	14610	3	3906990	7	0.43
　　70 運搬従事者	3090	0.6	1575120	2.8	0.23
　　71 清掃従事者	7930	1.7	1066950	1.9	0.86
　　72 包装従事者	170	0	258720	0.5	0.08
　　73 その他の運搬・清掃・包装等従事者	3410	0.7	1006200	1.8	0.39
　Ｌ 分類不能の職業	37630		2993940		
　　99 分類不能の職業	37630		2993940		
（注）構成割合は分母の総数から「分類不能の産業」を除いて算出					
