全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本等,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
132063,,東京都府中市,2022,04,2765,7909,3055,57,31,136,183,1543,1119,
132063,,東京都府中市,2022,05,2664,6728,3036,95,17,129,186,709,630,
132063,,東京都府中市,2022,06,2866,7670,3331,74,28,144,190,666,667,
132063,,東京都府中市,2022,07,2479,6810,2824,94,25,130,192,623,677,
132063,,東京都府中市,2022,08,2824,6757,3118,76,33,143,226,699,920,
132063,,東京都府中市,2022,09,2756,6435,3152,82,28,143,219,1029,662,
132063,,東京都府中市,2022,10,2722,6007,3027,79,27,128,215,635,988,
132063,,東京都府中市,2022,11,2885,6280,2950,102,13,150,231,573,563,
132063,,東京都府中市,2022,12,2573,6481,2669,82,27,127,222,580,604,
132063,,東京都府中市,2023,01,3185,6247,2765,65,26,124,289,539,508,
132063,,東京都府中市,2023,02,3097,6064,3040,71,33,117,221,725,859,
132063,,東京都府中市,2023,03,3628,9258,3318,109,44,121,218,1713,1827,
