"年月日［西暦］","地区","町丁目","世帯数","人口男［人］","人口女［人］","人口合計［人］"
20060101,"芝地区総合支所管内","芝一丁目",496,458,418,876
20060101,"芝地区総合支所管内","芝二丁目",1337,1107,1176,2283
20060101,"芝地区総合支所管内","芝三丁目",1569,1237,1355,2592
20060101,"芝地区総合支所管内","芝四丁目",415,333,304,637
20060101,"芝地区総合支所管内","芝五丁目",1932,1402,1701,3103
20060101,"芝地区総合支所管内","海岸一丁目",1047,869,846,1715
20060101,"芝地区総合支所管内","東新橋一丁目",712,631,728,1359
20060101,"芝地区総合支所管内","東新橋二丁目",89,76,65,141
20060101,"芝地区総合支所管内","新橋一丁目",32,26,24,50
20060101,"芝地区総合支所管内","新橋二丁目",124,101,97,198
20060101,"芝地区総合支所管内","新橋三丁目",177,159,155,314
20060101,"芝地区総合支所管内","新橋四丁目",245,222,246,468
20060101,"芝地区総合支所管内","新橋五丁目",282,247,235,482
20060101,"芝地区総合支所管内","新橋六丁目",384,347,248,595
20060101,"芝地区総合支所管内","西新橋一丁目",167,146,154,300
20060101,"芝地区総合支所管内","西新橋二丁目",217,187,197,384
20060101,"芝地区総合支所管内","西新橋三丁目",286,126,267,393
20060101,"芝地区総合支所管内","三田一丁目",1367,1140,1299,2439
20060101,"芝地区総合支所管内","三田二丁目",1784,1555,1858,3413
20060101,"芝地区総合支所管内","三田三丁目",759,568,665,1233
20060101,"芝地区総合支所管内","浜松町一丁目",440,364,316,680
20060101,"芝地区総合支所管内","浜松町二丁目",149,145,133,278
20060101,"芝地区総合支所管内","芝大門一丁目",302,265,297,562
20060101,"芝地区総合支所管内","芝大門二丁目",438,361,406,767
20060101,"芝地区総合支所管内","芝公園一丁目",77,66,68,134
20060101,"芝地区総合支所管内","芝公園二丁目",317,227,241,468
20060101,"芝地区総合支所管内","芝公園三丁目",163,123,137,260
20060101,"芝地区総合支所管内","芝公園四丁目",57,40,34,74
20060101,"芝地区総合支所管内","虎ノ門一丁目",134,108,153,261
20060101,"芝地区総合支所管内","虎ノ門二丁目",94,78,68,146
