"所在地","施設名称","取得価額","減価償却累計額","当期減価償却額","期末簿価","有形固定資産減価償却率","経度","緯度","分類"
"上高田5-6","中野上高田公園・運動施設","527496272","241204259","21026533","286292013","45.7","139.678413041174","35.7176116554336","固定資産台帳_事業用資産_建物等_集計"
"新井3-37","平和の森公園・多目的運動広場","4178169","4178168","0","1","100","139.661983151502","35.7144944735197","固定資産台帳_事業用資産_建物等_集計"
"松が丘1-34","哲学堂公園・運動施設","66655315","65522512","4357094","1132803","98.3","139.67462719252","35.7219519210576","固定資産台帳_事業用資産_建物等_集計"
"弥生町6-1-7","広町みらい公園・体験学習センター","294885601","30860151","10286717","264025450","10.5","139.661440688714","35.6846991554919","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮3-9","かみさぎ児童遊園","17422970","0","0","17422970","0","139.631639418645","35.7345328927481","固定資産台帳_事業用資産_建物等_集計"
"新井1-9-1","旧商工会館","419437218","391978214","4544577","27459004","93.5","139.666250056606","35.7101680008378","固定資産台帳_事業用資産_建物等_集計"
"新井2-48-10","野方児童館","189683006","143177464","5041776","46505542","75.5","139.660450876829","35.7108420972246","固定資産台帳_事業用資産_建物等_集計"
"新井3-11-4","新井区民活動センター","599171212","402632378","17074531","196538834","67.2","139.663561935998","35.714251744636","固定資産台帳_事業用資産_建物等_集計"
"新井3-29-1","平和の森小学校","1605271669","919612312","25196962","685659357","57.3","139.65978563979","35.7148932760754","固定資産台帳_事業用資産_建物等_集計"
"新井5-4-17","新井薬師児童館","42833121","21159554","1627658","21673567","49.4","139.667807297202","35.7152370469367","固定資産台帳_事業用資産_建物等_集計"
"江古田1-9-24","みずの塔ふれあいの家","412170310","303866445","12594785","108303865","73.7","139.67349102764","35.7255013780077","固定資産台帳_事業用資産_建物等_集計"
"江古田1-34","江古田一丁目アパート","274361000","155803827","6003602","118557173","56.8","139.672343134944","35.7252012541738","固定資産台帳_事業用資産_建物等_集計"
"江古田2-1-11","江古田図書館","334992546","251889160","9640706","83103386","75.2","139.669058002771","35.7249025859099","固定資産台帳_事業用資産_建物等_集計"
"江古田2-9-11","第七中学校","1031576071","730903121","15342090","300672950","70.9","139.668060231201","35.7247158520865","固定資産台帳_事業用資産_建物等_集計"
"江古田2-21","江古田二丁目アパート","261826333","253503356","5722046","8322977","96.8","139.66427202819","35.7260703208945","固定資産台帳_事業用資産_建物等_集計"
"江古田4-3-4","歴史民俗資料館","2051781487","1634999536","30215851","416781951","79.7","139.665036753402","35.7243232298674","固定資産台帳_事業用資産_建物等_集計"
"江古田4-14-11","江古田シルバーワークプラザ","186414018","109400265","4291645","77013753","58.7","139.663947806829","35.7257078873517","固定資産台帳_事業用資産_建物等_集計"
"江古田4-31-10","北部すこやか福祉センター","312031180","301780014","856432","10251166","96.7","139.661481744202","35.7246492439286","固定資産台帳_事業用資産_建物等_集計"
"江古田4-10","江古田四丁目アパート","161663000","104954250","3446388","56708750","64.9","139.664238818457","35.7250435460511","固定資産台帳_事業用資産_建物等_集計"
"江古田4-43-25","療育センターアポロ園","317273843","136601676","11383473","180672167","43.1","139.659472384704","35.7253184293397","固定資産台帳_事業用資産_建物等_集計"
"江原町1-10-16","江原保育園","403188154","354719929","4135293","48468225","88","139.675341457205","35.7291466705694","固定資産台帳_事業用資産_建物等_集計"
"江原町2-3-15","江古田区民活動センター","576671176","420138983","15078517","156532193","72.9","139.669746450145","35.7288001639687","固定資産台帳_事業用資産_建物等_集計"
"江原町2-7","江原町アパート","1076926656","1076794097","38850","132559","100","139.668414115284","35.7300184630248","固定資産台帳_事業用資産_建物等_集計"
"江原町2-9","江原町二丁目アパート","869803000","869802995","5039058","5","100","139.670084291801","35.7292785252861","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮1-21-30","かみさぎこぶし園","715784340","437523990","18981049","278260350","61.1","139.636058495268","35.7298961545933","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮2-4-6","上鷺宮区民活動センター分室（上鷺宮二丁目集会室）","22680000","11107260","1519560","11572740","49","139.63513308032","35.7270532756802","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮3-7-6","上鷺宮区民活動センター","431233994","379623716","6336666","51610278","88","139.632492748565","35.731712625837","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮3-9-19","かみさぎ児童館","187639062","150380357","5079946","37258705","80.1","139.63149597971","35.7346422601636","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮3-14","上鷺宮三丁目アパート","168682000","144082638","3785794","24599362","85.4","139.633083080558","35.7350301443684","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮3-17-4","かみさぎ特別養護老人ホーム","2518867377","2300067113","63234582","218800264","91.3","139.631453723047","35.7351799543005","固定資産台帳_事業用資産_建物等_集計"
"上鷺宮4-8-12","かみさぎ幼稚園","129270005","119639940","1364921","9630065","92.6","139.62818499685","35.7322526886629","固定資産台帳_事業用資産_建物等_集計"
"上高田1-17-5","旧U18プラザ上高田","21034800","841390","420695","20193410","4","139.677590106504","35.7105112050025","固定資産台帳_事業用資産_建物等_集計"
"上高田1-45-8","旧あさひ保育園","108033227","93584177","759131","14449050","86.6","139.675120730544","35.7118445176807","固定資産台帳_事業用資産_建物等_集計"
"上高田2-8-11","上高田高齢者会館","136256600","103310143","4081424","32946457","75.8","139.672458802044","35.7107741179762","固定資産台帳_事業用資産_建物等_集計"
"上高田2-11-1","上高田区民活動センター","1011615004","614885079","25034280","396729925","60.8","139.672564451814","35.7115506405589","固定資産台帳_事業用資産_建物等_集計"
"上高田4-17-3","上高田東高齢者会館","220694000","99565392","4311368","121128608","45.1","139.677870633415","35.7128945897698","固定資産台帳_事業用資産_建物等_集計"
"上高田5-35-3","令和小学校跡施設","1413078852","906911332","15870476","506167520","64.2","139.674473178487","35.7171087453012","固定資産台帳_事業用資産_建物等_集計"
"鷺宮3-18-15","旧鷺宮すこやか福祉センター","92193342","89179126","1163557","3014216","96.7","139.639220792376","35.7232095028691","固定資産台帳_事業用資産_建物等_集計"
"鷺宮3-40-13","鷺宮児童館","158211155","140103981","1365628","18107174","88.6","139.642148415706","35.7245616387762","固定資産台帳_事業用資産_建物等_集計"
"鷺宮6-14","鷺宮六丁目アパート","230266000","202634080","5065852","27631920","88","139.630165431268","35.7250688740603","固定資産台帳_事業用資産_建物等_集計"
"鷺宮6-25-8","鷺六高齢者会館","88627840","61399384","3216960","27228456","69.3","139.630146263929","35.7256524782606","固定資産台帳_事業用資産_建物等_集計"
"白鷺2-8-5","白鷺高齢者会館","154141003","106035180","4678100","48105823","68.8","139.635874564324","35.7186309066159","固定資産台帳_事業用資産_建物等_集計"
"白鷺3-1-13","鷺宮スポーツ・コミュニティプラザ","2604455717","1637807701","68791395","966648016","62.9","139.636442645793","35.7224692109235","固定資産台帳_事業用資産_建物等_集計"
"白鷺3-15-21","旧西中野保育園","168722000","168721999","0","1","100","139.630238338432","35.7224732295702","固定資産台帳_事業用資産_建物等_集計"
"白鷺3-3-24","白鷺保育園","134993000","72835090","4033418","62157910","54","139.63315498867","35.7212884378273","固定資産台帳_事業用資産_建物等_集計"
"白鷺3-15-5","西中野児童館","134498530","129316006","1097813","5182524","96.1","139.630357972909","35.7221537372909","固定資産台帳_事業用資産_建物等_集計"
"中央4-57-1","桃園区民活動センター","663603154","414711227","16150975","248891927","62.5","139.667329508614","35.7022896069225","固定資産台帳_事業用資産_建物等_集計"
"中野1-57-12","中野中学校跡施設","1240983521","1223909888","1633491","17073633","98.6","139.672228485432","35.7032748696618","固定資産台帳_事業用資産_建物等_集計"
"中野1-20-4","城山ふれあいの家","508604315","279762391","11290632","228841924","55","139.676953447392","35.7040160738588","固定資産台帳_事業用資産_建物等_集計"
"中野1-6-12","谷戸福祉作業施設","238179990","216154593","2386565","22025397","90.8","139.677883266159","35.7020723956507","固定資産台帳_事業用資産_建物等_集計"
"中野2-9-7","もみじ山文化センター（西館）","2265874085","2030010549","18546564","235863536","89.6","139.671135596872","35.7046273589013","固定資産台帳_事業用資産_建物等_集計"
"中野2-13-14","産業振興センター","1288634521","1023543893","40371206","265090628","79.4","139.668107011166","35.7043948227759","固定資産台帳_事業用資産_建物等_集計"
"中野2-17-4","中野区保健所","779830285","738221213","12650609","41609072","94.7","139.669366666982","35.7028425525324","固定資産台帳_事業用資産_建物等_集計"
"中野2-17-6","旧中部保健福祉センター","55360000","52592000","2103680","2768000","95","139.669577625349","35.702896955492","固定資産台帳_事業用資産_建物等_集計"
"中野4-8-1","区役所庁舎","8341813936","7824027156","69857294","517786780","93.8","139.663737226103","35.7068716920706","固定資産台帳_事業用資産_建物等_集計"
"新井3-37-78","中野区立総合体育館","9695472800","622587154","311293577","9072885646","6.4","139.662941481091","35.7157521445502","固定資産台帳_事業用資産_建物等_集計"
"中野4-12-3","中野中学校","4077109260","1344761158","151777149","2732348102","33","139.661247187591","35.7095397108047","固定資産台帳_事業用資産_建物等_集計"
"中野5-4-7","旧温暖化対策推進オフィス","1694909592","835553389","33979360","859356203","49.3","139.672137708077","35.7091404369897","固定資産台帳_事業用資産_建物等_集計"
"中野6-2-11","昭和保育園","123116616","90696414","2205067","32420202","73.7","139.678304374678","35.7077628215796","固定資産台帳_事業用資産_建物等_集計"
"中野6-10-6","文園児童館","117225000","115377534","2637270","1847466","98.4","139.676745318869","35.7064773785022","固定資産台帳_事業用資産_建物等_集計"
"中野6-16-20","昭和区民活動センター","93879000","93878999","0","1","100","139.674988727722","35.707320861026","固定資産台帳_事業用資産_建物等_集計"
"沼袋3-23-18","沼袋三丁目アパート","328876375","241198291","7039846","87678084","73.3","139.659256188416","35.7189917070292","固定資産台帳_事業用資産_建物等_集計"
"野方1-10","野方一丁目アパート","440908000","440907996","0","4","100","139.659380052037","35.7123283765095","固定資産台帳_事業用資産_建物等_集計"
"野方1-35-3","教育センター分室","650502885","584962691","3042831","65540194","89.9","139.656509359025","35.7095383380129","固定資産台帳_事業用資産_建物等_集計"
"野方2-29-12","野方高齢者会館","117497096","87366931","4232844","30130165","74.4","139.656558275944","35.7146754503126","固定資産台帳_事業用資産_建物等_集計"
"野方3-19-5","野方図書館","471144158","404389081","9312065","66755077","85.8","139.654326218313","35.7174170015695","固定資産台帳_事業用資産_建物等_集計"
"野方4-41-7","東山高齢者会館","151503434","115543813","3461556","35959621","76.3","139.656453426755","35.72162883715","固定資産台帳_事業用資産_建物等_集計"
"野方5-33-7","旧北部教育相談室","158137517","150363831","3464625","7773686","95.1","139.650922659186","35.7200337492889","固定資産台帳_事業用資産_建物等_集計"
"野方6-35-13","北原児童館","290927600","174350262","7422609","116577338","59.9","139.650668423285","35.721253744141","固定資産台帳_事業用資産_建物等_集計"
"野方6-35","野方六丁目アパート","475741000","475740997","0","3","100","139.650160439516","35.7212915965442","固定資産台帳_事業用資産_建物等_集計"
"東中野1-5-1","東中野地域包括支援センター","98854000","91341096","2174788","7512904","92.4","139.685194078691","35.7016099985955","固定資産台帳_事業用資産_建物等_集計"
"東中野3-19-18","昭和高齢者会館","108516000","84872424","3461142","23643576","78.2","139.680779926314","35.7083222009287","固定資産台帳_事業用資産_建物等_集計"
"東中野4-9-22-201","東中野いこいの家","17748852","7431530","1189173","10317322","41.9","139.685771207837","35.7074763909635","固定資産台帳_事業用資産_建物等_集計"
"東中野5-8-21","ひがしなかの幼稚園","165386761","124628052","2312043","40758709","75.4","139.687496116417","35.7081992867171","固定資産台帳_事業用資産_建物等_集計"
"東中野5-12-1","中野東中学校跡施設","1086372103","787561310","12070278","298810793","72.5","139.688668972455","35.7083404615207","固定資産台帳_事業用資産_建物等_集計"
"東中野5-27-5","東中野区民活動センター","517220740","82579851","16521167","434640889","16","139.690363131841","35.7102226558072","固定資産台帳_事業用資産_建物等_集計"
"本町1-7-6","本一高齢者会館","84483000","32061246","3210354","52421754","37.9","139.682692565423","35.6937637675912","固定資産台帳_事業用資産_建物等_集計"
"本町2-13-2","旧本町図書館","113678000","107653309","1135047","6024691","94.7","139.677792439793","35.6944684697697","固定資産台帳_事業用資産_建物等_集計"
"本町2-32-14","朝日が丘児童館","191572500","132066899","3513840","59505601","68.9","139.680900490197","35.6951470721121","固定資産台帳_事業用資産_建物等_集計"
"本町3-29-17","本町保育園","490832040","380740408","16233777","110091632","77.6","139.677572423867","35.6971032644932","固定資産台帳_事業用資産_建物等_集計"
"本町4-7-1","宮の台職員住宅","76829400","75755172","3026802","1074228","98.6","139.673506814575","35.695891922639","固定資産台帳_事業用資産_建物等_集計"
"本町4-8-16","宮の台児童館","292376970","168058247","5340042","124318723","57.5","139.673277977846","35.6956683101529","固定資産台帳_事業用資産_建物等_集計"
"本町4-27-3","中野本郷小学校","712152347","585259116","10306628","126893231","82.2","139.670444852293","35.6951144232094","固定資産台帳_事業用資産_建物等_集計"
"本町4-44-3","鍋横区民活動センター分室（高齢者集会室）","72801000","67744240","578634","5056760","93.1","139.669565770594","35.6965123987574","固定資産台帳_事業用資産_建物等_集計"
"本町6-17-12","南部シルバーワークプラザ","202617000","185406984","7338042","17210016","91.5","139.666203132699","35.6960676790161","固定資産台帳_事業用資産_建物等_集計"
"松が丘1-34","哲学堂弓道場","560958000","326672514","14156026","234285486","58.2","139.67462719252","35.7219519210576","固定資産台帳_事業用資産_建物等_集計"
"松が丘1-32-10","旧松が丘高齢者福祉センター（松が丘シニアプラザ）","683630723","445132550","17296419","238498173","65.1","139.672061083615","35.7211626713389","固定資産台帳_事業用資産_建物等_集計"
"丸山2-24-1-109","野方区民活動センター分室（丸山高齢者会館）","37346722","36180815","292424","1165907","96.9","139.650366553558","35.7237272515667","固定資産台帳_事業用資産_建物等_集計"
"丸山2-27-16","丸山保育園","121705156","116191418","1125921","5513738","95.5","139.649857767315","35.7257999426986","固定資産台帳_事業用資産_建物等_集計"
"南台3-26-18","南台図書館","123677518","114602058","3844973","9075460","92.7","139.665708302089","35.6853719381785","固定資産台帳_事業用資産_建物等_集計"
"南台3-26-21","南台三丁目アパート","494282500","462626168","7789428","31656332","93.6","139.665920360977","35.6851388282334","固定資産台帳_事業用資産_建物等_集計"
"南台3-1-15","南台まちづくり住宅","1103240737","636158772","24008886","467081965","57.7","139.669205188417","35.6828790700268","固定資産台帳_事業用資産_建物等_集計"
"南台5-15-3","みなみ児童館","146432286","140654445","1290836","5777841","96.1","139.662365281469","35.6800850509661","固定資産台帳_事業用資産_建物等_集計"
"南台5-22-17","南中野中学校","1997701057","1000987812","44377152","996713245","50.1","139.662432365158","35.6825689768881","固定資産台帳_事業用資産_建物等_集計"
"南台5-27-24","南部高齢者会館","108204500","77870112","3999980","30334388","72","139.660898453958","35.6833024599498","固定資産台帳_事業用資産_建物等_集計"
"大和町2-8-12","大和児童館","249400000","157004196","6066578","92395804","63","139.651663629148","35.7159471793285","固定資産台帳_事業用資産_建物等_集計"
