管理番号,調査時期,調査地点ID,調査年月日,調査時刻,問１_居住地区分,問１_都道府県名,問１_区市町村名,問１_国名,問１_入国空港・港,問１_出国空港・港,問2_性別,問2_年齢,問3-①_日帰り-宿泊,問3-②_区内宿泊数,問3-②_区外宿泊数,問3-②_区外地名,問3-②_区外宿泊施設名,問3-②_総宿泊数,問3-②_区内宿泊施設数,問3-②_1．実家や知人・親戚宅,問3-②_2．旅館,問3-②_3．ホテル,問3-②_4．民泊,問3-②_5．保養所・研修所,問3-②_6．車中泊・交通機関泊,問3-②_7．その他,問3-②_その他/内容,問3-②_無回答,問4-①_主要目的,問4-①_主要目的／その他,問4-②_目的１,問4-②_場所１,問4-②_目的２,問4-②_場所２,問4-②_目的３,問4-②_場所３,問4-②_目的４,問4-②_場所４,問4-②_目的５,問4-②_場所５,問4-②_目的６,問4-②_場所６,問4-②_その他/内容,問⑤_同行者数,問⑤_0.一人,問⑤_1.家族,問⑤_2.友人,問⑤_3.職場・学校等の団体旅行,問⑤_4.その他,問⑤_4.その他/内容,問⑤_無回答,問⑥_来訪回数-現在の観光地,問⑥_来訪回数-台東区,問⑦_1.台東区公式観光情報サイト,問⑦_2.その他インターネットサイト,問⑦_3.台東区公式SNS,問⑦_4.その他SNS・ブログの投稿を見て,問⑦_5.パンフレット類,問⑦_6.観光情報誌・ガイドブック,問⑦_7.テレビ・ラジオ,問⑦_8.新聞・雑誌の記事,問⑦_9.旅行会社,問⑦_10.観光案内所,問⑦_11.宿泊施設からの案内,問⑦_12.ポスター・チラシを見て,問⑦_13.地元・以前来た,問⑦_14.仕事上・取引先からの情報,問⑦_15.家族・知人等の情報,問⑦_16.その他,問⑦_16.その他/内容,問⑦_具体的名称,問⑦_無回答,問⑧_観光地点1,問⑧_1-時間,問⑧_観光地点2,問⑧_2-時間,問⑧_観光地点3,問⑧_3-時間,問⑧_観光地点4,問⑧_4-時間,問⑧_調査地点,問⑧_調査地点-時間,問⑧_観光地点5,問⑧_5-時間,問⑧_観光地点6,問⑧_6-時間,問⑧_観光地点7,問⑧_7-時間,問⑧_観光地点8,問⑧_8-時間,問⑨_利用交通機関,問⑩_費用総額,問⑩_①交通費,問⑩_②宿泊費,問⑩_③土産代,問⑩_③土産代-品名,問⑩_④飲食費,問⑩_④飲食費-品名,問⑩_⑤入場料,問⑩_⑥体験プログラム費用,問⑩_⑥体験プログラム-内容,問⑩_⑦その他費用,問⑩_⑦その他-具体的項目,問⑩_⑧パック料金,問⑩_⑧パック料金内訳,問⑪_①現在の観光地,問⑪_②観光地内の案内サイン類,問⑪_③観光地への交通アクセス・駐車場,問⑪_④食事,問⑪_⑤土産品,問⑪_⑥宿泊施設,問⑪_⑦観光情報,問⑪_⑧総合満足度,問⑪_総合満足度理由,問⑫_再来訪意向-観光地,問⑫_再来訪意向-台東区,問⑬_紹介意向-観光地,問⑬_紹介意向-台東区,問⑭_良かったこと-1,問⑭_1-理由,問⑭_良かったこと-2,問⑭_2-理由,問⑭_残念-1,問⑭_1-理由,問⑭_残念-2,問⑭_2-理由,問⑮_大きな荷物の有無,問⑮_大きな荷物理由,問⑮_4.その他/理由,問⑮_預かり所等の活用,問⑮_料金,問⑯_意見
1,1,3,2018/6/30,10:00,2,富山県,富山市,,,,2,9,2,1,1,,親せき宅,2,1,1,0,0,0,0,0,0,,0,4,講習会,,,,,,,,,,,,,,4,0,0,0,0,1,エゴスキュー教室,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,講習会,,0,,,,,,,,,103,,,,,,,,,,3,4800,300,,1500,,3000,,,,,,,,,1,4,4,4,,,3,3,景観が良くなくなっている,3,3,3,3,12,夜景がキレイ,999,,14,暑さが厳しい,999,,2,999,,2,,街の景観を保つために努力してほしい（ゴミ、トイレetc）
2,1,3,2018/6/30,10:04,2,愛知県,半田市,,,,2,1,2,,2,新浦安,ホテルエミオン東京ベイ,2,,0,0,0,0,0,0,1,修学旅行,0,4,修学旅行,,,,,,,,,,,,,,260,0,0,0,1,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,修学旅行,,0,,,,,,,,,103,,22,,,,,,,,6,20000,,,,,,,,,,20000,全体一人の金額,,,4,4,4,4,4,0,4,4,楽しかったから,4,4,4,4,1,大きくて良かった,4,おいしかった,6,混雑が激しい,999,,2,4,バスに預けている,999,,今度はプライベートで来たい
3,1,3,2018/6/30,10:11,1,東京都,江戸川区,,,,2,1,1,,,,,,,0,0,0,0,0,0,0,,1,2,,7,51,,,,,,,,,,,,2,0,0,1,0,0,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,51,90,,,,,,,103,,,,,,,,,,3,1960,260,,700,,1000,,,,,,,,,3,3,4,3,3,0,4,4,観光スポットが多く楽しめた,5,5,5,5,5,活気がある,999,,6,人が多すぎる,999,,2,999,,2,,
4,1,3,2018/6/30,10:24,2,静岡県,焼津市,,,,1,4,2,2,,,,2,1,0,0,0,0,0,0,0,,1,2,,1,41,22,41,3,33,8,23,,,,,,1,1,0,0,0,0,,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,33,60,,,,,,,103,,23,60,,,,,,,3,16500,1000,15000,,,500,,,,,,,,,3,2,2,3,3,4,3,3,観光案内・アクセスの不満,4,5,3,4,1,参拝者に配慮が良かった,999,,6,人の多さが嫌,999,,2,4,ホテルにあずけてある,2,,駅からの案内を分かりやすくして、他言語に対する対応を強化
5,1,3,2018/6/30,11:11,2,島根県,益田市,,,,2,8,2,,2,銀座,ヴィアイン東銀座,2,,0,0,0,0,0,0,0,,1,2,,1,41,7,35,,,,,,,,,,2,0,1,0,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,35,120,,,,,,,103,,,,,,,,,,3,14000,1000,,10000,東京バナナ、パンダバナナ,3000,,,,,,,,,4,2,2,3,4,0,3,3,スカイツリー、浅草に行く目的のため,4,4,4,4,5,活気がある,999,,4,トイレが少ないし、わかりにくい,14,自動の歩道があるといいと思う,2,4,コインロッカーに預けた,1,500,道路の整備を強化してほしい
6,1,3,2018/6/30,11:25,2,長野県,長野市,,,,2,6,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,2,41,,,,,,,,,,2,0,1,0,0,0,,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,23300,300,,20000,きめこみのティッシュケース（小物和雑貨etc）,3000,,,,,,,,,5,5,5,,5,0,2,2,観光地がにぎやかで良い,5,5,5,5,5,活気がある,999,,14,暑いのが嫌,999,,2,999,,999,,
7,1,3,2018/6/30,11:34,2,栃木県,佐野市,,,,2,13,1,,,,,,,0,0,0,0,0,0,0,,1,4,,,,,,,,,,,,,,,1,1,0,0,0,0,,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,2950,300,,1650,洋服,1000,,,,,,,,,5,4,4,3,4,0,4,4,毎年お参りに来ているので,4,4,,,1,にぎやかで良い,999,,6,日本人が少ない,999,,2,999,,999,,道がわかりくいので標札を増やしてほしい
8,1,3,2018/6/30,11:37,1,東京都,墨田区,,,,2,8,1,,,,,,,0,0,0,0,0,0,0,,1,2,,23,41,,,,,,,,,,,,2,0,0,1,0,0,,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,3,360,260,,,,100,,,,,,,,,3,3,3,3,3,0,4,4,地元なので住みやすく、アクセスがよい,4,4,3,3,1,楽しめた（植木市）,999,,4,値段が高い,999,,2,999,,2,,
9,1,3,2018/6/30,12:15,1,東京都,墨田区,,,,1,6,1,,,,,,,0,0,0,0,0,0,0,,1,999,,3,51,1,41,,,,,,,,,,1,1,0,0,0,0,,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,51,60,,,,,,,103,,,,,,,,,,16,200,,,,,200,,,,,,,,,5,5,5,5,5,0,5,5,案内が充実している,5,5,5,5,5,活気がある,14,ベンチがある（多い）,6,人が多い,999,,2,999,,2,,人が多く、混雑が嫌
10,1,3,2018/6/30,12:30,1,東京都,中野区,,,,1,6,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,2,51,10,40,,,,,,,,2,0,0,1,0,0,,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,40,120,51,60,,,,,103,,,,,,,,,,3,6100,400,,3000,,2000,,700,,,,,,,4,5,5,4,3,0,2,4,観光するところが多い,5,5,5,5,1,良い見るところが多い,2,便利,12,ゴミ箱が多いがゴミだらけ、ゴミが落ちている,999,,2,999,,2,,街をきれいにしてほしい（観光客が多いため）
11,1,3,2018/6/30,12:40,1,東京都,墨田区,,,,1,12,1,,,,,,,0,0,0,0,0,0,0,,1,3,,,,,,,,,,,,,,,1,1,0,0,0,0,,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,,103,,,,,,,,,,16,500,,,,,500,,,,,,,,,4,4,4,4,4,4,4,4,近所に住んでいるので親しみがある,5,5,5,5,14,仲間が増えたこと,999,,999,,999,,2,999,,2,,このまま継続してほしい（景観、人情etc）
12,1,3,2018/6/30,12:50,1,東京都,台東区,,,,1,11,1,,,,,,,0,0,0,0,0,0,0,,1,1,,,,,,,,,,,,,,,1,1,0,0,0,0,,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,,,103,,,,,,,,,,999,1000,,,,,1000,,,,,,,,,5,5,5,4,4,0,5,5,いつ来ても変わらない（地元だから）,5,,5,5,14,人情があり暖かい,999,,999,,999,,2,999,,2,,今のままで継続してほしい
13,1,3,2018/6/30,13:20,2,宮城県,大崎市,,,,2,7,2,,1,港区,マロウド赤坂,1,,0,0,0,0,0,0,0,,1,4,病気の治療,,,,,,,,,,,,,,1,1,0,0,0,0,,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,病気の治療,,0,,,,,,,,,103,,,,,,,,,,17,200,,,,,200,,,,,,,5000,2,4,4,4,5,5,0,5,5,世界各地の人々がいる,5,5,3,3,14,天気が良かった,999,,12,ゴミ箱が少ない,999,,2,4,バスに預けてある,2,,日本を感じるところ
14,1,3,2018/6/30,13:00,1,東京都,千代田,,,,2,2,1,,,,,,,0,0,0,0,0,0,0,,1,2,,1,41,2,33,,,,,,,,,,2,0,0,1,0,0,,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,33,60,,,,,,,103,,,,,,,,,,3,3300,300,,2000,,1000,,,,,,,,,3,3,3,3,3,0,3,3,観光地が密集して動きやすい,5,5,5,5,5,街自体に魅力がある,999,,12,ゴミ箱が少なく、ゴミが多い,999,,2,999,,2,,アメ横をきれいにしてほしい
15,1,3,2018/6/30,13:30,1,東京都,北区,,,,2,12,1,,,,,,,0,0,0,0,0,0,0,,1,4,食事,,,,,,,,,,,,,,2,0,1,0,0,0,,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,0,,,,,,,,51,103,,,,,,,,,,3,7300,300,,2000,雷おこし,5000,,,,,,,,,3,3,3,4,4,0,3,3,人が良いし、人情がある,5,5,4,4,5,活気がある,999,,9,トイレ数が少ない,999,,2,999,,2,,古いお店はそのままに、あまり変わらないでほしい
