,,地震(%),風水害(%),火山噴火(%),雪害(%),火災(%),大規模事故(%),影響の大きい感染症(%),食中毒(%),サイバー攻撃(%),テロ(%),サプライチェーン(供給網等)(%),その他(%),無回答(%),n(件)
,今回調査（全体）,84.4,57.1,7.9,7.5,51.7,20.9,42.1,4.9,15,3.2,18.4,2.4,4.1,532
業種別,食品・飲料,82.6,65.2,13,21.7,30.4,21.7,52.2,65.2,21.7,13,30.4,0,4.3,23
業種別,衣料・身の回り品,84.6,46.2,3.8,11.5,61.5,30.8,61.5,0,11.5,0,11.5,7.7,3.8,26
業種別,住宅・建物,87.5,62.5,6.3,12.5,50,0,31.3,0,0,6.3,18.8,12.5,0,16
業種別,紙・印刷,80.4,48.9,5.4,2.2,58.7,17.4,33.7,1.1,17.4,2.2,14.1,0,6.5,92
業種別,材料・部品[非金属] ,90.5,52.4,7.9,7.9,57.1,27,33.3,1.6,12.7,3.2,17.5,1.6,3.2,63
業種別,材料・部品[金属] ,84.5,68,6.8,4.9,51.5,16.5,33,0,13.6,1.9,11.7,2.9,4.9,103
業種別,一般・精密機械,83.1,56.5,9.7,8.1,50.8,26.6,52.4,4,16.1,4,22.6,2.4,1.6,124
業種別,電機・電子,85.5,56.5,9.7,11.3,40.3,16.1,48.4,6.5,17.7,3.2,30.6,1.6,6.5,62
業種別,その他,87,60.9,8.7,4.3,56.5,21.7,43.5,0,13,0,8.7,4.3,4.3,23
従業者規模別,1～3人,75.3,50.6,7.4,7.4,49.4,17.3,34.6,2.5,9.9,6.2,9.9,7.4,7.4,81
従業者規模別,4～9人,79,51.3,7.6,3.4,42.9,14.3,36.1,3.4,9.2,1.7,12.6,0.8,6.7,119
従業者規模別,10～20人,83.2,51.5,7.9,3,56.4,21.8,47.5,4,21.8,1,16.8,3,4,101
従業者規模別,21～50人,87.8,62.6,4.1,9.8,52,21.1,48,4.9,16.3,1.6,26,1.6,1.6,123
従業者規模別,51～99人,94.6,71.4,14.3,16.1,67.9,33.9,50,8.9,19.6,10.7,26.8,1.8,1.8,56
従業者規模別,100人以上,97.5,65,12.5,10,47.5,22.5,32.5,5,12.5,0,20,0,2.5,40
地域別,都心,94.3,55.7,12.9,7.1,55.7,25.7,52.9,5.7,22.9,8.6,20,1.4,0,70
地域別,副都心,75,28.1,3.1,6.3,53.1,18.8,34.4,6.3,9.4,3.1,12.5,3.1,3.1,32
地域別,城東都心近接,86.7,65,3.3,5,53.3,16.7,41.7,8.3,16.7,1.7,21.7,3.3,6.7,60
地域別,城東周辺,81.6,71.8,1.9,7.8,45.6,13.6,27.2,1.9,12.6,1,10.7,1,9.7,103
地域別,城西,78.8,45.5,12.1,15.2,54.5,24.2,51.5,9.1,18.2,6.1,18.2,6.1,3,33
地域別,城南,85.6,58.9,12.2,6.7,50,25.6,41.1,5.6,17.8,4.4,23.3,4.4,2.2,90
地域別,城北,87.5,43.8,6.3,0,46.9,15.6,40.6,3.1,6.3,0,18.8,0,3.1,32
地域別,多摩,82.1,54.5,9.8,9.8,55.4,24.1,50,3.6,12.5,1.8,20.5,1.8,2.7,112
取引先(顧客)の件数別,4件以下,83.1,67.8,0,0,49.2,22,40.7,1.7,13.6,0,13.6,1.7,3.4,59
取引先(顧客)の件数別,5～9件,81,52.4,1.6,7.9,52.4,17.5,42.9,4.8,9.5,1.6,14.3,3.2,4.8,63
取引先(顧客)の件数別,10～19件,72.1,46.5,9.3,7,43,17.4,33.7,2.3,11.6,3.5,14,3.5,7,86
取引先(顧客)の件数別,20～49件,86.7,56.7,11.1,10,50,20,40,5.6,13.3,2.2,17.8,0,4.4,90
取引先(顧客)の件数別,50～99件,87.5,60,11.3,10,52.5,20,46.3,2.5,17.5,5,17.5,1.3,2.5,80
取引先(顧客)の件数別,100件以上,89.8,60.5,9.5,8.2,57.8,25.2,45.6,8.8,20.4,4.8,25.9,4.1,3.4,147
年間売上高第１位の取引先(顧客)の属性別,大手メーカー,85,58.9,10.6,10.1,51.7,24.6,43.5,3.4,19.3,2.9,22.2,2.9,3.9,207
年間売上高第１位の取引先(顧客)の属性別,中堅メーカー,81.9,61.4,4.8,6,50.6,15.7,38.6,1.2,9.6,1.2,16.9,3.6,1.2,83
年間売上高第１位の取引先(顧客)の属性別,中小・零細メーカー,80.3,48.7,5.3,3.9,44.7,10.5,32.9,2.6,6.6,0,14.5,1.3,5.3,76
年間売上高第１位の取引先(顧客)の属性別,卸売業・代理店・商社,91.4,55.7,5.7,8.6,55.7,30,52.9,8.6,14.3,4.3,17.1,0,1.4,70
年間売上高第１位の取引先(顧客)の属性別,小売業,100,68.4,10.5,10.5,63.2,21.1,52.6,31.6,15.8,10.5,21.1,0,0,19
年間売上高第１位の取引先(顧客)の属性別,サービス業,71.4,57.1,14.3,0,42.9,0,28.6,14.3,14.3,14.3,0,0,28.6,7
年間売上高第１位の取引先(顧客)の属性別,官公庁・大学等,73.7,52.6,5.3,0,52.6,15.8,36.8,0,15.8,10.5,26.3,0,15.8,19
年間売上高第１位の取引先(顧客)の属性別,その他,85,52.5,7.5,7.5,52.5,22.5,37.5,5,17.5,2.5,15,5,5,40
