,,新卒者・若年層を採用したい(%)   ,営業等の実務経験のある人を採用したい(%) ,高度な技術知識を持つ人を採用したい(%) ,必要とする技能を持つ人を採用したい(%) ,その他(%) ,採用の意向はない(%) ,無回答(%) ,n(件) 
,今回調査（全体）,30.2,20.9,16,44.4,2,31.3,1.4,1398
,前回調査,32.6,19.6,16,50.6,2,27.5,1.7,1327
業種別,食品・飲料,33.3,19.3,7,29.8,5.3,31.6,1.8,57
業種別,衣料・身の回り品,12,18.5,10.9,39.1,1.1,44.6,2.2,92
業種別,住宅・建物,24.4,17.8,8.9,35.6,0,37.8,4.4,45
業種別,紙・印刷,21.9,25.9,9.6,38.5,1.3,38.9,2,301
業種別,材料・部品[非金属] ,32.4,23.5,15.3,47.1,3.5,28.8,0.6,170
業種別,材料・部品[金属] ,32,11.7,12.8,45.5,2.6,30.5,1.5,266
業種別,一般・精密機械,40.4,25.1,29.6,52.8,0.7,22.1,0.4,267
業種別,電機・電子,41.1,21.8,23.4,47.6,0,25.8,0,124
業種別,その他,20.9,14.9,9,49.3,7.5,31.3,3,67
従業者規模別,1～3人,4.8,8,3.7,22.5,1.1,65.8,2.1,187
従業者規模別,4～9人,16.9,12,10.9,38.7,2.4,41.6,1.8,550
従業者規模別,10～20人,35.1,27.8,25.8,52.2,2.7,20.3,0.7,291
従業者規模別,21～50人,56.1,30.8,22.4,59.3,1.9,7,1.4,214
従業者規模別,51～99人,61,37.7,11.7,62.3,0,3.9,0,77
従業者規模別,100人以上,80.4,46.4,30.4,50,0,7.1,0,56
創業時期別,1950年以前,41.7,26.3,20.2,57.5,1.8,21.5,0.4,228
創業時期別,1951～1960年,34.1,18,12.2,42.9,2.4,29.3,2.4,205
創業時期別,1961～1970年,32.4,21.9,16,44.9,1.6,34.4,0.4,256
創業時期別,1971～1980年,27.5,17.6,14,40.1,2.7,32.9,0.9,222
創業時期別,1981～1990年,25,15.1,15.1,35.5,2.9,37.8,2.9,172
創業時期別,1991～2000年,23.1,26.9,17.6,42.6,0,32.4,1.9,108
創業時期別,2001～2010年,21.7,16.3,12,39.1,2.2,34.8,3.3,92
創業時期別,2011年以降,21.3,36.1,24.6,49.2,0,26.2,0,61
経営者年齢別,50歳未満,39.3,28.5,19.7,53.6,4.2,20.1,1.3,239
経営者年齢別,50歳代,32.5,23.5,16.9,46.9,1.2,26.4,0.5,409
経営者年齢別,60歳代,29.8,19.3,16.8,41.3,1.9,36.1,1.1,363
経営者年齢別,70歳以上,21.3,14.1,12.2,38.3,1.6,40.2,2.7,376
