,,取引先(顧客)との信頼関係の構築(%),企画・提案力の向上(%),営業力の強化(%),試作開発力の向上(%),研究開発力の向上(%),製品開発力の向上(%),生産設備の充実(%),高品質化(%),短納期化(%),低コスト化(%),多品種小ロット対応(%),量産化対応(%),加工技術の向上(%),独自技術の開発・向上(%),自社製品の開発(%),自社ブランドの構築・確立(%),サービス(カスタマイズ・アフターサービス等)の提供(%),産学公連携の活用(%),他社との事業連携(%),情報化（ICTの利活用等）(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,60.9,17.7,23,13.7,11.2,19.7,17.7,29.8,27,20,22.7,6.8,31.9,14.5,15.6,9.8,8,2.4,7.4,3.6,0.3,14.2,0.8,634
業種別,食品・飲料,60.9,26.1,34.8,17.4,26.1,34.8,17.4,39.1,8.7,21.7,13,13,21.7,13,30.4,17.4,8.7,4.3,13,4.3,0,8.7,4.3,23
業種別,衣料・身の回り品,61.9,31,26.2,23.8,11.9,19,26.2,23.8,19,11.9,19,4.8,38.1,11.9,26.2,21.4,7.1,2.4,9.5,0,0,11.9,2.4,42
業種別,住宅・建物,52.2,13,13,0,8.7,13,13,39.1,8.7,13,8.7,4.3,13,8.7,13,4.3,0,0,4.3,0,0,26.1,0,23
業種別,紙・印刷,68.2,21.2,24.7,12.9,4.7,4.7,11.8,28.2,30.6,20,35.3,5.9,20,8.2,7.1,3.5,4.7,0,8.2,3.5,0,21.2,0,85
業種別,材料・部品[非金属] ,60.2,12,30.1,12,10.8,21.7,21.7,26.5,28.9,27.7,19.3,6,27.7,13.3,19.3,13.3,4.8,2.4,7.2,2.4,0,12,2.4,83
業種別,材料・部品[金属] ,57.4,8.8,15.4,8.1,3.7,9.6,17.6,25,35.3,15.4,26.5,7.4,35.3,11,8.8,5.1,2.2,0,5.1,3.7,0.7,19.9,0,136
業種別,一般・精密機械,66.4,17.9,25.4,12.7,16.4,24.6,22.4,41,29.1,22.4,22.4,5.2,44.8,23.1,17.2,9,14.9,6,9,5.2,0.7,7.5,0,134
業種別,電機・電子,48.7,21.8,23.1,23.1,19.2,35.9,12.8,20.5,21.8,23.1,16.7,10.3,24.4,15.4,20.5,12.8,14.1,2.6,7.7,3.8,0,11.5,1.3,78
業種別,その他,67.9,32.1,17.9,21.4,10.7,35.7,3.6,28.6,14.3,17.9,17.9,7.1,35.7,21.4,17.9,17.9,14.3,3.6,3.6,7.1,0,10.7,0,28
従業者規模別,1～3人,51.2,7,8.2,8.2,4.5,8.6,6.1,22.1,22.1,12.3,16,2.9,30.3,7.4,7,5.3,4.5,0.8,4.1,0.4,0.4,27,0.4,244
従業者規模別,4～9人,63.1,20.2,19,14.3,9.5,22,15.5,27.4,23.8,20.2,23.8,3.6,28,13.7,17.3,11.3,8.3,2.4,9.5,1.8,0,10.1,0.6,168
従業者規模別,10～20人,75.9,28.7,33.3,24.1,13.8,29.9,29.9,39.1,37.9,25.3,34.5,11.5,37.9,21.8,24.1,16.1,11.5,4.6,9.2,9.2,0,2.3,3.4,87
従業者規模別,21～50人,70.1,23.4,46.8,16.9,18.2,26,32.5,32.5,36.4,24.7,26,14.3,36.4,23.4,23.4,11.7,15.6,2.6,6.5,5.2,0,3.9,0,77
従業者規模別,51～99人,57.7,23.1,53.8,11.5,34.6,30.8,26.9,46.2,23.1,34.6,23.1,7.7,38.5,19.2,23.1,7.7,7.7,3.8,19.2,7.7,3.8,0,0,26
従業者規模別,100人以上,65.2,34.8,52.2,17.4,34.8,52.2,39.1,47.8,26.1,47.8,21.7,21.7,17.4,26.1,26.1,13,4.3,4.3,8.7,17.4,0,4.3,0,23
