,,50歳未満(%) ,50歳代(%) ,60歳代(%) ,70歳以上(%) ,無回答(%) ,n(件)
,今回調査（全体）,13.3,24.9,24.6,36.2,0.9,2527
,前回調査,13.5,21.1,26.4,38,1,2552
業種別,食品・飲料,19,29.1,24.1,27.8,0,79
業種別,衣料・身の回り品,7.5,24.8,21.7,46,0,226
業種別,住宅・建物,16.4,17.2,25.4,40.2,0.8,122
業種別,紙・印刷,11.8,29.7,25.5,31.9,1.2,502
業種別,材料・部品[非金属] ,15.4,26.9,23.8,33.1,0.8,260
業種別,材料・部品[金属] ,13.1,22.5,24.4,38.9,1.1,542
業種別,一般・精密機械,17.2,25.4,22.8,33.2,1.4,425
業種別,電機・電子,9.6,19.3,28.9,42.2,0,187
業種別,その他,12.9,24.1,26.5,35.3,1.2,170
従業者規模別,1～3人,8.7,20.7,24.2,45.8,0.6,1155
従業者規模別,4～9人,14.5,27.3,25.5,32.4,0.3,675
従業者規模別,10～20人,20.9,28.4,23.6,26.7,0.3,292
従業者規模別,21～50人,19.4,30.6,26.4,21.8,1.9,216
従業者規模別,51～99人,23.4,37.7,22.1,16.9,0,77
従業者規模別,100人以上,16.1,33.9,35.7,12.5,1.8,56
地域別,都心,17.9,24.9,35.8,20.2,1.2,173
地域別,副都心,10.1,29.8,28,32.1,0,168
地域別,城東都心近接,11.5,22.7,26.7,37.9,1.2,419
地域別,城東周辺,12.3,25.2,23.5,38.4,0.7,612
地域別,城西,18.1,19.4,19.4,42.6,0.6,155
地域別,城南,12.8,25.3,25.1,35.5,1.3,383
地域別,城北,13.6,25.6,21,38.6,1.1,176
地域別,多摩,14.5,26.3,21.3,37,0.9,441
