,,主として自社が決める(%) ,主として取引先(顧客)が決める(%) ,交渉次第(%) ,無回答(%) ,n(件) 
,今回調査（全体）,16.3,54.5,26.4,2.7,2527
,前回調査,15.3,56.3,23.3,5,2552
業種別,食品・飲料,22.8,50.6,21.5,5.1,79
業種別,衣料・身の回り品,17.3,51.8,24.3,6.6,226
業種別,住宅・建物,18,55.7,26.2,0,122
業種別,紙・印刷,12.4,62.4,22.9,2.4,502
業種別,材料・部品[非金属] ,16.2,50.4,29.6,3.8,260
業種別,材料・部品[金属] ,13.3,57.4,27.1,2.2,542
業種別,一般・精密機械,19.3,52.2,26.8,1.6,425
業種別,電機・電子,20.3,50.3,27.8,1.6,187
業種別,その他,21.2,42.4,32.9,3.5,170
従業者規模別,1～3人,16.4,56.4,24.4,2.9,1155
従業者規模別,4～9人,19.3,50.2,28.4,2.1,675
従業者規模別,10～20人,12.7,57.9,28.4,1,292
従業者規模別,21～50人,16.2,53.7,26.9,3.2,216
従業者規模別,51～99人,11.7,53.2,33.8,1.3,77
従業者規模別,100人以上,10.7,60.7,25,3.6,56
年間売上高第1位の取引先(顧客)の属性別,大手メーカー,11.2,58.1,29.4,1.3,463
年間売上高第1位の取引先(顧客)の属性別,中堅メーカー,14,58.5,26,1.5,407
年間売上高第1位の取引先(顧客)の属性別,中小・零細メーカー,12.4,60.7,23.8,3.1,748
年間売上高第1位の取引先(顧客)の属性別,卸売業・代理店・商社,25.7,41.9,29.1,3.4,358
年間売上高第1位の取引先(顧客)の属性別,小売業,29.3,35.3,31.1,4.2,167
年間売上高第1位の取引先(顧客)の属性別,サービス業,26.2,38.5,33.8,1.5,65
年間売上高第1位の取引先(顧客)の属性別,官公庁・大学等,15.4,65.4,19.2,0,52
年間売上高第1位の取引先(顧客)の属性別,その他,18.8,54.5,23.8,3,202
年間売上高第1位の取引先(顧客)への売上依存度別,10％未満,36.5,29.6,28.6,5.4,203
年間売上高第1位の取引先(顧客)への売上依存度別,10～20％未満,20.6,49.3,28.7,1.5,408
年間売上高第1位の取引先(顧客)への売上依存度別,20～40％未満,14.1,54.1,28.1,3.7,673
年間売上高第1位の取引先(顧客)への売上依存度別,40～60％未満,10.8,59.9,28,1.4,436
年間売上高第1位の取引先(顧客)への売上依存度別,60～80％未満,13.6,57.9,25.8,2.6,302
年間売上高第1位の取引先(顧客)への売上依存度別,80％以上,14.4,64.2,19.6,1.8,444
