,,都内で移転・拡張を予定(%) ,都外の国内に移転・拡張を予定(%) ,海外に移転・拡張を予定(%) ,具体的な予定はないが希望はある(%) ,移転・拡張の予定はない(%) ,その他(%) ,無回答(%) ,n(件) 
,今回調査（全体）,2.3,0.9,0.1,9.8,84.3,1.1,1.5,2527
,前回調査,2.1,0.8,0,8.3,82.1,0.4,6.3,2552
業種別,食品・飲料,3.8,0,0,11.4,81,1.3,2.5,79
業種別,衣料・身の回り品,1.8,1.8,0,9.7,83.6,1.3,1.8,226
業種別,住宅・建物,2.5,1.6,0,4.9,89.3,0.8,0.8,122
業種別,紙・印刷,2.6,0.8,0,8.2,85.9,1,1.6,502
業種別,材料・部品[非金属] ,0.8,0.4,0,10.8,86.2,0.8,1.2,260
業種別,材料・部品[金属] ,2.2,0.7,0,9,83.9,2.2,1.8,542
業種別,一般・精密機械,2.1,1.2,0.2,13.4,81.9,0.2,0.9,425
業種別,電機・電子,3.7,0.5,0,10.7,82.4,0.5,2.1,187
業種別,その他,3.5,1.2,0.6,8.8,83.5,1.2,1.2,170
従業者規模別,1～3人,0.9,0.5,0,5,90.7,1.1,1.7,1155
従業者規模別,4～9人,1.9,0.1,0.3,12.1,83.1,0.4,1.9,675
従業者規模別,10～20人,4.5,1.4,0,17.5,74,2.4,0.3,292
従業者規模別,21～50人,7.4,3.7,0,16.7,69.4,1.9,0.9,216
従業者規模別,51～99人,3.9,5.2,0,16.9,74,0,0,77
従業者規模別,100人以上,1.8,0,0,7.1,91.1,0,0,56
地域別,都心,5.8,1.7,0.6,6.4,84.4,0.6,0.6,173
地域別,副都心,1.8,1.8,0,11.3,83.3,0.6,1.2,168
地域別,城東都心近接,2.1,0.2,0,8.4,86.2,2.1,1,419
地域別,城東周辺,2.3,0.8,0,9.6,84.2,0.8,2.3,612
地域別,城西,1.9,2.6,0,5.8,87.1,0.6,1.9,155
地域別,城南,2.1,1,0,10.4,83.3,1.3,1.8,383
地域別,城北,1.7,0.6,0,7.4,88.1,1.7,0.6,176
地域別,多摩,2,0.5,0.2,14.1,81.2,0.7,1.4,441
