,,大手メーカー(%) ,中堅メーカー(%) ,中小・零細メーカー(%) ,卸売業・代理店・商社(%) ,小売業(%) ,サービス業(%) ,官公庁・大学等(%) ,その他(%) ,無回答(%) ,n(件) 
,今回調査（全体）,18.3,16.1,29.6,14.2,6.6,2.6,2.1,8,2.6,2527
,前回調査,16.1,18.2,30.6,14.4,5.1,2.8,2.2,6.3,4.3,2552
業種別,食品・飲料,11.4,6.3,7.6,26.6,24.1,6.3,2.5,12.7,2.5,79
業種別,衣料・身の回り品,3.1,11.9,33.2,23,16.4,2.2,1.3,5.3,3.5,226
業種別,住宅・建物,9,9,31.1,12.3,12.3,7.4,0.8,13.9,4.1,122
業種別,紙・印刷,15.1,13.3,32.5,8.2,4,5.4,5.6,13.3,2.6,502
業種別,材料・部品[非金属] ,21.5,21.2,19.6,21.2,5.8,1.2,0,6.9,2.7,260
業種別,材料・部品[金属] ,17.3,18.8,39.9,12,3.3,0.7,0.2,5.2,2.6,542
業種別,一般・精密機械,28.7,20.7,28.5,11.1,0.9,1.2,1.4,5.4,2.1,425
業種別,電機・電子,36.9,20.9,19.3,11.8,2.1,1.6,3.7,1.1,2.7,187
業種別,その他,9.4,5.9,22.4,22.4,20,2.4,2.4,14.7,0.6,170
従業者規模別,1～3人,6.5,14.4,41.7,12,9,2.9,1.5,8.9,3.1,1155
従業者規模別,4～9人,17.2,19.1,27.4,18.1,4.6,2.7,2.2,6.2,2.5,675
従業者規模別,10～20人,31.5,18.8,15.4,13,4.1,2.1,3.8,9.6,1.7,292
従業者規模別,21～50人,48.1,16.7,6,13.4,3.7,1.9,1.9,6.9,1.4,216
従業者規模別,51～99人,51.9,6.5,3.9,19.5,6.5,2.6,2.6,6.5,0,77
従業者規模別,100人以上,48.2,10.7,0,17.9,8.9,1.8,3.6,7.1,1.8,56
売上高増減別(感染症発生前後),増加,33,21.8,16.2,8.4,7.3,1.7,2.2,7.3,2.2,179
売上高増減別(感染症発生前後),横ばい,21.8,17.4,24.8,15.8,5.1,1.5,2.6,9.2,1.8,455
売上高増減別(感染症発生前後),減少,15.9,15.2,32.2,14.2,7,3,1.9,7.8,2.8,1852
