日本標準産業分類,,,業種区分と回答割合(今回調査(全体)),,,,
大分類,中分類,母集団割合(%),業種(調査票における分類),回答割合(%),業種区分,業種区分,回答割合(%)
E製造業,09　食料品製造業,,1　食料品,2.8,生活関連,食品・飲料,3.1
E製造業,10　飲料・たばこ・飼料製造業,,2　飲料・たばこ・飼料,0.3,生活関連,,
,母集団割合（09.10),4.8,,,生活関連,,
E製造業,11　繊維工業,,3　繊維工業（衣服を含む）,6.2,生活関連,衣料・身の回り品,8.9
E製造業,20　なめし革・同製品・毛皮製造業,,12　なめし革・同製品・毛皮,2.7,生活関連,,
,母集団割合（11.20),11.4,,,生活関連,,
E製造業,12　木材・木製品製造業(家具を除く),,4　木材・木製品（家具を除く）,1.9,生活関連,住宅・建物,4.8
E製造業,13　家具・装備品製造業,,5　家具・装備品（建具を含む）,2.9,生活関連,,
,母集団割合（12.13),4.2,,,生活関連,,
E製造業,14　パルプ・紙・紙加工品製造業,,6　パルプ・紙・紙加工品,3.8, 紙・印刷,住宅・建物,19.9
E製造業,15　印刷・同関連業,,7　印刷・同関連,16, 紙・印刷,,
,母集団割合（14.15),19,,, 紙・印刷,,
E製造業,16　化学工業,,8　化学工業,1.7,材料・部品,材料・部品［非金属］,10.3
E製造業,17　石油製品・石炭製品製造業,,9　石油製品・石炭製品,0.1,材料・部品,,
E製造業,18　プラスチック製品製造業(別掲を除く),,10　プラスチック製品,5.7,材料・部品,,
E製造業,19　ゴム製品製造業,,11　ゴム製品,1.5,材料・部品,,
E製造業,21　窯業・土石製品製造業,,13　窯業・土石製品（ガラスを含む）,1.3,材料・部品,,
,母集団割合（16.17.18.19.21),11.7,,,材料・部品,,
E製造業,22　鉄鋼業,,14　鉄鋼,1.3,材料・部品,材料・部品［金属］,21.4
E製造業,23　非鉄金属製造業,,15　非鉄金属,1.3,材料・部品,,
E製造業,24　金属製品製造業,,16　金属製品,18.8,材料・部品,,
,母集団割合（22.23.24),14.7,,,材料・部品,,
E製造業,25　はん用機械器具製造業,,17　一般機械器具（はん用・生産用・業務用機械）,14.8,機械器具,一般・精密機械,16.8
E製造業,26　生産用機械器具製造業,,21　輸送用機械器具,2,機械器具,,
,27　業務用機械器具製造業,,,,機械器具,,
,31　輸送用機械器具製造業,,,,機械器具,,
,母集団割合（25.26.27.31),16.9,,,機械器具,,
E製造業,28　電子部品・デバイス・電子回路製造業,,18　電子部品・デバイス・電子回路,1.7,機械器具,電機・電子,7.4
E製造業,29　電気機械器具製造業,,19　電気機械器具,5,機械器具,,
E製造業,30　情報通信機械器具製造業,,20　情報通信機械器具,0.8,機械器具,,
,母集団割合（28.29.30),7.8,,,機械器具,,
E製造業,32　その他の製造業,9.5,22　その他の製造業,6.7,その他,その他,6.7
E製造業,格付不能,0.1,無回答,0.6,無回答,無回答,0.6
,計,100,計,100,計,計,100
