[区部],,
業種,製造品出荷額等(億円),構成比(%)
印刷・同関連業,6377,21.8
化学工業,3141,10.7
食料品,2884,9.9
金属製品,2074,7.1
生産用機械,1958,6.7
ほか19業種,12840,43.9
製造品出荷額等_合計(億円),29275,
,,
[多摩地域],,
業種,製造品出荷額等(億円),構成比(%)
輸送用機械,11572,27.4
電気機械,6696,15.8
情報通信機械,4489,10.6
食料品,4408,10.4
電子・デバイス,3041,7.2
ほか19業種,12102,28.6
製造品出荷額等_合計(億円),42309,
