,,製品開発能力(%) ,デザイン力(%) ,設計能力(%) ,高度熟練技能(%) ,語学力・国際感覚(%) ,設備保全能力(%) ,品質管理・検査の知識・技能(%) ,データ分析・収集能力(%) ,生産工程の合理化能力(%) ,現場での統率力・リーダーシップ(%) ,営業力(%) ,その他(%) ,特になし(%) ,無回答(%) ,n(件) 
,今回調査（全体）,24.7,10.6,16.3,30.3,6,9.9,32.3,10.1,29,30.7,30.2,1.5,14.3,2.4,1398
,前回調査,26.4,9.8,17.4,30.4,6.7,10.1,31,7.8,29.3,27.4,32.9,1.6,14.7,1.6,1327
業種別,食品・飲料,24.6,8.8,3.5,17.5,10.5,17.5,33.3,17.5,31.6,40.4,40.4,0,24.6,1.8,57
業種別,衣料・身の回り品,26.1,20.7,3.3,31.5,7.6,2.2,28.3,8.7,18.5,15.2,25,5.4,9.8,4.3,92
業種別,住宅・建物,28.9,11.1,15.6,35.6,4.4,6.7,17.8,11.1,22.2,24.4,35.6,0,15.6,4.4,45
業種別,紙・印刷,15.9,20.9,2,20.9,3,6.6,25.6,10.3,25.2,26.9,39.2,3,15.6,3.3,301
業種別,材料・部品[非金属] ,22.9,2.9,6.5,21.8,3.5,12.9,38.2,10,32.4,33.5,34.7,0.6,12.9,1.2,170
業種別,材料・部品[金属] ,18.4,3.4,15,37.6,2.6,12,32.7,8.6,27.1,27.8,18.4,1.9,17.7,2.6,266
業種別,一般・精密機械,31.1,5.2,37.1,43.4,8.6,13.1,36.7,10.1,37.1,39.3,30.3,0.4,12,1.1,267
業種別,電機・電子,43.5,6.5,39.5,24.2,10.5,6.5,43.5,10.5,32.3,34.7,26.6,0,10.5,0.8,124
業種別,その他,26.9,28.4,16.4,32.8,16.4,9,25.4,10.4,25.4,29.9,26.9,0,10.4,4.5,67
従業者規模別,1～3人,13.4,9.6,2.1,26.2,4.8,3.2,15.5,5.3,10.7,5.3,15,1.1,32.1,4.8,187
従業者規模別,4～9人,18,10.4,11.3,30.7,4.5,7.5,26.4,6.4,22,20.4,22.9,2.2,19.1,3.1,550
従業者規模別,10～20人,29.2,11,19.6,34.7,6.5,11.3,40.2,13.7,32.3,35.1,34.4,1.4,8.6,1,291
従業者規模別,21～50人,34.6,11.2,27.6,28.5,7,14.5,43.9,12.1,46.3,54.2,39.7,0.9,2.3,1.9,214
従業者規模別,51～99人,40.3,13,22.1,28.6,7.8,15.6,44.2,22.1,42.9,51.9,59.7,1.3,1.3,0,77
従業者規模別,100人以上,35.7,3.6,39.3,28.6,16.1,17.9,39.3,12.5,53.6,62.5,48.2,0,3.6,0,56
創業時期別,1950年以前,31.6,12.7,22.8,32,6.6,13.6,39.5,10.1,36.8,38.6,33.8,1.8,11.8,1.3,228
創業時期別,1951～1960年,19.5,6.3,12.7,37.6,2,13.7,30.2,6.8,32.2,30.2,21.5,2.4,14.6,2.4,205
創業時期別,1961～1970年,22.7,7,13.3,32,4.3,10.5,35.9,9,26.6,32,34.4,0.8,16.4,2.3,256
創業時期別,1971～1980年,19.4,7.7,15.8,25.7,5,7.7,26.6,8.6,27.5,32,30.6,0.9,16.7,3.6,222
創業時期別,1981～1990年,22.1,15.7,19.2,30.8,7.6,8.1,24.4,9.3,29.1,22.7,25.6,1.2,19.2,1.2,172
創業時期別,1991～2000年,36.1,13.9,20.4,28.7,7.4,8.3,37,16.7,21.3,27.8,30.6,2.8,9.3,1.9,108
創業時期別,2001～2010年,27.2,13,17.4,22.8,9.8,4.3,28.3,13,26.1,22.8,37,0,6.5,2.2,92
創業時期別,2011年以降,34.4,13.1,11.5,23,16.4,8.2,36.1,19.7,26.2,36.1,39.3,0,6.6,3.3,61
経営者年齢別,50歳未満,27.6,11.3,18,34.3,5.9,15.5,38.5,13.8,38.9,41.8,39.7,2.1,7.1,2.1,239
経営者年齢別,50歳代,21.5,12.2,17.8,29.1,6.8,9,34.2,13,28.9,33.3,35.2,1.5,12.5,1,409
経営者年齢別,60歳代,29.8,10.7,19,31.7,6.9,9.6,30.9,8.5,29.2,31.1,27.8,1.7,15.4,2.2,363
経営者年齢別,70歳以上,21.3,8.2,11.2,27.9,4.3,7.4,27.7,6.1,22.6,19.9,20.7,1.1,19.9,4.3,376
