,,23区内(%) ,多摩地域(%) ,埼玉・神奈川・千葉の各県(%) ,茨城・栃木・群馬の各県(%) ,関東地域以外の国内(%) ,海外(%) ,無回答(%) ,n(件) 
,今回調査（全体）,76.4,19.1,42.6,16.5,26.6,4.4,0.4,2527
,前回調査,77.9,18.3,40.8,16.3,24.5,4.2,0.9,2552
業種別,食品・飲料,72.2,29.1,41.8,19,32.9,5.1,0,79
業種別,衣料・身の回り品,89.4,8.8,17.7,6.6,18.6,1.3,0.9,226
業種別,住宅・建物,80.3,20.5,32.8,8.2,13.1,0,0,122
業種別,紙・印刷,90,14.3,28.5,7.2,12.2,0.2,0,502
業種別,材料・部品[非金属] ,76.5,21.2,49.2,24.6,37.7,3.8,0.8,260
業種別,材料・部品[金属] ,72.5,17.5,52,18.3,20.5,3.1,0.4,542
業種別,一般・精密機械,61.2,24.2,59.5,27.3,40.9,10.1,0.2,425
業種別,電機・電子,62,31.6,51.9,21.4,48.7,12.3,0.5,187
業種別,その他,82.9,16.5,30,11.8,28.8,5.9,0.6,170
従業者規模別,1～3人,79.8,14.5,34.2,7,14.8,1.1,0.2,1155
従業者規模別,4～9人,74.5,18.7,45.2,17.8,27.4,4.1,0.4,675
従業者規模別,10～20人,71.9,26.7,50.3,27.1,40.4,5.8,1.4,292
従業者規模別,21～50人,73.1,26.9,58.8,36.1,50.5,11.6,0,216
従業者規模別,51～99人,70.1,29.9,57.1,39,59.7,14.3,0,77
従業者規模別,100人以上,75,30.4,62.5,39.3,57.1,25,0,56
地域別,都心,79.8,13.3,36.4,20.8,38.7,11,0.6,173
地域別,副都心,92.9,8.9,31.5,12.5,26.8,2.4,0,168
地域別,城東都心近接,92.6,7.2,34.4,14.6,22.4,3.6,0.2,419
地域別,城東周辺,84.6,6.9,42.5,14.7,17.8,2.1,0.7,612
地域別,城西,85.8,20.6,43.2,16.1,30.3,2.6,0,155
地域別,城南,76.2,9.9,54,21.1,32.9,4.4,0.5,383
地域別,城北,80.7,13.6,50.6,18.8,26.1,3.4,0.6,176
地域別,多摩,37,63,43.8,16.1,31.5,7.7,0,441
売上高増減別(感染症発生前後),増加,74.3,24,52.5,29.6,45.3,13.4,0,179
売上高増減別(感染症発生前後),横ばい,70.3,19.3,42.9,16.9,28.8,5.3,0.7,455
売上高増減別(感染症発生前後),減少,78,18.3,41.5,15.1,24.2,3.3,0.3,1852
