,,決まっている(%) ,候補がいない(%) ,候補はいるが決まっていない(%) ,まだ決める必要がない(%) ,その他(%) ,無回答(%) ,n(件) 
,今回調査（全体）,48.3,10,25,14.7,0.5,1.6,1032
業種別,食品・飲料,56.1,9.8,9.8,19.5,0,4.9,41
業種別,衣料・身の回り品,45.9,16.2,23,10.8,0,4.1,74
業種別,住宅・建物,50,11.9,21.4,14.3,2.4,0,42
業種別,紙・印刷,42.4,12,28.3,14.7,0.5,2.1,191
業種別,材料・部品[非金属] ,46.7,8.3,30.8,14.2,0,0,120
業種別,材料・部品[金属] ,57,7.2,17.9,15,1,1.9,207
業種別,一般・精密機械,43.2,11.4,28.6,16.2,0.5,0,185
業種別,電機・電子,48,8.2,27.6,15.3,0,1,98
業種別,その他,51.5,7.4,26.5,11.8,0,2.9,68
従業者規模別,1～3人,48.3,11.9,21.6,15.2,0.7,2.2,269
従業者規模別,4～9人,46.8,10.4,26.1,14.8,0.3,1.7,357
従業者規模別,10～20人,48.8,11.2,24.1,14.1,0.6,1.2,170
従業者規模別,21～50人,50.3,7.6,29.7,11,0.7,0.7,145
従業者規模別,51～99人,42.5,2.5,35,20,0,0,40
従業者規模別,100人以上,51.6,6.5,16.1,25.8,0,0,31
創業時期別,1950年以前,52.6,9,24.4,12.8,0,1.3,156
創業時期別,1951～1960年,57.9,7.3,19.5,13.4,0.6,1.2,164
創業時期別,1961～1970年,46,10.1,28.6,13.8,1.1,0.5,189
創業時期別,1971～1980年,46.8,11,24,16.2,0.6,1.3,154
創業時期別,1981～1990年,46.4,10,27.1,12.9,0,3.6,140
創業時期別,1991～2000年,49.4,7.2,26.5,16.9,0,0,83
創業時期別,2001～2010年,40.3,14.5,24.2,19.4,0,1.6,62
創業時期別,2011年以降,23.7,15.8,28.9,28.9,0,2.6,38
経営者年齢別,50歳未満,18.8,12.8,17.3,46.6,0.8,3.8,133
経営者年齢別,50歳代,27.3,14.4,32.5,23.9,1,1,209
経営者年齢別,60歳代,48.8,12.9,29.7,7.8,0.4,0.4,256
経営者年齢別,70歳以上,67,5.4,21.5,4.5,0.2,1.4,424
