,,他企業との共同受注・販路開拓・販売(%),他企業との大型機械や設備の共同購入・利用(%),他企業との共同研究・開発(%),大学や研究機関との共同研究・開発(%),交流会を通じたネットワーク構築(%),事業協同組合等への加入(%),その他(%),特になし(%),無回答(%),n(件)
,今回調査（全体）,3.2,0.2,3.5,3.5,2.7,2.5,0.3,85.7,2.5,2527
業種別,食品・飲料,3.8,1.3,3.8,5.1,1.3,2.5,1.3,79.7,3.8,79
業種別,衣料・身の回り品,3.1,0,1.8,1.3,0.9,2.2,0,85.4,6.6,226
業種別,住宅・建物,1.6,0,1.6,1.6,0.8,0.8,0.8,91,2.5,122
業種別,紙・印刷,3.2,0.2,1.2,0.6,2.6,3.6,0,88.6,1.8,502
業種別,材料・部品[非金属] ,3.1,0,4.6,4.6,2.3,1.5,0.4,85.4,1.9,260
業種別,材料・部品[金属] ,2.6,0,3,2.2,1.7,2.8,0.4,89.1,2,542
業種別,一般・精密機械,4.2,0.2,6.6,6.4,6.1,2.4,0.5,81.2,1.4,425
業種別,電機・電子,3.7,0.5,7,10.7,2.7,1.6,0,79.1,1.6,187
業種別,その他,2.4,0,2.4,2.4,2.4,2.9,0,85.3,4.7,170
従業者規模別,1～3人,1.7,0.2,1.7,0.9,1,1.7,0.3,91.1,2.8,1155
従業者規模別,4～9人,3.6,0.3,2.1,2.2,3,2.8,0.1,85.9,2.8,675
従業者規模別,10～20人,5.5,0,6.5,5.8,5.5,3.1,0.3,80.1,2.1,292
従業者規模別,21～50人,6,0,8.3,8.8,6.5,4.6,0,75.5,1.9,216
従業者規模別,51～99人,3.9,0,11.7,13,5.2,5.2,1.3,68.8,1.3,77
従業者規模別,100人以上,3.6,0,12.5,25,0,1.8,1.8,64.3,0,56
創業時期別,1950年以前,3.4,0,5.3,7.8,3.4,6.8,0.3,78,2.5,322
創業時期別,1951～1960年,3.2,0,4.3,2.3,4.1,3.5,0,84.6,2.9,345
創業時期別,1961～1970年,2.8,0.4,2.8,2,2.6,2.8,0.2,87.4,2,459
創業時期別,1971～1980年,1,0,2.2,3.2,1.7,0.7,0.2,89.6,3.5,404
創業時期別,1981～1990年,4.4,0,3,3,3,1.5,0.6,86.1,2.1,338
創業時期別,1991～2000年,3.6,0.5,1.8,1.4,1.4,1.4,0,89.1,3.2,221
創業時期別,2001～2010年,3.5,0,5.3,5.3,2.9,0.6,0.6,83.5,2.4,170
創業時期別,2011年以降,7,0.9,8.7,7.8,3.5,0.9,0.9,78.3,0.9,115
経営者年齢別,50歳未満,6.8,0,5.1,4.8,6.3,3.9,0.3,78,0.9,336
経営者年齢別,50歳代,3.8,0.2,4.3,3.7,3.7,3.2,0.6,85.4,1.3,630
経営者年齢別,60歳代,2.4,0.2,4.5,4.2,2.3,1.8,0,87.1,1.8,622
経営者年齢別,70歳以上,1.9,0.2,1.7,2.4,1.2,2,0.2,87.7,4.6,916
