年度,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
都内総生産（兆円）,97.6,97.9,100.3,99.8,101.2,101.8,104.5,105.1,106.0,107.0
対全国比（％）,19.8,19.6,20.3,20.2,20.0,19.6,19.6,19.6,19.4,19.5
