,,策定済み(%),未策定（策定中／今後策定予定)(%),未策定(策定予定なし)(%),無回答(%),n(件)
,今回調査（全体）,5.4,15.7,72.1,6.9,2527
業種別,食品・飲料,11.4,17.7,60.8,10.1,79
業種別,衣料・身の回り品,2.2,9.3,80.5,8,226
業種別,住宅・建物,1.6,11.5,80.3,6.6,122
業種別,紙・印刷,3.4,14.9,76.5,5.2,502
業種別,材料・部品[非金属] ,7.7,16.5,67.7,8.1,260
業種別,材料・部品[金属] ,5.4,13.7,72.3,8.7,542
業種別,一般・精密機械,8,21.2,65.6,5.2,425
業種別,電機・電子,8.6,24.6,61.5,5.3,187
業種別,その他,2.4,11.2,78.8,7.6,170
従業者規模別,1～3人,1.6,5.4,84.8,8.2,1155
従業者規模別,4～9人,2.4,15.3,74.5,7.9,675
従業者規模別,10～20人,6.5,28.1,61.6,3.8,292
従業者規模別,21～50人,18.1,38.9,41.2,1.9,216
従業者規模別,51～99人,24.7,48.1,27.3,0,77
従業者規模別,100人以上,33.9,37.5,26.8,1.8,56
地域別,都心,12.7,27.7,57.8,1.7,173
地域別,副都心,4.2,14.9,76.2,4.8,168
地域別,城東都心近接,5,9.3,78.3,7.4,419
地域別,城東周辺,3.3,13.6,76.1,7,612
地域別,城西,6.5,14.8,68.4,10.3,155
地域別,城南,5.2,18.3,67.9,8.6,383
地域別,城北,5.1,13.1,75,6.8,176
地域別,多摩,6.1,19.3,68.3,6.3,441
売上高増減別(感染症発生前後),増加,10.6,29.6,53.1,6.7,179
売上高増減別(感染症発生前後),横ばい,7.7,16.5,71,4.8,455
売上高増減別(感染症発生前後),減少,4.3,14.2,74.5,7,1852
取引先(顧客)の件数別,4件以下,2.3,7.5,79.4,10.7,598
取引先(顧客)の件数別,5～9件,2.8,8.9,82.6,5.8,539
取引先(顧客)の件数別,10～19件,3.3,15.8,73.5,7.3,449
取引先(顧客)の件数別,20～49件,4.3,19.7,70.9,5.1,375
取引先(顧客)の件数別,50～99件,10.7,22.1,63.1,4.1,244
取引先(顧客)の件数別,100件以上,15.9,32.8,46,5.3,302
年間売上高第１位の取引先(顧客)の属性別,大手メーカー,12.3,32.4,51.8,3.5,463
年間売上高第１位の取引先(顧客)の属性別,中堅メーカー,4.9,15.5,71,8.6,407
年間売上高第１位の取引先(顧客)の属性別,中小・零細メーカー,1.9,8.3,83.3,6.6,748
年間売上高第１位の取引先(顧客)の属性別,卸売業・代理店・商社,5.6,14,72.1,8.4,358
年間売上高第１位の取引先(顧客)の属性別,小売業,1.8,9.6,79.6,9,167
年間売上高第１位の取引先(顧客)の属性別,サービス業,1.5,9.2,81.5,7.7,65
年間売上高第１位の取引先(顧客)の属性別,官公庁・大学等,9.6,26.9,59.6,3.8,52
年間売上高第１位の取引先(顧客)の属性別,その他,5.4,14.4,74.3,5.9,202
