,,必要性を感じている(%),必要性を感じていない(%),わからない(%),無回答(%),n(件)
,今回調査（全体）,28.9,22.2,45.7,3.2,2527
業種別,食品・飲料,40.5,21.5,36.7,1.3,79
業種別,衣料・身の回り品,19,23.9,52.2,4.9,226
業種別,住宅・建物,17.2,27.9,53.3,1.6,122
業種別,紙・印刷,25.5,24.3,46.8,3.4,502
業種別,材料・部品[非金属] ,31.9,20.8,43.5,3.8,260
業種別,材料・部品[金属] ,24.5,22.3,49.4,3.7,542
業種別,一般・精密機械,40,20.2,37.6,2.1,425
業種別,電機・電子,41.7,17.6,38,2.7,187
業種別,その他,22.9,21.8,52.4,2.9,170
従業者規模別,1～3人,12.1,29.6,54.2,4.1,1155
従業者規模別,4～9人,28,21.5,48.3,2.2,675
従業者規模別,10～20人,47.3,12.3,36.6,3.8,292
従業者規模別,21～50人,62.5,9.7,26.4,1.4,216
従業者規模別,51～99人,85.7,1.3,13,0,77
従業者規模別,100人以上,78.6,5.4,14.3,1.8,56
地域別,都心,51.4,16.2,30.6,1.7,173
地域別,副都心,27.4,28,41.7,3,168
地域別,城東都心近接,22.2,25.1,49.6,3.1,419
地域別,城東周辺,23.7,25.2,47.9,3.3,612
地域別,城西,25.2,16.8,53.5,4.5,155
地域別,城南,33.2,19.8,43.1,3.9,383
地域別,城北,27.8,19.3,48.9,4,176
地域別,多摩,32.4,20.9,44.4,2.3,441
売上高増減別(感染症発生前後),増加,55.3,14,29.1,1.7,179
売上高増減別(感染症発生前後),横ばい,31.4,24,41.8,2.9,455
売上高増減別(感染症発生前後),減少,25.8,22.7,48.3,3.3,1852
取引先(顧客)の件数別,4件以下,15.9,28.8,51.2,4.2,598
取引先(顧客)の件数別,5～9件,20.2,24.9,52.7,2.2,539
取引先(顧客)の件数別,10～19件,24.7,24.5,46.1,4.7,449
取引先(顧客)の件数別,20～49件,33.1,20,44.8,2.1,375
取引先(顧客)の件数別,50～99件,44.3,14.8,38.9,2,244
取引先(顧客)の件数別,100件以上,58.3,10.3,28.8,2.6,302
年間売上高第１位の取引先(顧客)の属性別,大手メーカー,52.3,12.3,33.5,1.9,463
年間売上高第１位の取引先(顧客)の属性別,中堅メーカー,31.4,21.9,43.2,3.4,407
年間売上高第１位の取引先(顧客)の属性別,中小・零細メーカー,16.6,26.7,53.3,3.3,748
年間売上高第１位の取引先(顧客)の属性別,卸売業・代理店・商社,30.7,22.1,44.4,2.8,358
年間売上高第１位の取引先(顧客)の属性別,小売業,19.8,26.3,49.1,4.8,167
年間売上高第１位の取引先(顧客)の属性別,サービス業,12.3,29.2,55.4,3.1,65
年間売上高第１位の取引先(顧客)の属性別,官公庁・大学等,40.4,21.2,32.7,5.8,52
年間売上高第１位の取引先(顧客)の属性別,その他,25.2,26.2,45.5,3,202
