[区部],,
業種,事業所数(所),構成比(%)
印刷・同関連業,1533,20.6
金属製品,1116,15.0
生産用機械,647,8.7
食料品,455,6.1
プラスチック,439,5.9
ほか19業種,3260,43.8
事業所数_合計(所),7450,
,,
[多摩地域],,
業種,事業所数(所),構成比(%)
生産用機械,296,12.3
金属製品,276,11.5
電気機械,252,10.5
食料品,206,8.6
業務用機械,180,7.5
ほか19業種,1193,49.6
事業所数_合計(所),2403,
